CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383651;3;26-feb-13;02:03:23;31.3873;0.7903;6.74387;0.238723656716418;1;31.4018535614014;1;7.5885;1;0.1;1;5.26;1;0.7275;1;6.25;1;0;7.23;0.84
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383650;6;26-feb-13;02:03:23;31.3871;0.79;NaN;0.307827873134328;1;NaN;9;NaN;9;0.115;1;6.07;1;0.7775;1;7.2;1;0;7.81;0.84
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383649;10;26-feb-13;02:03:23;31.3875;0.7948;6.73853;0.270134664179104;1;NaN;9;NaN;9;0.105;1;5.285;1;0.717;1;6.195;1;0;7.37;0.85
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383648;20;26-feb-13;02:03:23;31.3881;0.7969;6.72927;0.25757026119403;1;NaN;9;NaN;9;0.115;1;6.35;1;0.8275;1;7.365;1;0;7.67;0.86
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383647;29;26-feb-13;02:03:23;31.3888;0.802;6.73377;0.276416865671642;1;NaN;9;NaN;9;0.115;1;6.25;1;0.8425;1;7.395;1;0;7.42;0.85
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383646;39;26-feb-13;02:03:23;31.4011;0.8107;6.72621;0.276416865671642;1;31.4156551361084;1;7.5085;1;0.125;1;4.76;1;0.687;1;5.635;1;0;6.93;0.84
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383645;49;26-feb-13;02:03:23;31.4399;0.921;6.64649;0.270134664179104;1;NaN;9;NaN;9;0.105;1;6.595;1;0.855;1;7.545;1;0;7.71;0.87
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383644;75;26-feb-13;02:03:23;31.6587;1.7118;6.21785;0.110741809701493;1;NaN;9;NaN;9;0.08;1;6.56;1;0.9055;1;9.025;1;0;7.24;0.73
