Filename; Pressure; Uniqueno; Variable; Values; Test failed
TEL2006615_1; 6.00; 287786; doxy; 7.81; Bottle-CTD Difference Problem
TEL2006615_1; 154.00; 287783; doxy; 3.92; Bottle-CTD Difference Problem
TEL2006615_2; 5.00; 287790; doxy; 7.97; Bottle-CTD Difference Problem
TEL2006615_2; 150.00; 287787; doxy; 3.85; Bottle-CTD Difference Problem
TEL2006615_2; -5 to 5 m; NaN; psal; 30.83  ; Out of TS Climatology by more than 3*std in box(es) 12 (31.84 ± 0.81)
TEL2006615_3; 130.00; 287791; psal; 33.15; Bottle-CTD Difference Problem
TEL2006615_3; 5.00; 287794; doxy; 7.95; Bottle-CTD Difference Problem
TEL2006615_3; 130.00; 287791; doxy; 5.33; Bottle-CTD Difference Problem
TEL2006615_4; 6.00; 287798; doxy; 7.72; Bottle-CTD Difference Problem
TEL2006615_4; 164.00; 287795; doxy; 5.87; Bottle-CTD Difference Problem
TEL2006615_5; 5.00; 287802; doxy; 7.71; Bottle-CTD Difference Problem
TEL2006615_5; 210.00; 287799; doxy; 5.87; Bottle-CTD Difference Problem
TEL2006615_6; 6.00; 287806; doxy; 7.93; Bottle-CTD Difference Problem
TEL2006615_6; 147.00; 287803; doxy; 6.01; Bottle-CTD Difference Problem
TEL2006615_8; 5.00; 287810; doxy; 7.86; Bottle-CTD Difference Problem
TEL2006615_8; 82.00; 287807; doxy; 6.79; Bottle-CTD Difference Problem
TEL2006615_9; 5.00; 287814; doxy; 7.63; Bottle-CTD Difference Problem
TEL2006615_9; 231.00; 287811; doxy; 5.47; Bottle-CTD Difference Problem
TEL2006615_10; 5.00; 287818; doxy; 7.74; Bottle-CTD Difference Problem
TEL2006615_10; 99.00; 287815; doxy; 7.52; Bottle-CTD Difference Problem
TEL2006615_11; 5.00; 287822; doxy; 7.58; Bottle-CTD Difference Problem
TEL2006615_11; 107.00; 287819; doxy; 5.67; Bottle-CTD Difference Problem
TEL2006615_12; 6.00; 287826; doxy; 7.56; Bottle-CTD Difference Problem
TEL2006615_12; 102.00; 287823; doxy; 5.60; Bottle-CTD Difference Problem
TEL2006615_13; 62.00; 287827; psal; 32.58; Bottle-CTD Difference Problem
TEL2006615_13; 6.00; 287830; doxy; 7.70; Bottle-CTD Difference Problem
TEL2006615_13; 62.00; 287827; doxy; 6.25; Bottle-CTD Difference Problem
TEL2006615_14; 5.00; 287834; doxy; 7.65; Bottle-CTD Difference Problem
TEL2006615_14; 65.00; 287831; doxy; 5.75; Bottle-CTD Difference Problem
TEL2006615_15; 5.00; 287838; doxy; 7.77; Bottle-CTD Difference Problem
TEL2006615_15; 97.00; 287835; doxy; 6.03; Bottle-CTD Difference Problem
TEL2006615_16; 6.00; 287842; doxy; 4.10; Bottle-CTD Difference Problem
TEL2006615_16; 153.00; 287839; doxy; 7.57; Bottle-CTD Difference Problem
TEL2006615_17; 6.00; 287846; doxy; 7.81; Bottle-CTD Difference Problem
TEL2006615_17; 183.00; 287843; doxy; 3.65; Bottle-CTD Difference Problem
TEL2006615_18; 6.00; 287850; doxy; 7.85; Bottle-CTD Difference Problem
TEL2006615_18; 115.00; 287847; doxy; 4.05; Bottle-CTD Difference Problem
TEL2006615_19; 5.00; 287854; doxy; 7.63; Bottle-CTD Difference Problem
TEL2006615_19; 76.00; 287851; doxy; 4.70; Bottle-CTD Difference Problem
TEL2006615_20; 5.00; 287858; doxy; 7.65; Bottle-CTD Difference Problem
TEL2006615_20; 119.00; 287855; doxy; 3.78; Bottle-CTD Difference Problem
TEL2006615_21; 5.00; 287862; doxy; 7.77; Bottle-CTD Difference Problem
TEL2006615_21; 133.00; 287859; doxy; 4.04; Bottle-CTD Difference Problem
TEL2006615_22; 6.00; 287866; doxy; 7.46; Bottle-CTD Difference Problem
TEL2006615_22; 102.00; 287863; doxy; 4.47; Bottle-CTD Difference Problem
TEL2006615_23; 6.00; 287870; doxy; 7.36; Bottle-CTD Difference Problem
TEL2006615_23; 99.00; 287867; doxy; 4.22; Bottle-CTD Difference Problem
TEL2006615_24; 4.00; 287874; doxy; 7.40; Bottle-CTD Difference Problem
TEL2006615_24; 119.00; 287871; doxy; 3.93; Bottle-CTD Difference Problem
TEL2006615_25; 5.00; 287878; doxy; 7.33; Bottle-CTD Difference Problem
TEL2006615_25; 78.00; 287875; doxy; 4.62; Bottle-CTD Difference Problem
TEL2006615_26; 5.00; 287882; doxy; 7.35; Bottle-CTD Difference Problem
TEL2006615_26; 82.00; 287879; doxy; 5.13; Bottle-CTD Difference Problem
TEL2006615_28; 5.00; 287886; doxy; 7.44; Bottle-CTD Difference Problem
TEL2006615_28; 98.00; 287883; doxy; 4.27; Bottle-CTD Difference Problem
TEL2006615_29; 5.00; 287890; doxy; 7.46; Bottle-CTD Difference Problem
TEL2006615_29; 106.00; 287887; doxy; 3.82; Bottle-CTD Difference Problem
TEL2006615_30; 5.00; 287894; doxy; 7.30; Bottle-CTD Difference Problem
TEL2006615_31; 5.00; 287898; doxy; 6.98; Bottle-CTD Difference Problem
TEL2006615_32; 6.00; 287902; doxy; 7.06; Bottle-CTD Difference Problem
TEL2006615_33; 6.00; 287906; psal; 32.69; Bottle-CTD Difference Problem
TEL2006615_33; 297.00; 287903; psal; 35.15; Bottle-CTD Difference Problem
TEL2006615_33; 6.00; 287906; doxy; 6.97; Bottle-CTD Difference Problem
TEL2006615_34; 5.00; 287910; doxy; 7.22; Bottle-CTD Difference Problem
TEL2006615_34; 111.00; 287907; doxy; 4.14; Bottle-CTD Difference Problem
TEL2006615_35; 5.00; 287914; doxy; 7.22; Bottle-CTD Difference Problem
TEL2006615_35; 119.00; 287911; doxy; 4.05; Bottle-CTD Difference Problem
TEL2006615_36; 5.00; 287918; doxy; 7.28; Bottle-CTD Difference Problem
TEL2006615_36; 99.00; 287915; doxy; 4.75; Bottle-CTD Difference Problem
TEL2006615_38; 5.00; 287922; doxy; 7.15; Bottle-CTD Difference Problem
TEL2006615_38; 79.00; 287919; doxy; 4.95; Bottle-CTD Difference Problem
TEL2006615_39; 5.00; 287926; doxy; 7.11; Bottle-CTD Difference Problem
TEL2006615_39; 72.00; 287923; doxy; 5.13; Bottle-CTD Difference Problem
TEL2006615_40; 24.00; 287929; ntrz; 0.43  ; Out of Nutrient Climatology in box(es) 7 (Min=0.43 Max=12.27 n=99)
TEL2006615_47; 6.00; 287951; psal; 31.84; Bottle-CTD Difference Problem
TEL2006615_48; 6.00; 287952; psal; 32.10; Bottle-CTD Difference Problem
TEL2006615_49; 5.00; 287953; psal; 31.83; Bottle-CTD Difference Problem
TEL2006615_50; 5.00; 287954; psal; 31.98; Bottle-CTD Difference Problem
TEL2006615_54; 5.00; 287958; psal; 31.83; Bottle-CTD Difference Problem
