CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336780;3;23-feb-10;17:52:02;30.8562;0.091;7.87066;0.566097106578947;1;30.8513698577881;1;8.049;1;0.205;1;4.7325;1;0.821;1;7.739;1;0;5.76;0.61
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336779;6;23-feb-10;17:52:02;30.8562;0.0909;7.87919;0.574184208101504;1;NaN;9;NaN;9;0.2005;1;4.302;1;0.76;1;7.196;1;0;5.66;0.60
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336778;10;23-feb-10;17:52:02;30.8565;0.0843;NaN;0.574184208101504;1;NaN;9;NaN;9;0.2055;1;4.6795;1;0.8225;1;7.724;1;0;5.69;0.61
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336777;20;23-feb-10;17:52:02;30.8589;0.0713;7.90303;0.598445512669173;1;NaN;9;NaN;9;0.1965;1;4.4745;1;0.783;1;7.416;1;0;5.71;0.60
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336776;28;23-feb-10;17:52:02;30.8857;-0.0726;7.90342;0.258787248721805;1;NaN;9;NaN;9;0.198;1;4.84;1;0.8225;1;7.315;1;0;5.88;0.66
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336775;39;23-feb-10;17:52:02;30.9996;0.2699;7.80231;0.20217753806391;1;31.0043258666992;1;7.448;1;0.173;1;4.561;1;0.7615;1;6.8595;1;0;5.99;0.66
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336774;51;23-feb-10;17:52:02;31.113;0.5258;7.70917;0.477138989830827;1;NaN;9;NaN;9;0.1705;1;4.3265;1;0.715;1;6.5715;1;0;6.05;0.66
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336773;75;23-feb-10;17:52:02;31.7463;2.0209;7.04232;0.0774285716165413;1;NaN;9;NaN;9;0.119;1;5.3665;1;0.8475;1;6.739;1;0;6.33;0.80
