Filename; Pressure; Uniqueno; Variable; Values; Test failed
TEM2007685_0; 3.00; 304392; psal; 31.16; Bottle-CTD Difference Problem
TEM2007685_0; 41.00; 304387; psal; 31.14; Bottle-CTD Difference Problem
TEM2007685_0; 153.00; 304383; psal; 32.66; Bottle-CTD Difference Problem
TEM2007685_0; 3.00; 304392; doxy; 7.86; Bottle-CTD Difference Problem
TEM2007685_0; 41.00; 304387; doxy; 7.88; Bottle-CTD Difference Problem
TEM2007685_0; 153.00; 304383; doxy; 5.80; Bottle-CTD Difference Problem
TEM2007685_1; 6.00; 304394; psal; 31.74; Bottle-CTD Difference Problem
TEM2007685_1; 130.00; 304393; psal; 33.56; Bottle-CTD Difference Problem
TEM2007685_1; 6.00; 304394; doxy; 7.38; Bottle-CTD Difference Problem
TEM2007685_3; 6.00; 304396; psal; 31.97; Bottle-CTD Difference Problem
TEM2007685_3; 86.00; 304395; psal; 32.81; Bottle-CTD Difference Problem
TEM2007685_3; 6.00; 304396; doxy; 7.37; Bottle-CTD Difference Problem
TEM2007685_3; 86.00; 304395; doxy; 6.73; Bottle-CTD Difference Problem
TEM2007685_7; 5.00; 304398; psal; 32.60; Bottle-CTD Difference Problem
TEM2007685_7; 87.00; 304397; psal; 32.78; Bottle-CTD Difference Problem
TEM2007685_7; 5.00; 304398; doxy; 6.84; Bottle-CTD Difference Problem
TEM2007685_7; 87.00; 304397; doxy; 6.76; Bottle-CTD Difference Problem
TEM2007685_9; 5.00; 304400; psal; 32.69; Bottle-CTD Difference Problem
TEM2007685_9; 78.00; 304399; psal; 33.04; Bottle-CTD Difference Problem
TEM2007685_9; 5.00; 304400; doxy; 6.85; Bottle-CTD Difference Problem
TEM2007685_9; 78.00; 304399; doxy; 6.50; Bottle-CTD Difference Problem
TEM2007685_13; 6.00; 304402; psal; 32.76; Bottle-CTD Difference Problem
TEM2007685_13; 70.00; 304401; psal; 32.77; Bottle-CTD Difference Problem
TEM2007685_13; 6.00; 304402; doxy; 6.88; Bottle-CTD Difference Problem
TEM2007685_13; 70.00; 304401; doxy; 6.92; Bottle-CTD Difference Problem
TEM2007685_16; 6.00; 304404; psal; 32.23; Bottle-CTD Difference Problem
TEM2007685_16; 101.00; 304403; psal; 33.85; Bottle-CTD Difference Problem
TEM2007685_16; 6.00; 304404; doxy; 7.17; Bottle-CTD Difference Problem
TEM2007685_23; 5.00; 304406; psal; 32.72; Bottle-CTD Difference Problem
TEM2007685_23; 65.00; 304405; psal; 32.70; Bottle-CTD Difference Problem
TEM2007685_23; 5.00; 304406; doxy; 7.03; Bottle-CTD Difference Problem
TEM2007685_23; 65.00; 304405; doxy; 6.86; Bottle-CTD Difference Problem
TEM2007685_26; 6.00; 304408; psal; 32.77  ; Constant profile problem
TEM2007685_26; 83.00; 304407; psal; 32.77  ; Constant profile problem
TEM2007685_26; 6.00; 304408; psal; 32.77; Bottle-CTD Difference Problem
TEM2007685_26; 83.00; 304407; psal; 32.77; Bottle-CTD Difference Problem
TEM2007685_26; 6.00; 304408; doxy; 6.77; Bottle-CTD Difference Problem
TEM2007685_26; 83.00; 304407; doxy; 6.84; Bottle-CTD Difference Problem
TEM2007685_27; 6.00; 304410; psal; 32.29; Bottle-CTD Difference Problem
TEM2007685_27; 70.00; 304409; psal; 32.61; Bottle-CTD Difference Problem
TEM2007685_27; 6.00; 304410; doxy; 7.07; Bottle-CTD Difference Problem
TEM2007685_27; 70.00; 304409; doxy; 6.85; Bottle-CTD Difference Problem
TEM2007685_30; 6.00; 304412; psal; 32.13; Bottle-CTD Difference Problem
TEM2007685_30; 74.00; 304411; psal; 32.53; Bottle-CTD Difference Problem
TEM2007685_30; 6.00; 304412; doxy; 7.28; Bottle-CTD Difference Problem
TEM2007685_30; 74.00; 304411; doxy; 6.90; Bottle-CTD Difference Problem
TEM2007685_35; 6.00; 304418; psal; 32.43; Bottle-CTD Difference Problem
TEM2007685_35; 83.00; 304417; psal; 32.43; Bottle-CTD Difference Problem
TEM2007685_35; 6.00; 304418; doxy; 6.92; Bottle-CTD Difference Problem
TEM2007685_35; 83.00; 304417; doxy; 6.98; Bottle-CTD Difference Problem
TEM2007685_33; 6.00; 304414; psal; 31.69; Bottle-CTD Difference Problem
TEM2007685_33; 90.00; 304413; psal; 33.55; Bottle-CTD Difference Problem
TEM2007685_33; 6.00; 304414; doxy; 7.38; Bottle-CTD Difference Problem
TEM2007685_34; 5.00; 304416; psal; 32.20; Bottle-CTD Difference Problem
TEM2007685_34; 81.00; 304415; psal; 32.65; Bottle-CTD Difference Problem
TEM2007685_34; 5.00; 304416; doxy; 7.10; Bottle-CTD Difference Problem
TEM2007685_34; 81.00; 304415; doxy; 6.72; Bottle-CTD Difference Problem
TEM2007685_36; 5.00; 304420; psal; 32.52; Bottle-CTD Difference Problem
TEM2007685_36; 76.00; 304419; psal; 32.54; Bottle-CTD Difference Problem
TEM2007685_36; 5.00; 304420; doxy; 7.10; Bottle-CTD Difference Problem
TEM2007685_36; 76.00; 304419; doxy; 7.11; Bottle-CTD Difference Problem
TEM2007685_40; 5.00; 304422; psal; 32.49; Bottle-CTD Difference Problem
TEM2007685_40; 65.00; 304421; psal; 32.57; Bottle-CTD Difference Problem
TEM2007685_40; 5.00; 304422; doxy; 7.19; Bottle-CTD Difference Problem
TEM2007685_40; 65.00; 304421; doxy; 7.21; Bottle-CTD Difference Problem
TEM2007685_44; 5.00; 304424; psal; 33.05; Bottle-CTD Difference Problem
TEM2007685_44; 52.00; 304423; psal; 33.04; Bottle-CTD Difference Problem
