CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEL2005605_0;MFD_SETNO0;44.2705;63.3185;273910;1;01-jul-05;01:14:17;31.02;12.029;5.0289;0.378054193548387;1;30.849;7;6.44633333333333;7;0.008;1;0.302;1;0.0695;1;256;0.03;0.12
TEL2005605_0;MFD_SETNO0;44.2705;63.3185;273909;5;01-jul-05;01:14:17;30.838;12.041;4.9722;0.389868387096774;1;NaN;9;NaN;9;0.01;1;0.3195;1;0.017;1;0;0.03;0.59
TEL2005605_0;MFD_SETNO0;44.2705;63.3185;273908;10;01-jul-05;01:14:17;30.96;11.559;5.0223;0.460753548387097;1;NaN;9;NaN;9;0.0175;1;0.323;1;0.044;1;0;0.05;0.40
TEL2005605_0;MFD_SETNO0;44.2705;63.3185;273907;20;01-jul-05;01:14:17;31.899;7.559;5.6124;0.620245161290323;1;NaN;9;NaN;9;0.0035;1;0.374;1;0;1;0;0.01;NaN
TEL2005605_0;MFD_SETNO0;44.2705;63.3185;273906;30;01-jul-05;01:14:17;31.982;4.914;5.8031;0.750201290322581;1;NaN;9;NaN;9;0.3835;1;0.466;1;0.6615;1;0;0.82;0.58
TEL2005605_0;MFD_SETNO0;44.2705;63.3185;273905;40;01-jul-05;01:14:17;32.208;4.575;5.6371;0.531638709677419;1;32.252;1;7.20766666666667;7;0.97;1;0.572;1;1.287;1;256;1.70;0.75
TEL2005605_0;MFD_SETNO0;44.2705;63.3185;273904;50;01-jul-05;01:14:17;32.103;2.802;5.3805;0.419403870967742;1;NaN;9;NaN;9;5.1745;1;0.863;1;3.9105;1;0;6.00;1.32
TEL2005605_0;MFD_SETNO0;44.2705;63.3185;273903;75;01-jul-05;01:14:17;32.468;2.434;4.8812;0.0591003225806452;1;NaN;9;NaN;9;8.3575;1;0.9705;1;6.978;1;0;8.61;1.20
