CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEM2004004_1;MFD_SETNO1;42.0299;65.9223;263502;1;06-feb-04;17:05:00;NaN;NaN;NaN;NaN;9;31.955;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
TEM2004004_3;MFD_SETNO3;42.0639;66.158;263503;1;06-feb-04;19:01:00;NaN;NaN;NaN;NaN;9;32.404;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
TEM2004004_4;MFD_SETNO4;42.0443;66.1621;263504;1;06-feb-04;22:02:59;NaN;NaN;NaN;NaN;9;32.599;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
TEM2004004_5;MFD_SETNO5;41.9981;66.2447;263507;5;07-feb-04;00:26:29;32.609;3.17;5.7084;NaN;9;32.674;7;NaN;9;NaN;9;NaN;9;NaN;9;512;NaN;NaN
TEM2004004_5;MFD_SETNO5;41.9981;66.2447;263506;6;07-feb-04;00:26:29;32.611;3.172;5.7677;0.624690698;1;31.315;7;7.249;7;8.158;1;0.813;1;7.6785;1;768;10.03;1.06
TEM2004004_5;MFD_SETNO5;41.9981;66.2447;263505;73;07-feb-04;00:26:29;33.002;4.005;6.2075;0.433812984;1;32.986;1;6.8975;1;9.7975;1;0.89;1;8.3915;1;0;11.01;1.17
TEM2004004_6;MFD_SETNO6;41.9252;66.012517;263510;1;07-feb-04;03:37:56;32.24;2.593;6.5655;NaN;9;32.248;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
TEM2004004_6;MFD_SETNO6;41.9252;66.012517;263509;5;07-feb-04;03:37:56;32.239;2.589;6.5626;0.798215891;1;32.241;1;7.2895;1;6.5895;1;0.7465;1;6.4935;1;0;8.83;1.01
