CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257822;3;18-jul-04;02:22:03;30.88;14.081;4.6223;0.258734496124031;1;30.886;1;7.344;7;0.0435;1;0.2965;1;1.0065;1;256;0.15;0.04
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257821;5;18-jul-04;02:22:03;30.88;14.086;4.6205;0.253852713178295;1;NaN;9;NaN;9;0.05;1;0.25;1;0.986;1;0;0.20;0.05
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257820;10;18-jul-04;02:22:03;30.886;14.001;4.622;0.253852713178295;1;NaN;9;NaN;9;0.035;1;0.24;1;0.966;1;0;0.15;0.04
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257819;20;18-jul-04;02:22:03;31.528;5.219;4.4228;0.649277131782946;1;NaN;9;NaN;9;0.054;1;0.3545;1;0.7685;1;0;0.15;0.07
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257818;30;18-jul-04;02:22:03;31.761;2.908;4.8469;1.30143895348837;1;NaN;9;NaN;9;0.271;1;0.409;1;0.694;1;0;0.66;0.39
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257817;40;18-jul-04;02:22:03;32.235;4.435;5.1753;1.71789941860465;1;32.204;1;9.154;3;0.0405;1;0.386;1;0.7005;1;16;0.10;0.06
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257816;50;18-jul-04;02:22:03;32.304;3.147;5.2876;1.71789941860465;1;NaN;9;NaN;9;0.034;1;0.4625;1;1.3895;1;0;0.07;0.02
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257815;75;18-jul-04;02:22:03;32.532;1.853;4.878;0.200774418604651;1;NaN;9;NaN;9;6.091;1;0.818;1;5.4025;1;0;7.45;1.13
