CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321150;2;06-jul-08;02:14:22;30.6251;13.2553;3.84657;3.84657;1;13.2553;1;30.6251;1;0;NaN;NaN
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321149;5;06-jul-08;02:14:22;30.5521;12.4231;3.87686;3.87686;1;12.4231;1;30.5521;1;0;NaN;NaN
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321148;10;06-jul-08;02:14:22;31.0857;7.0606;4.34006;4.34006;1;7.0606;1;31.0857;1;0;NaN;NaN
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321147;20;06-jul-08;02:14:22;31.5007;3.1694;4.54225;4.54225;1;3.1694;1;31.5007;1;0;NaN;NaN
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321146;30;06-jul-08;02:14:22;31.851;3.5851;4.51828;4.51828;1;3.5851;1;31.851;1;0;NaN;NaN
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321145;40;06-jul-08;02:14:22;31.9481;2.285;4.45315;4.45315;1;2.285;1;31.9481;1;0;NaN;NaN
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321144;49;06-jul-08;02:14:22;32.1289;2.1591;4.24168;4.24168;1;2.1591;1;32.1289;1;0;NaN;NaN
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321143;75;06-jul-08;02:14:22;32.3377;2.1087;4.07656;4.07656;1;2.1087;1;32.3377;1;0;NaN;NaN
