CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287626;3;18-feb-06;19:52:53;30.878;1.6344;5.62715;5.62715;1;1.6344;1;30.878;1;0;NaN;NaN
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287625;4;18-feb-06;19:52:53;30.878;1.6343;5.6257;5.6257;1;1.6343;1;30.878;1;0;NaN;NaN
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287624;10;18-feb-06;19:52:53;30.878;1.632;5.64926;5.64926;1;1.632;1;30.878;1;0;NaN;NaN
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287623;20;18-feb-06;19:52:53;30.88;1.6377;5.66083;5.66083;1;1.6377;1;30.88;1;0;NaN;NaN
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287622;29;18-feb-06;19:52:53;30.879;1.6359;5.66045;5.66045;1;1.6359;1;30.879;1;0;NaN;NaN
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287621;41;18-feb-06;19:52:53;30.881;1.6381;5.67048;5.67048;1;1.6381;1;30.881;1;0;NaN;NaN
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287620;48;18-feb-06;19:52:53;30.886;1.6372;5.66898;5.66898;1;1.6372;1;30.886;1;0;NaN;NaN
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287619;75;18-feb-06;19:52:53;31.486;2.6811;5.32891;5.32891;1;2.6811;1;31.486;1;0;NaN;NaN
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287618;98;18-feb-06;19:52:53;32.363;3.3954;4.53624;4.53624;1;3.3954;1;32.363;1;0;NaN;NaN
