CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353108;3;05-jul-11;21:35:01;30.8634;14.041;11.73061;0.357077014925373;1;30.8614406585693;1;6.176;7;0.09;1;0.4325;1;0.226;1;0.3745;1;256;1.91;1.15
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353107;5;05-jul-11;21:35:01;30.8636;14.0436;11.69837;0.362036417910448;1;NaN;9;NaN;9;0.0905;1;0.445;1;0.223;1;0.3645;1;0;2.00;1.22
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353106;10;05-jul-11;21:35:01;30.8772;13.7512;11.01742;0.46122447761194;1;NaN;9;NaN;9;0.0935;1;0.439;1;0.267;1;0.51;1;0;1.64;0.86
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353105;20;05-jul-11;21:35:01;31.4037;6.2732;11.77265;0.683227611940298;1;NaN;9;NaN;9;0.1;1;0.4425;1;0.4395;1;0.983;1;0;1.01;0.45
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353104;31;05-jul-11;21:35:01;31.4797;3.9071;12.24685;1.10682873134328;1;NaN;9;NaN;9;0.1585;1;0.707;1;0.5945;1;1.4135;1;0;1.19;0.50
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353103;40;05-jul-11;21:35:01;31.7362;3.346;11.97972;1.05217052238806;1;31.7968826293945;1;6.5415;7;0.2895;1;2.058;1;0.7475;1;2.4135;1;256;2.75;0.85
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353102;49;05-jul-11;21:35:01;31.9761;2.9859;11.69728;0.163660298507463;1;NaN;9;NaN;9;0.2575;1;4.348;1;0.946;1;4.6655;1;0;4.60;0.93
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353101;74;05-jul-11;21:35:01;32.4046;2.6254;12.02557;0.0595128358208956;1;NaN;9;NaN;9;0.15;1;8.998;1;1.306;1;8.481;1;0;6.89;1.06
