CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEL2006615_1;MFD_SETNO1;44.583833;-61.804333;287786;6;05-mar-06;06:55:49;31.589;1.2137;5.85053;7.37958064516129;1;31.609;1;7.8095;7;2.5405;1;0.592;1;3.0475;1;256;4.29;0.83
TEL2006615_1;MFD_SETNO1;44.583833;-61.804333;287785;25;05-mar-06;06:55:49;31.794;2.116;5.76075;3.62270322580645;1;NaN;9;NaN;9;1.753;1;0.5325;1;1.4195;1;0;3.29;1.23
TEL2006615_1;MFD_SETNO1;44.583833;-61.804333;287784;50;05-mar-06;06:55:49;31.968;3.173;5.45352;2.16752516129032;1;NaN;9;NaN;9;2.1105;1;0.567;1;1.056;1;0;3.72;2.00
TEL2006615_1;MFD_SETNO1;44.583833;-61.804333;287783;154;05-mar-06;06:55:49;34.295;8.2945;2.84979;0.0303944516129032;1;34.291;1;3.9175;7;15.3035;1;1.3025;1;14.603;1;256;11.75;1.05
TEL2006615_2;MFD_SETNO2;44.652667;-61.593833;287790;5;05-mar-06;09:00:01;30.817;-0.6433;5.86616;0.36624;1;30.828;1;7.9685;7;6.7345;1;0.885;1;8.633;1;256;7.61;0.78
TEL2006615_2;MFD_SETNO2;44.652667;-61.593833;287789;24;05-mar-06;09:00:01;31.089;0.0341;5.75901;0.496196129032258;1;NaN;9;NaN;9;6.4425;1;0.868;1;7.4595;1;0;7.42;0.86
TEL2006615_2;MFD_SETNO2;44.652667;-61.593833;287788;48;05-mar-06;09:00:01;31.66;1.8328;5.38512;0.155349419354839;1;NaN;9;NaN;9;6.5855;1;0.882;1;6.8965;1;0;7.47;0.95
TEL2006615_2;MFD_SETNO2;44.652667;-61.593833;287787;150;05-mar-06;09:00:01;34.289;8.1584;2.79367;0.040525935483871;1;34.286;1;3.845;7;15.7875;1;1.3435;1;15.834;1;256;11.75;1.00
