Filename; Pressure; Uniqueno; Variable; Values; Test failed
NED2006036_0; 2.00; 295862; doxy; 5.73; Bottle-CTD Difference Problem
NED2006036_0; 50.00; 295856; doxy; 6.17; Bottle-CTD Difference Problem
NED2006036_2; 5.00; 295870; doxy; 6.14; Bottle-CTD Difference Problem
NED2006036_3; 4.00; 295874; doxy; 5.83; Bottle-CTD Difference Problem
NED2006036_5; 5.00; 295878; doxy; 5.81; Bottle-CTD Difference Problem
NED2006036_5; 89.00; 295875; doxy; 5.61; Bottle-CTD Difference Problem
NED2006036_6; 5.00; 295882; doxy; 5.91; Bottle-CTD Difference Problem
NED2006036_6; 50.00; 295880; doxy; 6.44; Bottle-CTD Difference Problem
NED2006036_7; 5.00; 295885; doxy; 5.98; Bottle-CTD Difference Problem
NED2006036_7; 39.00; 295883; doxy; 7.07; Bottle-CTD Difference Problem
NED2006036_8; 5.00; 295888; doxy; 6.08; Bottle-CTD Difference Problem
NED2006036_8; 37.00; 295886; doxy; 6.79; Bottle-CTD Difference Problem
NED2006036_9; 6.00; 295892; doxy; 5.66; Bottle-CTD Difference Problem
NED2006036_9; 62.00; 295889; doxy; 6.47; Bottle-CTD Difference Problem
NED2006036_10; 5.00; 295896; doxy; 5.96; Bottle-CTD Difference Problem
NED2006036_10; 115.00; 295893; doxy; 5.06; Bottle-CTD Difference Problem
NED2006036_12; 4.00; 295900; doxy; 5.96; Bottle-CTD Difference Problem
NED2006036_12; 80.00; 295897; doxy; 5.64; Bottle-CTD Difference Problem
NED2006036_13; 5.00; 295904; doxy; 6.01; Bottle-CTD Difference Problem
NED2006036_13; 151.00; 295901; doxy; 5.02; Bottle-CTD Difference Problem
NED2006036_14; 5.00; 295908; doxy; 6.06; Bottle-CTD Difference Problem
NED2006036_14; 122.00; 295905; doxy; 5.38; Bottle-CTD Difference Problem
NED2006036_15; 5.00; 295912; doxy; 5.88; Bottle-CTD Difference Problem
NED2006036_15; 108.00; 295909; doxy; 5.82; Bottle-CTD Difference Problem
NED2006036_16; 5.00; 295916; doxy; 5.93; Bottle-CTD Difference Problem
NED2006036_16; 120.00; 295913; doxy; 5.40; Bottle-CTD Difference Problem
NED2006036_17; 5.00; 295920; doxy; 5.93; Bottle-CTD Difference Problem
NED2006036_17; 146.00; 295917; doxy; 5.30; Bottle-CTD Difference Problem
NED2006036_18; 6.00; 295924; doxy; 6.09; Bottle-CTD Difference Problem
NED2006036_18; 143.00; 295921; doxy; 5.34; Bottle-CTD Difference Problem
NED2006036_19; 6.00; 295928; doxy; 5.74; Bottle-CTD Difference Problem
NED2006036_19; 61.00; 295925; doxy; 6.97; Bottle-CTD Difference Problem
NED2006036_20; 6.00; 295932; doxy; 5.75; Bottle-CTD Difference Problem
NED2006036_20; 79.00; 295929; doxy; 6.79; Bottle-CTD Difference Problem
NED2006036_21; 6.00; 295936; doxy; 5.68; Bottle-CTD Difference Problem
NED2006036_21; 140.00; 295933; doxy; 4.27; Bottle-CTD Difference Problem
NED2006036_22; 149.00; 295937; psal; 33.91; Bottle-CTD Difference Problem
NED2006036_22; 6.00; 295940; doxy; 5.94; Bottle-CTD Difference Problem
NED2006036_22; 149.00; 295937; doxy; 3.92; Bottle-CTD Difference Problem
NED2006036_23; 4.00; 295944; doxy; 5.73; Bottle-CTD Difference Problem
NED2006036_23; 83.00; 295941; doxy; 6.74; Bottle-CTD Difference Problem
NED2006036_24; 5.00; 295948; doxy; 5.68; Bottle-CTD Difference Problem
NED2006036_24; 64.00; 295945; doxy; 6.44; Bottle-CTD Difference Problem
NED2006036_25; 5.00; 295952; doxy; 5.73; Bottle-CTD Difference Problem
NED2006036_25; 363.00; 295949; doxy; 3.84; Bottle-CTD Difference Problem
NED2006036_26; 5.00; 295956; doxy; 5.63; Bottle-CTD Difference Problem
NED2006036_27; 5.00; 295960; doxy; 5.80; Bottle-CTD Difference Problem
NED2006036_28; 5.00; 295964; doxy; 5.74; Bottle-CTD Difference Problem
NED2006036_28; 136.00; 295961; doxy; 4.32; Bottle-CTD Difference Problem
NED2006036_29; 5.00; 295968; doxy; 5.77; Bottle-CTD Difference Problem
NED2006036_29; 62.00; 295965; doxy; 6.16; Bottle-CTD Difference Problem
NED2006036_30; 5.00; 295972; doxy; 5.66; Bottle-CTD Difference Problem
NED2006036_30; 101.00; 295969; doxy; 5.12; Bottle-CTD Difference Problem
NED2006036_31; 120.00; 295973; psal; 33.66; Bottle-CTD Difference Problem
NED2006036_31; 5.00; 295976; doxy; 5.80; Bottle-CTD Difference Problem
NED2006036_31; 120.00; 295973; doxy; 4.60; Bottle-CTD Difference Problem
NED2006036_32; 4.00; 295980; doxy; 5.93; Bottle-CTD Difference Problem
NED2006036_33; 5.00; 295984; doxy; 5.99; Bottle-CTD Difference Problem
NED2006036_34; 5.00; 295988; doxy; 5.92; Bottle-CTD Difference Problem
NED2006036_34; 82.00; 295985; doxy; 6.27; Bottle-CTD Difference Problem
NED2006036_35; 6.00; 295992; doxy; 5.86; Bottle-CTD Difference Problem
NED2006036_35; 172.00; 295989; doxy; 4.24; Bottle-CTD Difference Problem
NED2006036_36; 4.00; 295996; doxy; 5.67; Bottle-CTD Difference Problem
NED2006036_36; 144.00; 295993; doxy; 4.76; Bottle-CTD Difference Problem
NED2006036_37; 109.00; 295997; psal; 32.65; Bottle-CTD Difference Problem
NED2006036_37; 5.00; 296000; doxy; 5.61; Bottle-CTD Difference Problem
NED2006036_37; 109.00; 295997; doxy; 5.89; Bottle-CTD Difference Problem
NED2006036_38; 6.00; 296004; doxy; 5.68; Bottle-CTD Difference Problem
NED2006036_38; 76.00; 296001; doxy; 6.12; Bottle-CTD Difference Problem
NED2006036_39; 5.00; 296008; doxy; 5.53; Bottle-CTD Difference Problem
NED2006036_39; 81.00; 296005; doxy; 5.86; Bottle-CTD Difference Problem
NED2006036_40; 5.00; 296012; doxy; 5.68; Bottle-CTD Difference Problem
NED2006036_40; 157.00; 296009; doxy; 4.66; Bottle-CTD Difference Problem
NED2006036_41; 5.00; 296016; doxy; 5.68; Bottle-CTD Difference Problem
NED2006036_41; 124.00; 296013; doxy; 5.48; Bottle-CTD Difference Problem
NED2006036_42; 5.00; 296020; doxy; 5.90; Bottle-CTD Difference Problem
NED2006036_42; 89.00; 296017; doxy; 6.54; Bottle-CTD Difference Problem
NED2006036_43; 5.00; 296024; doxy; 5.87; Bottle-CTD Difference Problem
NED2006036_43; 217.00; 296021; doxy; 5.46; Bottle-CTD Difference Problem
NED2006036_44; 5.00; 296028; doxy; 5.84; Bottle-CTD Difference Problem
NED2006036_44; 80.00; 296025; doxy; 6.02; Bottle-CTD Difference Problem
NED2006036_45; 5.00; 296032; doxy; 5.75; Bottle-CTD Difference Problem
NED2006036_45; 63.00; 296029; doxy; 6.32; Bottle-CTD Difference Problem
NED2006036_46; 5.00; 296036; doxy; 5.74; Bottle-CTD Difference Problem
NED2006036_47; 5.00; 296039; doxy; 5.88; Bottle-CTD Difference Problem
NED2006036_47; 43.00; 296037; doxy; 6.57; Bottle-CTD Difference Problem
NED2006036_48; 5.00; 296043; doxy; 5.73; Bottle-CTD Difference Problem
NED2006036_48; 60.00; 296040; doxy; 6.27; Bottle-CTD Difference Problem
NED2006036_49; 4.00; 296047; doxy; 5.64; Bottle-CTD Difference Problem
NED2006036_50; 5.00; 296051; doxy; 5.65; Bottle-CTD Difference Problem
NED2006036_52; 5.00; 296055; doxy; 5.65; Bottle-CTD Difference Problem
NED2006036_52; 64.00; 296052; doxy; 6.86; Bottle-CTD Difference Problem
NED2006036_53; 5.00; 296059; doxy; 5.78; Bottle-CTD Difference Problem
NED2006036_53; 289.00; 296056; doxy; 4.81; Bottle-CTD Difference Problem
NED2006036_54; 106.00; 296060; psal; 32.88; Bottle-CTD Difference Problem
NED2006036_54; 5.00; 296063; doxy; 5.71; Bottle-CTD Difference Problem
NED2006036_54; 106.00; 296060; doxy; 6.67; Bottle-CTD Difference Problem
NED2006036_55; 331.00; 296064; cphl; -0.04  ; Global Impossible Parameter Value
NED2006036_55; 331.00; 296064; cphl; -0.04  ; Regional Impossible Parameter Value
NED2006036_55; 5.00; 296067; doxy; 5.64; Bottle-CTD Difference Problem
NED2006036_55; 331.00; 296064; doxy; 4.54; Bottle-CTD Difference Problem
NED2006036_56; 111.00; 296068; doxy; 5.12; Bottle-CTD Difference Problem
NED2006036_57; 5.00; 296075; doxy; 5.76; Bottle-CTD Difference Problem
NED2006036_57; 127.00; 296072; doxy; 5.36; Bottle-CTD Difference Problem
NED2006036_58; 4.00; 296079; doxy; 5.74; Bottle-CTD Difference Problem
NED2006036_58; 55.00; 296076; doxy; 6.67; Bottle-CTD Difference Problem
NED2006036_59; 5.00; 296083; doxy; 5.86; Bottle-CTD Difference Problem
NED2006036_59; 93.00; 296080; doxy; 5.93; Bottle-CTD Difference Problem
NED2006036_60; 5.00; 296087; doxy; 5.75; Bottle-CTD Difference Problem
NED2006036_60; 303.00; 296084; doxy; 4.46; Bottle-CTD Difference Problem
NED2006036_61; 5.00; 296091; doxy; 5.72; Bottle-CTD Difference Problem
NED2006036_61; 409.00; 296088; doxy; 4.63; Bottle-CTD Difference Problem
NED2006036_62; 5.00; 296095; doxy; 5.72; Bottle-CTD Difference Problem
NED2006036_62; 76.00; 296092; doxy; 6.50; Bottle-CTD Difference Problem
NED2006036_63; 5.00; 296099; doxy; 5.74; Bottle-CTD Difference Problem
NED2006036_63; 115.00; 296096; doxy; 5.80; Bottle-CTD Difference Problem
NED2006036_64; 5.00; 296103; doxy; 5.88; Bottle-CTD Difference Problem
NED2006036_64; 163.00; 296100; doxy; 4.81; Bottle-CTD Difference Problem
NED2006036_65; 5.00; 296107; doxy; 6.04; Bottle-CTD Difference Problem
NED2006036_65; 73.00; 296104; doxy; 5.89; Bottle-CTD Difference Problem
NED2006036_66; 5.00; 296111; doxy; 5.80; Bottle-CTD Difference Problem
NED2006036_67; 5.00; 296115; doxy; 6.03; Bottle-CTD Difference Problem
NED2006036_68; 5.00; 296119; doxy; 5.81; Bottle-CTD Difference Problem
NED2006036_68; 64.00; 296116; doxy; 6.46; Bottle-CTD Difference Problem
NED2006036_70; 4.00; 296123; doxy; 6.02; Bottle-CTD Difference Problem
NED2006036_70; 65.00; 296120; doxy; 6.36; Bottle-CTD Difference Problem
NED2006036_71; 5.00; 296127; doxy; 6.78; Bottle-CTD Difference Problem
NED2006036_71; 55.00; 296124; doxy; 6.53; Bottle-CTD Difference Problem
NED2006036_72; 5.00; 296131; doxy; 5.86; Bottle-CTD Difference Problem
NED2006036_72; 66.00; 296128; doxy; 6.26; Bottle-CTD Difference Problem
NED2006036_73; 5.00; 296135; doxy; 5.81; Bottle-CTD Difference Problem
NED2006036_73; 225.00; 296132; doxy; 5.84; Bottle-CTD Difference Problem
NED2006036_74; 5.00; 296139; doxy; 5.88; Bottle-CTD Difference Problem
NED2006036_74; 239.00; 296136; doxy; 5.54; Bottle-CTD Difference Problem
NED2006036_75; 5.00; 296143; doxy; 5.85; Bottle-CTD Difference Problem
NED2006036_75; 211.00; 296140; doxy; 5.47; Bottle-CTD Difference Problem
NED2006036_76; 6.00; 296147; doxy; 5.84; Bottle-CTD Difference Problem
NED2006036_76; 207.00; 296144; doxy; 5.31; Bottle-CTD Difference Problem
NED2006036_77; 5.00; 296151; doxy; 5.84; Bottle-CTD Difference Problem
NED2006036_77; 194.00; 296148; doxy; 5.58; Bottle-CTD Difference Problem
NED2006036_78; 4.00; 296155; doxy; 5.95; Bottle-CTD Difference Problem
NED2006036_78; 259.00; 296152; doxy; 5.60; Bottle-CTD Difference Problem
NED2006036_79; 5.00; 296159; doxy; 5.82; Bottle-CTD Difference Problem
NED2006036_79; 116.00; 296156; doxy; 5.40; Bottle-CTD Difference Problem
NED2006036_80; 5.00; 296163; doxy; 5.76; Bottle-CTD Difference Problem
NED2006036_80; 79.00; 296160; doxy; 6.22; Bottle-CTD Difference Problem
NED2006036_81; 4.00; 296167; doxy; 5.87; Bottle-CTD Difference Problem
NED2006036_81; 58.00; 296164; doxy; 6.56; Bottle-CTD Difference Problem
NED2006036_82; 5.00; 296171; doxy; 5.76; Bottle-CTD Difference Problem
NED2006036_82; 159.00; 296168; doxy; 5.11; Bottle-CTD Difference Problem
NED2006036_83; 40.00; 296172; psal; 31.91; Bottle-CTD Difference Problem
NED2006036_83; 5.00; 296174; doxy; 6.06; Bottle-CTD Difference Problem
NED2006036_83; 40.00; 296172; doxy; 5.98; Bottle-CTD Difference Problem
NED2006036_84; 5.00; 296177; doxy; 6.04; Bottle-CTD Difference Problem
