CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384440;2;11-feb-12;03:19:52;30.8743;1.9743;6.70081;6.70081;1;1.9743;1;30.8743;1;0;NaN;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384439;6;11-feb-12;03:19:52;30.5905;1.9469;7.39874;7.39874;1;1.9469;1;30.5905;1;0;NaN;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384438;10;11-feb-12;03:19:52;30.5395;1.9501;7.08281;7.08281;1;1.9501;1;30.5395;1;0;NaN;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384437;21;11-feb-12;03:19:52;30.5394;1.9998;6.6006;6.6006;1;1.9998;1;30.5394;1;0;NaN;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384436;30;11-feb-12;03:19:52;30.7157;2.5647;6.45654;6.45654;1;2.5647;1;30.7157;1;0;NaN;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384435;40;11-feb-12;03:19:52;31.0488;3.6499;6.22084;6.22084;1;3.6499;1;31.0488;1;0;NaN;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384434;51;11-feb-12;03:19:52;31.4753;4.7858;6.06968;6.06968;1;4.7858;1;31.4753;1;0;NaN;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384433;76;11-feb-12;03:19:52;31.7387;3.9458;5.50046;5.50046;1;3.9458;1;31.7387;1;0;NaN;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384432;101;11-feb-12;03:19:52;32.3328;4.3249;5.02915;5.02915;1;4.3249;1;32.3328;1;0;NaN;NaN
