Filename; Pressure; Uniqueno; Variable; Values; Test failed
NED2013022_2; 105.00; 383794; psal; 33.02; Bottle-CTD Difference Problem
NED2013022_25; 5.00; 383875; doxy; 6.57; Bottle-CTD Difference Problem
NED2013022_27; 4.00; 383879; doxy; 6.88; Bottle-CTD Difference Problem
NED2013022_28; 5.00; 383883; doxy; 6.82; Bottle-CTD Difference Problem
NED2013022_29; 5.00; 383887; doxy; 6.89; Bottle-CTD Difference Problem
NED2013022_30; 5.00; 383891; doxy; 6.84; Bottle-CTD Difference Problem
NED2013022_30; 69.00; 383888; doxy; 3.08; Bottle-CTD Difference Problem
NED2013022_31; 5.00; 383895; doxy; 6.40; Bottle-CTD Difference Problem
NED2013022_39; 5.00; 383928; doxy; 6.30; Bottle-CTD Difference Problem
NED2013022_39; 98.00; 383925; doxy; 7.92; Bottle-CTD Difference Problem
NED2013022_46; 26.00; 383948; doxy; 6.54; Bottle-CTD Difference Problem
NED2013022_50; 5.00; 383965; doxy; 6.37; Bottle-CTD Difference Problem
NED2013022_52; 5.00; 383973; doxy; 6.67; Bottle-CTD Difference Problem
NED2013022_56; 5.00; 383990; doxy; 6.43; Bottle-CTD Difference Problem
NED2013022_57; 5.00; 383994; doxy; 6.60; Bottle-CTD Difference Problem
NED2013022_58; 5.00; 383998; doxy; 6.71; Bottle-CTD Difference Problem
NED2013022_63; 5.00; 384011; doxy; 6.86; Bottle-CTD Difference Problem
NED2013022_64; 5.00; 384015; doxy; 7.10; Bottle-CTD Difference Problem
NED2013022_66; 4.00; 384022; doxy; 6.46; Bottle-CTD Difference Problem
NED2013022_70; 5.00; 384038; doxy; 6.56; Bottle-CTD Difference Problem
NED2013022_72; 5.00; 384046; doxy; 6.69; Bottle-CTD Difference Problem
NED2013022_75; 5.00; 384055; doxy; 3.19; Bottle-CTD Difference Problem
NED2013022_82; 5.00; 384077; doxy; 6.65; Bottle-CTD Difference Problem
NED2013022_85; 5.00; 384085; doxy; 7.08; Bottle-CTD Difference Problem
NED2013022_86; 5.00; 384089; doxy; 7.05; Bottle-CTD Difference Problem
NED2013022_88; 25.00; 384093; doxy; 6.83; Bottle-CTD Difference Problem
NED2013022_88; 50.00; 384092; doxy; 6.55; Bottle-CTD Difference Problem
NED2013022_92; 4.00; 384106; doxy; 6.01; Bottle-CTD Difference Problem
NED2013022_94; 5.00; 384114; doxy; 6.06; Bottle-CTD Difference Problem
NED2013022_96; 25.00; 384122; doxy; 7.75; Bottle-CTD Difference Problem
NED2013022_97; 41.00; 384128; doxy; 7.28; Bottle-CTD Difference Problem
NED2013022_98; 109.00; 384134; psal; 33.95; Bottle-CTD Difference Problem
NED2013022_100; 5.00; 384145; doxy; 5.84; Bottle-CTD Difference Problem
NED2013022_107; 5.00; 384173; doxy; 5.86; Bottle-CTD Difference Problem
NED2013022_110; 5.00; 384185; doxy; 5.79; Bottle-CTD Difference Problem
NED2013022_111; 5.00; 384189; doxy; 6.01; Bottle-CTD Difference Problem
NED2013022_112; 5.00; 384193; doxy; 5.80; Bottle-CTD Difference Problem
NED2013022_113; 5.00; 384197; doxy; 5.99; Bottle-CTD Difference Problem
NED2013022_114; 5.00; 384201; doxy; 5.99; Bottle-CTD Difference Problem
NED2013022_115; 4.00; 384205; doxy; 5.93; Bottle-CTD Difference Problem
NED2013022_116; 5.00; 384209; doxy; 5.67; Bottle-CTD Difference Problem
NED2013022_117; 5.00; 384213; doxy; 5.72; Bottle-CTD Difference Problem
NED2013022_118; 5.00; 384217; doxy; 6.13; Bottle-CTD Difference Problem
NED2013022_119; 4.00; 384221; doxy; 5.91; Bottle-CTD Difference Problem
NED2013022_120; 5.00; 384225; doxy; 5.83; Bottle-CTD Difference Problem
NED2013022_123; 5.00; 384233; doxy; 6.45; Bottle-CTD Difference Problem
NED2013022_125; 5.00; 384241; doxy; 6.08; Bottle-CTD Difference Problem
NED2013022_126; 5.00; 384245; doxy; 6.24; Bottle-CTD Difference Problem
