Filename; Pressure; Uniqueno; Variable; Values; Test failed
TEL2004530_0; 40.00; 257817; doxy; 9.15; Impossible Parameter Value in Profile
TEL2004530_0; 3.00; 257822; doxy; 7.34; Bottle-CTD Difference Problem
TEL2004530_0; 149.00; 257813; doxy; 5.05; Bottle-CTD Difference Problem
TEL2004530_1; 5.00; 257826; psal; 31.55; Bottle-CTD Difference Problem
TEL2004530_1; 5.00; 257826; doxy; 6.17; Bottle-CTD Difference Problem
TEL2004530_2; 5.00; 257830; doxy; 6.24; Bottle-CTD Difference Problem
TEL2004530_2; 113.00; 257827; doxy; 6.50; Bottle-CTD Difference Problem
TEL2004530_3; 5.00; 257834; doxy; 5.86; Bottle-CTD Difference Problem
TEL2004530_4; 5.00; 257838; doxy; 5.99; Bottle-CTD Difference Problem
TEL2004530_4; 119.00; 257835; doxy; 5.28; Bottle-CTD Difference Problem
TEL2004530_5; 5.00; 257842; doxy; 6.10; Bottle-CTD Difference Problem
TEL2004530_5; 69.00; 257839; doxy; 7.04; Bottle-CTD Difference Problem
TEL2004530_6; 5.00; 257846; doxy; 6.01; Bottle-CTD Difference Problem
TEL2004530_6; 128.00; 257843; doxy; 5.17; Bottle-CTD Difference Problem
TEL2004530_7; 5.00; 257849; doxy; 6.65; Bottle-CTD Difference Problem
TEL2004530_7; 42.00; 257847; doxy; 7.11; Bottle-CTD Difference Problem
TEL2004530_8; 36.00; 257850; psal; 31.81; Bottle-CTD Difference Problem
TEL2004530_8; 5.00; 257852; doxy; 6.04; Bottle-CTD Difference Problem
TEL2004530_8; 36.00; 257850; doxy; 7.56; Bottle-CTD Difference Problem
TEL2004530_9; 36.00; 257853; psal; 31.92; Bottle-CTD Difference Problem
TEL2004530_9; 5.00; 257855; doxy; 6.68; Bottle-CTD Difference Problem
TEL2004530_9; 36.00; 257853; doxy; 7.10; Bottle-CTD Difference Problem
TEL2004530_10; 5.00; 257859; psal; 31.46; Bottle-CTD Difference Problem
TEL2004530_10; 5.00; 257859; doxy; 6.07; Bottle-CTD Difference Problem
TEL2004530_10; 92.00; 257856; doxy; 6.45; Bottle-CTD Difference Problem
TEL2004530_11; 5.00; 257863; doxy; 6.23; Bottle-CTD Difference Problem
TEL2004530_11; 79.00; 257860; doxy; 6.60; Bottle-CTD Difference Problem
TEL2004530_12; 5.00; 257866; psal; 31.20; Bottle-CTD Difference Problem
TEL2004530_12; 5.00; 257866; doxy; 6.02; Bottle-CTD Difference Problem
TEL2004530_12; 47.00; 257864; doxy; 7.55; Bottle-CTD Difference Problem
TEL2004530_13; 5.00; 257869; psal; 31.23; Bottle-CTD Difference Problem
TEL2004530_13; 31.00; 257867; psal; 31.50; Bottle-CTD Difference Problem
TEL2004530_13; 5.00; 257869; doxy; 6.21; Bottle-CTD Difference Problem
TEL2004530_13; 31.00; 257867; doxy; 7.30; Bottle-CTD Difference Problem
TEL2004530_14; 52.00; 257870; psal; 32.13; Bottle-CTD Difference Problem
TEL2004530_14; 5.00; 257872; doxy; 6.01; Bottle-CTD Difference Problem
TEL2004530_14; 52.00; 257870; doxy; 7.04; Bottle-CTD Difference Problem
TEL2004530_15; 5.00; 257876; doxy; 5.96; Bottle-CTD Difference Problem
TEL2004530_15; 55.00; 257873; doxy; 7.08; Bottle-CTD Difference Problem
TEL2004530_16; 5.00; 257880; doxy; 5.96; Bottle-CTD Difference Problem
TEL2004530_16; 82.00; 257877; doxy; 6.58; Bottle-CTD Difference Problem
TEL2004530_18; 5.00; 257884; doxy; 5.92; Bottle-CTD Difference Problem
TEL2004530_18; 75.00; 257881; doxy; 6.65; Bottle-CTD Difference Problem
TEL2004530_19; 5.00; 257887; doxy; 6.13; Bottle-CTD Difference Problem
TEL2004530_19; 36.00; 257885; doxy; 6.78; Bottle-CTD Difference Problem
TEL2004530_20; 86.00; 257888; psal; 32.81; Bottle-CTD Difference Problem
TEL2004530_20; 5.00; 257891; doxy; 5.74; Bottle-CTD Difference Problem
TEL2004530_20; 86.00; 257888; doxy; 6.11; Bottle-CTD Difference Problem
TEL2004530_21; 5.00; 257895; doxy; 5.80; Bottle-CTD Difference Problem
TEL2004530_21; 77.00; 257892; doxy; 6.47; Bottle-CTD Difference Problem
TEL2004530_22; 5.00; 257899; doxy; 5.77; Bottle-CTD Difference Problem
TEL2004530_22; 108.00; 257896; doxy; 5.13; Bottle-CTD Difference Problem
TEL2004530_23; 5.00; 257903; doxy; 5.90; Bottle-CTD Difference Problem
TEL2004530_23; 66.00; 257900; doxy; 6.71; Bottle-CTD Difference Problem
TEL2004530_24; 5.00; 257907; doxy; 5.96; Bottle-CTD Difference Problem
TEL2004530_24; 76.00; 257904; doxy; 6.67; Bottle-CTD Difference Problem
TEL2004530_25; 5.00; 257911; doxy; 6.20; Bottle-CTD Difference Problem
TEL2004530_25; 96.00; 257908; doxy; 6.69; Bottle-CTD Difference Problem
TEL2004530_26; 5.00; 257915; doxy; 6.35; Bottle-CTD Difference Problem
TEL2004530_26; 138.00; 257912; doxy; 6.26; Bottle-CTD Difference Problem
TEL2004530_27; 5.00; 257919; doxy; 6.26; Bottle-CTD Difference Problem
TEL2004530_27; 84.00; 257916; doxy; 6.71; Bottle-CTD Difference Problem
TEL2004530_28; 5.00; 257923; doxy; 6.28; Bottle-CTD Difference Problem
TEL2004530_28; 68.00; 257920; doxy; 6.65; Bottle-CTD Difference Problem
TEL2004530_29; 5.00; 257927; doxy; 5.94; Bottle-CTD Difference Problem
TEL2004530_29; 117.00; 257924; doxy; 6.10; Bottle-CTD Difference Problem
TEL2004530_30; 5.00; 257931; doxy; 6.37; Bottle-CTD Difference Problem
TEL2004530_30; 168.00; 257928; doxy; 6.26; Bottle-CTD Difference Problem
TEL2004530_31; 5.00; 257934; doxy; 5.85; Bottle-CTD Difference Problem
TEL2004530_31; 47.00; 257932; doxy; 6.94; Bottle-CTD Difference Problem
TEL2004530_32; 5.00; 257937; doxy; 5.85; Bottle-CTD Difference Problem
TEL2004530_32; 53.00; 257935; doxy; 6.59; Bottle-CTD Difference Problem
TEL2004530_33; 5.00; 257940; doxy; 6.00; Bottle-CTD Difference Problem
TEL2004530_33; 55.00; 257938; doxy; 6.88; Bottle-CTD Difference Problem
TEL2004530_34; 5.00; 257944; doxy; 5.95; Bottle-CTD Difference Problem
TEL2004530_34; 73.00; 257941; doxy; 6.85; Bottle-CTD Difference Problem
TEL2004530_35; 5.00; 257948; doxy; 6.68; Bottle-CTD Difference Problem
TEL2004530_35; 108.00; 257945; doxy; 6.49; Bottle-CTD Difference Problem
TEL2004530_36; 5.00; 257952; doxy; 5.98; Bottle-CTD Difference Problem
TEL2004530_36; 104.00; 257949; doxy; 6.62; Bottle-CTD Difference Problem
TEL2004530_37; 5.00; 257956; doxy; 5.99; Bottle-CTD Difference Problem
TEL2004530_37; 87.00; 257953; doxy; 6.58; Bottle-CTD Difference Problem
TEL2004530_38; 5.00; 257960; doxy; 5.89; Bottle-CTD Difference Problem
TEL2004530_38; 104.00; 257957; doxy; 6.48; Bottle-CTD Difference Problem
TEL2004530_39; 242.00; 257961; psal; 32.42; Bottle-CTD Difference Problem
TEL2004530_39; 5.00; 257964; doxy; 5.95; Bottle-CTD Difference Problem
TEL2004530_39; 242.00; 257961; doxy; 6.30; Bottle-CTD Difference Problem
TEL2004530_40; 5.00; 257968; doxy; 5.91; Bottle-CTD Difference Problem
TEL2004530_40; 64.00; 257965; doxy; 6.61; Bottle-CTD Difference Problem
TEL2004530_41; 5.00; 257972; psal; 31.32; Bottle-CTD Difference Problem
TEL2004530_41; 5.00; 257972; doxy; 6.10; Bottle-CTD Difference Problem
TEL2004530_41; 65.00; 257969; doxy; 6.50; Bottle-CTD Difference Problem
TEL2004530_42; 5.00; 257976; doxy; 5.87; Bottle-CTD Difference Problem
TEL2004530_42; 82.00; 257973; doxy; 6.53; Bottle-CTD Difference Problem
TEL2004530_43; 5.00; 257980; doxy; 5.95; Bottle-CTD Difference Problem
TEL2004530_43; 143.00; 257977; doxy; 5.32; Bottle-CTD Difference Problem
TEL2004530_44; 5.00; 257984; doxy; 6.03; Bottle-CTD Difference Problem
TEL2004530_44; 77.00; 257981; doxy; 6.72; Bottle-CTD Difference Problem
TEL2004530_46; 5.00; 257988; psal; 31.01; Bottle-CTD Difference Problem
TEL2004530_46; 5.00; 257988; doxy; 6.01; Bottle-CTD Difference Problem
TEL2004530_46; 82.00; 257985; doxy; 6.58; Bottle-CTD Difference Problem
TEL2004530_47; 5.00; 257992; psal; 31.04; Bottle-CTD Difference Problem
TEL2004530_47; 5.00; 257992; doxy; 6.25; Bottle-CTD Difference Problem
TEL2004530_47; 76.00; 257989; doxy; 6.72; Bottle-CTD Difference Problem
TEL2004530_48; 109.00; 257993; psal; 32.43; Bottle-CTD Difference Problem
TEL2004530_48; 5.00; 257996; doxy; 6.06; Bottle-CTD Difference Problem
TEL2004530_48; 109.00; 257993; doxy; 6.50; Bottle-CTD Difference Problem
TEL2004530_49; 135.00; 257997; psal; 32.99; Bottle-CTD Difference Problem
TEL2004530_49; 5.00; 258000; doxy; 5.85; Bottle-CTD Difference Problem
TEL2004530_49; 135.00; 257997; doxy; 5.91; Bottle-CTD Difference Problem
TEL2004530_50; 1.00; 268810; doxy; 5.85; Bottle-CTD Difference Problem
TEL2004530_50; 40.00; 268806; doxy; 7.49; Bottle-CTD Difference Problem
TEL2004530_50; 119.00; 268801; doxy; 6.29; Bottle-CTD Difference Problem
TEL2004530_51; 5.00; 268814; doxy; 5.95; Bottle-CTD Difference Problem
TEL2004530_51; 276.00; 268811; doxy; 4.76; Bottle-CTD Difference Problem
TEL2004530_52; 1.00; 268822; psal; 30.41; Bottle-CTD Difference Problem
TEL2004530_52; 10.00; 268821; doxy; 5.92; Bottle-CTD Difference Problem
TEL2004530_52; 40.00; 268818; doxy; 7.43; Bottle-CTD Difference Problem
TEL2004530_52; 85.00; 268815; doxy; 6.55; Bottle-CTD Difference Problem
TEL2004530_53; 5.00; 268825; doxy; 5.87; Bottle-CTD Difference Problem
TEL2004530_53; 46.00; 268823; doxy; 7.27; Bottle-CTD Difference Problem
TEL2004530_55; 5.00; 268829; doxy; 6.01; Bottle-CTD Difference Problem
TEL2004530_55; 62.00; 268826; doxy; 7.17; Bottle-CTD Difference Problem
TEL2004530_57; 5.00; 268833; psal; 30.37; Bottle-CTD Difference Problem
TEL2004530_57; 5.00; 268833; doxy; 6.05; Bottle-CTD Difference Problem
TEL2004530_57; 54.00; 268830; doxy; 7.24; Bottle-CTD Difference Problem
TEL2004530_58; 5.00; 268837; psal; 30.02; Bottle-CTD Difference Problem
TEL2004530_58; 5.00; 268837; doxy; 6.35; Bottle-CTD Difference Problem
TEL2004530_58; 83.00; 268834; doxy; 6.92; Bottle-CTD Difference Problem
TEL2004530_59; 5.00; 268841; doxy; 6.22; Bottle-CTD Difference Problem
TEL2004530_59; 89.00; 268838; doxy; 6.46; Bottle-CTD Difference Problem
TEL2004530_60; 5.00; 268845; doxy; 5.82; Bottle-CTD Difference Problem
TEL2004530_61; 178.00; 268846; psal; 33.88; Bottle-CTD Difference Problem
TEL2004530_61; 5.00; 268849; doxy; 5.66; Bottle-CTD Difference Problem
TEL2004530_62; 5.00; 268853; doxy; 5.73; Bottle-CTD Difference Problem
TEL2004530_63; 5.00; 268857; psal; 29.65; Bottle-CTD Difference Problem
TEL2004530_63; 5.00; 268857; doxy; 5.91; Bottle-CTD Difference Problem
TEL2004530_64; 5.00; 268861; doxy; 5.82; Bottle-CTD Difference Problem
TEL2004530_65; 5.00; 268865; psal; 29.47; Bottle-CTD Difference Problem
TEL2004530_65; 5.00; 268865; doxy; 5.74; Bottle-CTD Difference Problem
TEL2004530_65; 101.00; 268862; doxy; 5.57; Bottle-CTD Difference Problem
TEL2004530_66; 5.00; 268869; doxy; 5.75; Bottle-CTD Difference Problem
TEL2004530_67; 5.00; 268873; doxy; 5.99; Bottle-CTD Difference Problem
TEL2004530_67; 94.00; 268870; doxy; 6.69; Bottle-CTD Difference Problem
TEL2004530_68; 240.00; 268874; psal; 34.34; Bottle-CTD Difference Problem
TEL2004530_68; 5.00; 268877; doxy; 5.76; Bottle-CTD Difference Problem
TEL2004530_69; 5.00; 268881; doxy; 5.97; Bottle-CTD Difference Problem
TEL2004530_70; 5.00; 268885; psal; 30.17; Bottle-CTD Difference Problem
TEL2004530_70; 5.00; 268885; doxy; 5.91; Bottle-CTD Difference Problem
TEL2004530_70; 87.00; 268882; doxy; 6.57; Bottle-CTD Difference Problem
TEL2004530_71; 5.00; 268889; psal; 30.11; Bottle-CTD Difference Problem
TEL2004530_71; 5.00; 268889; doxy; 5.82; Bottle-CTD Difference Problem
TEL2004530_71; 380.00; 268886; doxy; 5.17; Bottle-CTD Difference Problem
TEL2004530_72; 5.00; 268893; psal; 30.30; Bottle-CTD Difference Problem
TEL2004530_72; 5.00; 268893; doxy; 5.87; Bottle-CTD Difference Problem
TEL2004530_72; 112.00; 268890; doxy; 6.23; Bottle-CTD Difference Problem
TEL2004530_73; 5.00; 268897; doxy; 5.57; Bottle-CTD Difference Problem
TEL2004530_74; 5.00; 268901; psal; 30.49; Bottle-CTD Difference Problem
TEL2004530_74; 5.00; 268901; doxy; 5.73; Bottle-CTD Difference Problem
TEL2004530_75; 5.00; 268905; psal; 30.44; Bottle-CTD Difference Problem
TEL2004530_75; 5.00; 268905; doxy; 5.91; Bottle-CTD Difference Problem
TEL2004530_75; 258.00; 268902; doxy; 5.17; Bottle-CTD Difference Problem
TEL2004530_76; 5.00; 268909; doxy; 5.98; Bottle-CTD Difference Problem
TEL2004530_76; 78.00; 268906; doxy; 6.48; Bottle-CTD Difference Problem
TEL2004530_77; 5.00; 268913; psal; 30.89; Bottle-CTD Difference Problem
TEL2004530_77; 5.00; 268913; doxy; 5.96; Bottle-CTD Difference Problem
TEL2004530_78; 5.00; 268916; psal; 31.20; Bottle-CTD Difference Problem
TEL2004530_78; 5.00; 268916; doxy; 5.83; Bottle-CTD Difference Problem
TEL2004530_78; 53.00; 268914; doxy; 6.29; Bottle-CTD Difference Problem
TEL2004530_79; 5.00; 268919; psal; 31.38; Bottle-CTD Difference Problem
TEL2004530_79; 5.00; 268919; doxy; 6.31; Bottle-CTD Difference Problem
TEL2004530_79; 37.00; 268917; doxy; 7.27; Bottle-CTD Difference Problem
TEL2004530_80; 5.00; 268923; psal; 31.14; Bottle-CTD Difference Problem
TEL2004530_80; 5.00; 268923; doxy; 5.99; Bottle-CTD Difference Problem
TEL2004530_81; 5.00; 268927; doxy; 6.03; Bottle-CTD Difference Problem
TEL2004530_81; 66.00; 268924; doxy; 6.98; Bottle-CTD Difference Problem
TEL2004530_82; 5.00; 268931; doxy; 5.92; Bottle-CTD Difference Problem
TEL2004530_82; 89.00; 268928; doxy; 6.90; Bottle-CTD Difference Problem
TEL2004530_83; 1.00; 268941; psal; 31.11; Bottle-CTD Difference Problem
TEL2004530_83; 1.00; 268941; doxy; 5.85; Bottle-CTD Difference Problem
TEL2004530_83; 40.00; 268937; doxy; 6.88; Bottle-CTD Difference Problem
TEL2004530_83; 561.00; 268932; doxy; 5.80; Bottle-CTD Difference Problem
TEL2004530_84; 5.00; 268945; doxy; 5.94; Bottle-CTD Difference Problem
TEL2004530_84; 600.00; 268942; doxy; 5.87; Bottle-CTD Difference Problem
TEL2004530_85; 5.00; 268949; doxy; 5.95; Bottle-CTD Difference Problem
TEL2004530_85; 115.00; 268946; doxy; 6.41; Bottle-CTD Difference Problem
TEL2004530_86; 5.00; 268952; doxy; 6.04; Bottle-CTD Difference Problem
TEL2004530_86; 54.00; 268950; doxy; 6.95; Bottle-CTD Difference Problem
TEL2004530_87; 5.00; 268956; doxy; 5.83; Bottle-CTD Difference Problem
TEL2004530_87; 111.00; 268953; doxy; 6.85; Bottle-CTD Difference Problem
TEL2004530_88; 5.00; 268960; doxy; 6.01; Bottle-CTD Difference Problem
TEL2004530_88; 471.00; 268957; doxy; 5.75; Bottle-CTD Difference Problem
TEL2004530_89; 5.00; 268964; psal; 31.57; Bottle-CTD Difference Problem
TEL2004530_89; 5.00; 268964; doxy; 5.83; Bottle-CTD Difference Problem
