CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287626;3;18-feb-06;19:52:53;30.878;1.6344;5.62715;0.401682580645161;1;30.894;1;6.45133333333333;1;5.7425;1;0.6295;1;6.6935;1;0;9.12;0.86
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287625;4;18-feb-06;19:52:53;30.878;1.6343;5.6257;0.28354064516129;1;NaN;9;NaN;9;5.618;1;0.735;1;6.66;1;0;7.64;0.84
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287624;10;18-feb-06;19:52:53;30.878;1.632;5.64926;0.295354838709677;1;NaN;9;NaN;9;4.944;1;0.6775;1;5.8135;1;0;7.30;0.85
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287623;20;18-feb-06;19:52:53;30.88;1.6377;5.66083;0.301261935483871;1;NaN;9;NaN;9;4.8035;1;0.641;1;5.797;1;0;7.49;0.83
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287622;29;18-feb-06;19:52:53;30.879;1.6359;5.66045;0.295354838709678;1;NaN;9;NaN;9;5.5805;1;0.7345;1;6.7165;1;0;7.60;0.83
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287621;41;18-feb-06;19:52:53;30.881;1.6381;5.67048;0.295354838709677;1;30.891;1;7.26733333333333;7;4.816;1;0.6345;1;5.6545;1;256;7.59;0.85
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287620;48;18-feb-06;19:52:53;30.886;1.6372;5.66898;0.249909935483871;1;NaN;9;NaN;9;5.464;1;0.692;1;6.4105;1;0;7.90;0.85
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287619;75;18-feb-06;19:52:53;31.486;2.6811;5.32891;0.148595096774194;1;NaN;9;NaN;9;5.537;1;0.6615;1;5.978;1;0;8.37;0.93
