CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
TEL2005546_1;MFD_SETNO1;44.643733;61.772133;272756;5;08-mar-05;08:29:00;31.159;-0.555;4.8223;4.8223;1;-0.555;1;31.159;1;0;NaN;NaN
TEL2005546_1;MFD_SETNO1;44.643733;61.772133;272755;25;08-mar-05;08:29:00;31.243;-0.435;5.4817;5.4817;1;-0.435;1;31.243;1;0;NaN;NaN
TEL2005546_1;MFD_SETNO1;44.643733;61.772133;272754;50;08-mar-05;08:29:00;31.885;1.381;4.9981;4.9981;1;1.381;1;31.885;1;0;NaN;NaN
TEL2005546_1;MFD_SETNO1;44.643733;61.772133;272753;148;08-mar-05;08:29:00;33.814;6.143;2.5375;2.5375;1;6.143;1;33.814;1;0;NaN;NaN
TEL2005546_2;MFD_SETNO2;44.71225;61.234217;272760;5;08-mar-05;11:44:16;31.184;-0.477;4.3381;4.3381;1;-0.477;1;31.184;1;0;NaN;NaN
TEL2005546_2;MFD_SETNO2;44.71225;61.234217;272759;25;08-mar-05;11:44:16;31.205;-0.46;4.8471;4.8471;1;-0.46;1;31.205;1;0;NaN;NaN
TEL2005546_2;MFD_SETNO2;44.71225;61.234217;272758;50;08-mar-05;11:44:16;31.729;0.83;4.6496;4.6496;1;0.83;1;31.729;1;0;NaN;NaN
TEL2005546_2;MFD_SETNO2;44.71225;61.234217;272757;96;08-mar-05;11:44:16;32.085;1.746;4.0758;4.0758;1;1.746;1;32.085;1;0;NaN;NaN
TEL2005546_3;MFD_SETNO3;44.776333;60.988583;272764;5;08-mar-05;16:07:08;31.107;-0.493;3.5714;3.5714;1;-0.493;1;31.107;1;0;NaN;NaN
