CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244859;1;17-feb-03;01:41:01;31.457;0.884;3.3994;3.3994;1;0.884;1;31.457;1;0;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244858;5;17-feb-03;01:41:01;31.595;0.891;3.5311;3.5311;1;0.891;1;31.595;1;0;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244857;10;17-feb-03;01:41:01;31.596;0.883;3.5355;3.5355;1;0.883;1;31.596;1;0;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244856;20;17-feb-03;01:41:01;31.652;1.159;3.5498;3.5498;1;1.159;1;31.652;1;0;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244855;30;17-feb-03;01:41:01;31.776;1.509;3.4854;3.4854;1;1.509;1;31.776;1;0;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244854;40;17-feb-03;01:41:01;31.81;1.547;3.4457;3.4457;1;1.547;1;31.81;1;0;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244853;50;17-feb-03;01:41:01;31.906;1.805;3.4586;3.4586;1;1.805;1;31.906;1;0;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244852;75;17-feb-03;01:41:01;32.41;3.35;3.3307;3.3307;1;3.35;1;32.41;1;0;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244851;100;17-feb-03;01:41:01;34.459;9.299;2.7026;2.7026;1;9.299;1;34.459;1;0;NaN;NaN
