CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384556;2;04-jul-12;20:56:42;30.6068;17.7102;5.06399;0.389496492537313;1;30.6255874633789;1;5.9375;1;0.095;1;0.173;1;0.243;1;0.4765;1;0;0.71;0.36
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384555;4;04-jul-12;20:56:42;30.6115;17.6845;5.09459;0.402060895522388;1;NaN;9;NaN;9;0.0945;1;0.173;1;0.254;1;0.506;1;0;0.68;0.34
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384554;9;04-jul-12;20:56:42;30.8075;14.9078;5.37178;0.370649888059701;1;NaN;9;NaN;9;0.0965;1;0.1585;1;0.2465;1;0.4925;1;0;0.64;0.32
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384553;20;04-jul-12;20:56:42;31.2939;11.2137;5.87336;0.463791492537314;1;NaN;9;NaN;9;0.096;1;0.162;1;0.3065;1;0.7805;1;0;0.53;0.21
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384552;30;04-jul-12;20:56:42;31.3452;7.215;5.84915;0.945421119402985;1;NaN;9;NaN;9;0.1795;1;0.7475;1;0.465;1;1.8275;1;0;1.61;0.41
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384551;40;04-jul-12;20:56:42;31.7052;4.8537;5.65367;0.642172835820896;1;31.6365413665771;1;6.433;1;0.2865;1;1.749;1;0.588;1;2.2795;1;0;2.97;0.77
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384550;50;04-jul-12;20:56:42;32.2478;5.0482;5.05405;0.189491541044776;1;NaN;9;NaN;9;0.313;1;7.171;1;0.93;1;6.989;1;0;7.71;1.03
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384549;76;04-jul-12;20:56:42;33.6469;8.2228;4.04054;0.044296723880597;1;NaN;9;NaN;9;0.1165;1;11.108;1;1.0165;1;8.0945;1;0;10.93;1.37
