Filename; Pressure; Uniqueno; Variable; Values; Test failed
NED2006030_0; 2.00; 274924; doxy; 7.04; Bottle-CTD Difference Problem
NED2006030_0; 41.00; 274919; doxy; 7.64; Bottle-CTD Difference Problem
NED2006030_0; 173.00; 274915; doxy; 3.92; Bottle-CTD Difference Problem
NED2006030_1; 114.00; 274925; doxy; 4.22; Bottle-CTD Difference Problem
NED2006030_2; 5.00; 274932; psal; 34.98; Bottle-CTD Difference Problem
NED2006030_2; 5.00; 274932; doxy; 6.81; Bottle-CTD Difference Problem
NED2006030_2; 181.00; 274929; doxy; 3.21; Bottle-CTD Difference Problem
NED2006030_2; -5 to 5 m; NaN; psal; 34.98  ; Out of TS Climatology by more than 3*std in box(es) 16 (31.23 ± 1.02)
NED2006030_3; 6.00; 274936; doxy; 6.18; Bottle-CTD Difference Problem
NED2006030_3; 50.00; 274934; doxy; 6.51; Bottle-CTD Difference Problem
NED2006030_4; 5.00; 274940; doxy; 6.24; Bottle-CTD Difference Problem
NED2006030_4; 86.00; 274937; doxy; 5.05; Bottle-CTD Difference Problem
NED2006030_5; 92.00; 274941; psal; 33.62; Bottle-CTD Difference Problem
NED2006030_5; 4.00; 274944; doxy; 6.42; Bottle-CTD Difference Problem
NED2006030_5; 92.00; 274941; doxy; 4.95; Bottle-CTD Difference Problem
NED2006030_6; 5.00; 274948; doxy; 6.56; Bottle-CTD Difference Problem
NED2006030_6; 101.00; 274945; doxy; 3.86; Bottle-CTD Difference Problem
NED2006030_7; 5.00; 274952; doxy; 6.93; Bottle-CTD Difference Problem
NED2006030_8; 5.00; 274956; doxy; 6.62; Bottle-CTD Difference Problem
NED2006030_8; 194.00; 274953; doxy; 3.24; Bottle-CTD Difference Problem
NED2006030_10; 178.00; 274961; psal; 33.87; Bottle-CTD Difference Problem
NED2006030_10; 4.00; 274964; doxy; 5.58; Bottle-CTD Difference Problem
NED2006030_10; 178.00; 274961; doxy; 5.16; Bottle-CTD Difference Problem
NED2006030_11; 5.00; 274968; doxy; 5.76; Bottle-CTD Difference Problem
NED2006030_11; 120.00; 274965; doxy; 5.22; Bottle-CTD Difference Problem
NED2006030_12; 49.00; 274970; psal; 32.21; Bottle-CTD Difference Problem
NED2006030_12; 5.00; 274972; doxy; 6.31; Bottle-CTD Difference Problem
NED2006030_12; 49.00; 274970; doxy; 6.57; Bottle-CTD Difference Problem
NED2006030_13; 5.00; 274976; doxy; 6.10; Bottle-CTD Difference Problem
NED2006030_13; 88.00; 274973; doxy; 6.15; Bottle-CTD Difference Problem
NED2006030_14; 5.00; 274980; doxy; 6.36; Bottle-CTD Difference Problem
NED2006030_15; 121.00; 274981; psal; 33.89; Bottle-CTD Difference Problem
NED2006030_15; 6.00; 274984; doxy; 6.56; Bottle-CTD Difference Problem
NED2006030_15; 121.00; 274981; doxy; 4.53; Bottle-CTD Difference Problem
NED2006030_16; 4.00; 274988; doxy; 6.57; Bottle-CTD Difference Problem
NED2006030_16; 84.00; 274985; doxy; 5.37; Bottle-CTD Difference Problem
NED2006030_18; 5.00; 274996; doxy; 6.56; Bottle-CTD Difference Problem
NED2006030_18; 108.00; 274993; doxy; 5.96; Bottle-CTD Difference Problem
NED2006030_19; 109.00; 274997; doxy; 5.79; Bottle-CTD Difference Problem
NED2006030_20; 5.00; 288104; doxy; 6.83; Bottle-CTD Difference Problem
NED2006030_20; 98.00; 288101; doxy; 5.89; Bottle-CTD Difference Problem
NED2006030_21; 5.00; 288108; doxy; 6.45; Bottle-CTD Difference Problem
NED2006030_21; 93.00; 288105; doxy; 5.62; Bottle-CTD Difference Problem
NED2006030_22; 5.00; 288112; doxy; 6.47; Bottle-CTD Difference Problem
NED2006030_22; 99.00; 288109; doxy; 5.07; Bottle-CTD Difference Problem
NED2006030_23; 5.00; 288116; doxy; 6.63; Bottle-CTD Difference Problem
NED2006030_23; 92.00; 288113; doxy; 5.32; Bottle-CTD Difference Problem
NED2006030_24; 5.00; 288120; doxy; 6.44; Bottle-CTD Difference Problem
NED2006030_24; 89.00; 288117; doxy; 5.52; Bottle-CTD Difference Problem
NED2006030_25; 132.00; 288121; psal; 33.04; Bottle-CTD Difference Problem
NED2006030_25; 6.00; 288124; doxy; 6.64; Bottle-CTD Difference Problem
NED2006030_25; 132.00; 288121; doxy; 5.35; Bottle-CTD Difference Problem
NED2006030_26; 5.00; 288128; doxy; 6.85; Bottle-CTD Difference Problem
NED2006030_26; 143.00; 288125; doxy; 4.66; Bottle-CTD Difference Problem
NED2006030_27; 5.00; 288132; doxy; 7.36; Bottle-CTD Difference Problem
NED2006030_27; 119.00; 288129; doxy; 5.17; Bottle-CTD Difference Problem
NED2006030_28; 5.00; 288136; doxy; 6.74; Bottle-CTD Difference Problem
NED2006030_28; 118.00; 288133; doxy; 4.89; Bottle-CTD Difference Problem
NED2006030_29; 4.00; 288140; doxy; 6.34; Bottle-CTD Difference Problem
NED2006030_29; 85.00; 288137; doxy; 6.02; Bottle-CTD Difference Problem
NED2006030_30; 6.00; 288144; doxy; 6.39; Bottle-CTD Difference Problem
NED2006030_30; 70.00; 288141; doxy; 6.00; Bottle-CTD Difference Problem
NED2006030_31; 4.00; 288148; doxy; 6.23; Bottle-CTD Difference Problem
NED2006030_31; 62.00; 288145; doxy; 6.19; Bottle-CTD Difference Problem
NED2006030_32; 4.00; 288152; doxy; 6.48; Bottle-CTD Difference Problem
NED2006030_32; 181.00; 288149; doxy; 5.20; Bottle-CTD Difference Problem
NED2006030_33; 26.00; 288155; doxy; 6.63; Bottle-CTD Difference Problem
