CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336863;5;11-mar-10;09:26:38;30.9386;0.5565;7.90222;7.90222;1;0.5565;1;30.9386;1;0;NaN;NaN
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336862;25;11-mar-10;09:26:38;31.3948;0.7376;7.80527;7.80527;1;0.7376;1;31.3948;1;0;NaN;NaN
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336861;50;11-mar-10;09:26:38;31.5555;0.7601;7.56816;7.56816;1;0.7601;1;31.5555;1;0;NaN;NaN
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336860;51;11-mar-10;09:26:38;31.5555;0.7601;7.56816;7.56816;1;0.7601;1;31.5555;1;0;NaN;NaN
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336859;110;11-mar-10;09:26:38;32.0998;1.9761;6.67715;6.67715;1;1.9761;1;32.0998;1;0;NaN;NaN
NED2010002_3;MFD_SETNO3;44.8943;-61.1843;336867;5;11-mar-10;14:36:34;31.5518;0.8856;7.62308;7.62308;1;0.8856;1;31.5518;1;0;NaN;NaN
NED2010002_3;MFD_SETNO3;44.8943;-61.1843;336866;25;11-mar-10;14:36:34;31.7217;0.9895;7.48567;7.48567;1;0.9895;1;31.7217;1;0;NaN;NaN
NED2010002_3;MFD_SETNO3;44.8943;-61.1843;336865;49;11-mar-10;14:36:34;31.841;1.2823;7.39582;7.39582;1;1.2823;1;31.841;1;0;NaN;NaN
NED2010002_3;MFD_SETNO3;44.8943;-61.1843;336864;166;11-mar-10;14:36:34;32.6409;3.3127;5.65091;5.65091;1;3.3127;1;32.6409;1;0;NaN;NaN
