CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));((none));((none));((none))
NED2003003_0;MFD_SETNO0;44.269333;63.312;258855;75;04-mar-03;13:31:19;17.624;-1.135;13.3323;0.330404132231405;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_0;MFD_SETNO0;44.269333;63.312;258854;100;04-mar-03;13:31:19;31.916;0.384;8.3591;0.362220826446281;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_0;MFD_SETNO0;44.269333;63.312;258853;152;04-mar-03;13:31:19;32.687;3.2;5.6034;0.0467716363636364;1;32.695;1;6.29;1;0;NaN;NaN
NED2003003_1;MFD_SETNO0;44.269333;63.312;-999999;1;04-mar-03;13:31:19;3.0296;4.2667;4.9659;NaN;9;4.4341;7;7.4225;7;768;NaN;NaN
NED2003003_1;MFD_SETNO1;44.534333;61.744167;258857;5;04-mar-03;21:33:45;31.892;19.313;32.097;NaN;9;31.802;7;34.82;4;774;NaN;NaN
NED2003003_1;MFD_SETNO1;44.534333;61.744167;258858;25;04-mar-03;21:33:45;-0.941;9.652;-1.622;NaN;9;0.749;7;-1.286;4;774;NaN;NaN
NED2003003_1;MFD_SETNO1;44.534333;61.744167;258859;50;04-mar-03;21:33:45;31.855;-0.708;4.8862;0.616754380165289;1;NaN;9;8.568;7;256;NaN;NaN
NED2003003_111;MFD_SETNO111;44.269167;63.329;258863;5;06-mar-03;00:11:51;31.983;0.306;4.3884;0.15377947107438;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_111;MFD_SETNO111;44.269167;63.329;258862;40;06-mar-03;00:11:51;33.272;5.165;3.5578;0.0389763636363636;1;33.256;1;5.5515;7;256;NaN;NaN
NED2003003_111;MFD_SETNO111;44.269167;63.329;258861;75;06-mar-03;00:11:51;31.882;0.229;4.8481;3.03922487603306;1;31.887;1;8.2425;7;256;NaN;NaN
NED2003003_111;MFD_SETNO111;44.269167;63.329;258860;162;06-mar-03;00:11:51;31.885;0.258;5.0828;3.15178876033058;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_2;MFD_SETNO2;44.372333;61.549667;258867;5;06-mar-03;07:54:55;31.995;0.27;4.495;0.597174876033058;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_2;MFD_SETNO2;44.372333;61.549667;258866;25;06-mar-03;07:54:55;34.521;9.135;2.7667;0.0198425123966942;1;34.487;7;3.797;7;768;NaN;NaN
NED2003003_2;MFD_SETNO2;44.372333;61.549667;258865;50;06-mar-03;07:54:55;31.938;-1.548;4.3346;0.77583785123967;1;31.944;7;8.32;7;768;NaN;NaN
NED2003003_2;MFD_SETNO2;44.372333;61.549667;258864;173;06-mar-03;07:54:55;31.943;-1.564;4.5001;0.800312231404959;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_3;MFD_SETNO3;44.354667;61.387;258871;5;06-mar-03;09:58:25;32.275;1.841;4.584;1.18335089256198;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_3;MFD_SETNO3;44.354667;61.387;258870;25;06-mar-03;09:58:25;34.393;8.921;3.0015;0.0347243966942149;1;34.389;1;3.944;1;0;NaN;NaN
NED2003003_3;MFD_SETNO3;44.354667;61.387;258869;50;06-mar-03;09:58:25;32.114;-1.574;4.5038;0.863945619834711;1;32.106;1;8.341;7;256;NaN;NaN
NED2003003_3;MFD_SETNO3;44.354667;61.387;258868;191;06-mar-03;09:58:25;32.117;-1.558;4.6947;0.975304049586777;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_4;MFD_SETNO4;44.456;61.1895;258875;5;06-mar-03;12:45:27;33.841;6.951;3.7757;0.0701574545454546;1;33.829;1;4.958;7;256;NaN;NaN
NED2003003_4;MFD_SETNO4;44.456;61.1895;258874;25;06-mar-03;12:45:27;32.488;-0.83;4.5825;0.0583549586776859;1;32.466;1;8.3185;7;256;NaN;NaN
NED2003003_4;MFD_SETNO4;44.456;61.1895;258873;50;06-mar-03;12:45:27;32.523;-0.708;4.7204;1.41503103719008;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_4;MFD_SETNO4;44.456;61.1895;258872;105;06-mar-03;12:45:27;32.544;-0.643;4.7619;1.05484578512397;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_5;MFD_SETNO5;44.390167;60.957833;258879;5;06-mar-03;14:48:32;32.704;2.02;4.6554;0.190629851239669;1;32.698;1;6.891;7;256;NaN;NaN
NED2003003_5;MFD_SETNO5;44.390167;60.957833;258878;25;06-mar-03;14:48:32;32.203;-0.212;4.5561;1.67522566115702;1;32.204;1;8.592;7;256;NaN;NaN
NED2003003_5;MFD_SETNO5;44.390167;60.957833;258877;50;06-mar-03;14:48:32;32.207;-0.176;4.6992;1.60393946280992;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_5;MFD_SETNO5;44.390167;60.957833;258876;90;06-mar-03;14:48:32;32.267;-0.426;4.6951;0.998006776859504;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_6;MFD_SETNO6;44.632;60.650167;258882;5;08-mar-03;10:30:14;31.748;-0.982;4.411;0.891077479338843;1;31.754;1;8.8575;7;256;NaN;NaN
NED2003003_6;MFD_SETNO6;44.632;60.650167;258881;25;08-mar-03;10:30:14;31.758;-0.94;4.5558;0.998006776859504;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_6;MFD_SETNO6;44.632;60.650167;258880;42;08-mar-03;10:30:14;32.223;0.284;4.4776;0.354878512396694;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_7;MFD_SETNO7;44.7885;60.518167;258886;5;08-mar-03;12:15:50;32.438;1.233;4.3761;0.0946062644628099;1;32.442;1;7.166;7;256;NaN;NaN
NED2003003_7;MFD_SETNO7;44.7885;60.518167;258885;25;08-mar-03;12:15:50;32.084;0.81;4.7967;15.5522631404959;1;32.088;1;8.7935;7;256;NaN;NaN
NED2003003_7;MFD_SETNO7;44.7885;60.518167;258884;50;08-mar-03;12:15:50;32.082;0.783;4.8479;13.9151828099174;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_7;MFD_SETNO7;44.7885;60.518167;258883;132;08-mar-03;12:15:50;32.099;0.925;4.8815;15.5522631404959;1;32.102;1;8.803;7;256;NaN;NaN
NED2003003_8;MFD_SETNO8;44.8645;60.6225;258890;5;08-mar-03;14:04:21;32.519;1.211;4.4109;0.0814960330578512;1;32.515;1;7.0485;7;256;NaN;NaN
NED2003003_8;MFD_SETNO8;44.8645;60.6225;258889;25;08-mar-03;14:04:21;32.034;0.079;4.6004;7.65434413223141;1;32.042;1;8.5695;7;256;NaN;NaN
NED2003003_8;MFD_SETNO8;44.8645;60.6225;258888;50;08-mar-03;14:04:21;32.04;0.04;4.8097;8.16088161157025;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_8;MFD_SETNO8;44.8645;60.6225;258887;133;08-mar-03;14:04:21;32.042;0.051;4.8189;10.0271170247934;1;32.043;1;8.369;7;256;NaN;NaN
NED2003003_9;MFD_SETNO9;44.834333;60.390167;258894;5;08-mar-03;16:13:52;32.999;2.64;4.1425;0.118700743801653;1;33;1;6.544;7;256;NaN;NaN
NED2003003_9;MFD_SETNO9;44.834333;60.390167;258893;25;08-mar-03;16:13:52;32.191;1.615;4.7173;13.9151828099174;1;32.194;1;8.527;7;256;NaN;NaN
NED2003003_9;MFD_SETNO9;44.834333;60.390167;258892;50;08-mar-03;16:13:52;32.191;1.606;4.8268;13.9151828099174;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_9;MFD_SETNO9;44.834333;60.390167;258891;296;08-mar-03;16:13:52;32.191;1.604;4.8488;11.8688323966942;1;NaN;9;NaN;9;0;NaN;NaN
NED2003003_10;MFD_SETNO10;44.907167;60.1575;258898;5;08-mar-03;19:29:17;31.77;-1.003;5.1601;0.573924214876033;1;NaN;9;NaN;9;0;NaN;NaN
