CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301319;3;19-mar-08;14:43:31;31.5905;0.2608;4.84346;0.0484676865671642;1;31.606;1;7.8395;7;6.39;1;0.846;1;7.0965;1;256;7.55;0.90
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301318;6;19-mar-08;14:43:31;31.5909;0.263;4.84114;1.17014843283582;1;NaN;9;NaN;9;6.3325;1;0.8285;1;7.147;1;0;7.64;0.89
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301317;11;19-mar-08;14:43:31;31.5911;0.2561;4.84218;0.484676865671642;1;NaN;9;NaN;9;6.2145;1;0.8145;1;7.183;1;0;7.63;0.87
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301316;20;19-mar-08;14:43:31;31.5964;0.2506;4.83516;0.484676865671642;1;NaN;9;NaN;9;6.3185;1;0.8325;1;7.4535;1;0;7.59;0.85
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301315;29;19-mar-08;14:43:31;31.5983;0.257;4.8333;0.360045671641791;1;NaN;9;NaN;9;6.3115;1;0.827;1;7.1695;1;0;7.63;0.88
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301314;40;19-mar-08;14:43:31;31.6011;0.2651;4.8326;0.775482985074627;1;31.615;1;7.8445;7;6.189;1;0.814;1;7.073;1;256;7.60;0.88
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301313;50;19-mar-08;14:43:31;31.6038;0.2747;4.82495;0.567764328358209;1;NaN;9;NaN;9;6.3475;1;0.825;1;7.172;1;0;7.69;0.89
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301312;81;19-mar-08;14:43:31;31.6474;0.5329;4.72427;0.437338796641791;1;NaN;9;NaN;9;6.806;1;0.857;1;7.5485;1;0;7.94;0.90
