CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272610;1;19-feb-05;02:16:35;31.591;0.524;0.3623;0.35637015503876;1;31.214;7;10.1235;4;4.206;1;0.671;1;5.088;1;260;6.27;0.83
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272609;5;19-feb-05;02:16:35;31.183;0.537;0.4756;0.361251937984496;1;NaN;9;NaN;9;5.3965;1;0.772;1;6.833;1;0;6.99;0.79
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272608;10;19-feb-05;02:16:35;31.185;0.54;0.5443;0.327079457364341;1;NaN;9;NaN;9;5.0515;1;0.684;1;5.8365;1;0;7.39;0.87
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272607;20;19-feb-05;02:16:35;31.206;0.539;11.2627;0.336843023255814;1;NaN;9;NaN;9;5.2735;1;0.7285;1;6.067;1;0;7.24;0.87
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272606;30;19-feb-05;02:16:35;31.208;0.548;14.4179;0.331961240310078;1;NaN;9;NaN;9;5.179;1;0.732;1;6.048;1;0;7.08;0.86
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272605;40;19-feb-05;02:16:35;31.343;0.726;15.7336;0.351488372093023;1;31.371;1;9.9605;3;5.8135;1;0.7425;1;6.497;1;16;7.83;0.89
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272604;50;19-feb-05;02:16:35;31.661;1.145;16.4965;0.278261627906977;1;NaN;9;NaN;9;5.6605;1;0.8165;1;6.339;1;0;6.93;0.89
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272603;75;19-feb-05;02:16:35;31.906;1.711;16.6923;0.20503488372093;1;NaN;9;NaN;9;5.4325;1;0.7605;1;5.468;1;0;7.14;0.99
