CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357661;2;02-jul-10;15:36:46;30.4751;13.3662;5.7537;0.251026122457627;1;30.4927082061768;1;5.147;1;0.091;1;0.1025;1;0.2925;1;1.135;1;0;0.35;0.09
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357660;5;02-jul-10;15:36:46;30.485;12.9184;6.16316;0.305597018644068;1;NaN;9;NaN;9;0.0875;1;0.0925;1;0.2905;1;1.0665;1;0;0.32;0.09
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357659;9;02-jul-10;15:36:46;31.179;13.2852;6.48733;0.497313423728814;1;NaN;9;NaN;9;0.087;1;0.1185;1;0.3075;1;0.5815;1;0;0.39;0.20
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357658;20;02-jul-10;15:36:46;31.3304;4.7491;7.369;0.72110446440678;1;NaN;9;NaN;9;0.173;1;0.904;1;0.5625;1;2.4765;1;0;1.61;0.37
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357657;30;02-jul-10;15:36:46;31.48;3.6256;7.63143;0.269216421186441;1;NaN;9;NaN;9;0.1925;1;1.1345;1;0.6385;1;2.61;1;0;1.78;0.43
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357656;40;02-jul-10;15:36:46;31.5949;3.7785;7.59223;0.287406719915254;1;31.6146049499512;1;6.555;7;0.1905;1;1.2805;1;0.613;1;2.6735;1;256;2.09;0.48
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357655;49;02-jul-10;15:36:46;31.6119;3.2343;7.57619;0.174665479661017;1;NaN;9;NaN;9;0.2205;1;1.7005;1;0.681;1;3.2615;1;0;2.50;0.52
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357654;75;02-jul-10;15:36:46;32.0924;2.2655;7.24361;0.101670950847458;1;NaN;9;NaN;9;0.268;1;4.7495;1;0.89;1;5.333;1;0;5.34;0.89
