CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257822;3;18-jul-04;02:22:03;30.88;14.081;4.6223;4.6223;1;14.081;1;30.88;1;0;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257821;5;18-jul-04;02:22:03;30.88;14.086;4.6205;4.6205;1;14.086;1;30.88;1;0;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257820;10;18-jul-04;02:22:03;30.886;14.001;4.622;4.622;1;14.001;1;30.886;1;0;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257819;20;18-jul-04;02:22:03;31.528;5.219;4.4228;4.4228;1;5.219;1;31.528;1;0;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257818;30;18-jul-04;02:22:03;31.761;2.908;4.8469;4.8469;1;2.908;1;31.761;1;0;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257817;40;18-jul-04;02:22:03;32.235;4.435;5.1753;5.1753;1;4.435;1;32.235;1;0;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257816;50;18-jul-04;02:22:03;32.304;3.147;5.2876;5.2876;1;3.147;1;32.304;1;0;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257815;75;18-jul-04;02:22:03;32.532;1.853;4.878;4.878;1;1.853;1;32.532;1;0;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257814;100;18-jul-04;02:22:03;32.815;2.708;4.5923;4.5923;1;2.708;1;32.815;1;0;NaN;NaN
