CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274924;2;06-jul-06;02:35:22;30.9875;12.5147;4.82019;0.399783096774194;1;31.016;1;7.041;7;0;1;0.266;1;0.9505;1;256;0.00;0.00
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274923;4;06-jul-06;02:35:22;31.0267;12.5141;4.83349;0.387544838709677;1;NaN;9;NaN;9;0.0355;1;0.265;1;1.0175;1;0;0.13;0.03
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274922;10;06-jul-06;02:35:22;31.2426;12.1858;4.87348;0.334512387096774;1;NaN;9;NaN;9;0.0105;1;0.263;1;0.976;1;0;0.04;0.01
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274921;20;06-jul-06;02:35:22;31.6545;6.5196;5.69915;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274920;30;06-jul-06;02:35:22;32.0878;5.3191;5.49747;0.693298064516129;1;NaN;9;NaN;9;0.225;1;0.4515;1;1.3025;1;0;0.50;0.17
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274919;41;06-jul-06;02:35:22;32.5154;5.6308;5.11727;1.34877987096774;1;32.467;1;7.638;7;0.9095;1;0.535;1;2.983;1;256;1.70;0.30
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274918;49;06-jul-06;02:35:22;32.7186;5.8145;5.15484;0.68069264516129;1;NaN;9;NaN;9;0.414;1;0.451;1;2.7805;1;0;0.92;0.15
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274917;75;06-jul-06;02:35:22;33.1582;5.8978;4.51792;0.216209225806452;1;NaN;9;NaN;9;4.6135;1;0.6065;1;4.2005;1;0;7.61;1.10
