CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEM2007686_1;MFD_SETNO1;44.383517;-61.358667;304480;5;06-mar-07;11:16:49;31.7847;1.0538;6.16221;0.142779677419355;1;31.986;7;7.858;7;6.197;1;0.8055;1;6.7635;1;256;7.69;0.92
TEM2007686_1;MFD_SETNO1;44.383517;-61.358667;304479;120;06-mar-07;11:16:49;33.8311;7.5017;3.46566;0.0122382580645161;1;33.934;7;4.542;7;14.506;1;1.263;1;13.553;1;256;11.49;1.07
TEM2007686_3;MFD_SETNO3;44.141517;-61.195;304483;66;06-mar-07;16:05:40;32.8308;4.1642;4.82324;0.0122382580645161;1;32.791;1;NaN;9;10.6205;1;1.0485;1;11.071;1;0;10.13;0.96
TEM2007686_45;MFD_SETNO3;44.141517;-61.195;999999;5;06-mar-07;16:05:40;NaN;NaN;4.89221;NaN;9;34.0709;1;6.16492;7;NaN;9;NaN;9;31.6728;2;2304;NaN;NaN
TEM2007686_5;MFD_SETNO5;44.325;-60.8103;304484;1;07-mar-07;00:40:59;NaN;NaN;-1.5054;31.219;1;NaN;9;0.0938266451612903;7;7.202;1;7.142;4;0.878;1;262;NaN;8.20
TEM2007686_6;MFD_SETNO6;44.1307;-60.7257;304485;1;07-mar-07;02:37:59;NaN;NaN;-1.3107;30.736;1;NaN;9;0.522165677419355;7;6.3265;1;5.6525;4;0.7935;1;262;NaN;7.97
TEM2007686_7;MFD_SETNO7;44.2483;-60.5577;304486;1;07-mar-07;04:09:59;NaN;NaN;0.842;32.01;1;NaN;9;0.114223741935484;1;1.2945;1;6.9735;4;0.8805;1;6;NaN;1.47
TEM2007686_8;MFD_SETNO8;44.2467;-60.4533;304487;1;07-mar-07;06:02:00;NaN;NaN;1.3282;31.89;1;NaN;9;0.114223741935484;7;0.9275;1;6.449;4;0.8745;1;262;NaN;1.06
