CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;OXY_XX;TEMP_RT;SSAL_BS;pH_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(ml/l);(celsius);(g/kg);((none))
17002_001;001;43.54297;-64.24113;436837;197.96;04-mar-17;09:32:00;197.96;35.0939;10.8193;2.3081;7.715;2.3081;10.8193;35.0939;7.715
17002_001;001;43.543;-64.24006;436838;50.74;04-mar-17;09:36:00;50.742;31.2487;1.3357;7.2295;7.8;7.2295;1.3357;31.2487;7.8
17002_001;001;43.543;-64.23976;436839;26.53;04-mar-17;09:37:00;26.531;31.2156;1.3021;7.268;7.794;7.268;1.3021;31.2156;7.794
17002_001;001;43.54298;-64.23948;436840;6.35;04-mar-17;09:37:00;6.359;31.216;1.2917;7.2856;7.798;7.2856;1.2917;31.216;7.798
17002_003;003;43.26222;-65.02587;436841;162.14;04-mar-17;19:48:00;162.147;32.9906;5.9565;4.8569;7.793;4.8569;5.9565;32.9906;7.793
17002_003;003;43.26184;-65.02514;436842;49.45;04-mar-17;19:50:00;49.454;31.4924;1.7698;7.0344;7.851;7.0344;1.7698;31.4924;7.851
17002_003;003;43.26172;-65.02491;436843;24.59;04-mar-17;19:51:00;24.598;31.3863;1.6096;7.2078;7.846;7.2078;1.6096;31.3863;7.846
17002_003;003;43.26164;-65.0247;436844;4.03;04-mar-17;19:51:00;4.036;31.3847;1.5927;7.2209;7.849;7.2209;1.5927;31.3847;7.849
17002_004;005;42.10532;-68.97854;436845;133.62;06-mar-17;14:37:00;133.627;33.3206;7.0513;5.9505;7.736;5.9505;7.0513;33.3206;7.736
17002_004;005;42.10416;-68.97798;436846;50.16;06-mar-17;14:41:00;50.168;32.8842;5.7393;6.3466;7.763;6.3466;5.7393;32.8842;7.763
17002_004;005;42.10394;-68.97786;436847;24.47;06-mar-17;14:41:00;24.472;32.8028;5.516;6.3893;7.765;6.3893;5.516;32.8028;7.765
17002_004;005;42.10366;-68.97774;436848;4.93;06-mar-17;14:42:00;4.938;32.8029;5.5215;6.4116;7.766;6.4116;5.5215;32.8029;7.766
17002_005;009;41.1993;-69.1962;436849;82.7;07-mar-17;03:39:00;82.703;33.1985;6.3844;6.398;7.763;6.398;6.3844;33.1985;7.763
17002_005;009;41.1993;-69.1962;436850;5.46;07-mar-17;03:34:00;5.465;33.2;6.373;5.0608;8.016;5.0608;6.373;33.2;8.016
17002_006;010;40.8493;-69.2269;436851;59.49;07-mar-17;06:31:00;59.497;33.2157;6.2505;6.4784;7.756;6.4784;6.2505;33.2157;7.756
17002_006;010;40.8493;-69.2269;436852;5.6;07-mar-17;06:22:00;5.606;33.2179;6.2672;6.224;8.03;6.224;6.2672;33.2179;8.03
17002_007;011;40.7771;-69.8322;436853;34.85;07-mar-17;11:05:00;34.85;32.9165;5.1834;6.9676;7.805;6.9676;5.1834;32.9165;7.805
17002_007;011;40.7771;-69.8322;436854;5.56;07-mar-17;10:58:00;5.566;32.9132;5.1723;6.4008;8.047;6.4008;5.1723;32.9132;8.047
17002_008;012;40.5091;-69.751;436855;66.16;07-mar-17;13:29:00;66.169;33.1325;5.9409;6.7598;7.836;6.7598;5.9409;33.1325;7.836
17002_008;012;40.5091;-69.751;436856;4.67;07-mar-17;13:32:00;4.678;33.1337;5.9286;6.2274;7.834;6.2274;5.9286;33.1337;7.834
17002_009;HL_02;44.2728;-63.3265;436857;159.22;08-mar-17;23:11:00;159.227;32.2498;3.1881;6.4567;7.801;6.4567;3.1881;32.2498;7.801
17002_009;HL_02;44.2728;-63.3265;436858;101.19;08-mar-17;23:06:00;101.19;32.0077;2.308;6.7357;7.847;6.7357;2.308;32.0077;7.847
17002_009;HL_02;44.2728;-63.3265;436859;76.7;08-mar-17;23:06:00;76.7;31.9543;2.1541;6.7945;7.854;6.7945;2.1541;31.9543;7.854
17002_009;HL_02;44.2728;-63.3265;436860;50.76;08-mar-17;23:05:00;50.764;31.5568;1.1984;7.2272;7.876;7.2272;1.1984;31.5568;7.876
17002_009;HL_02;44.2728;-63.3265;436861;40.41;08-mar-17;23:05:00;40.416;31.1129;0.3221;7.2272;7.895;7.2272;0.3221;31.1129;7.895
17002_009;HL_02;44.2728;-63.3265;436862;31.43;08-mar-17;23:05:00;31.435;31.0924;0.3125;7.6514;7.899;7.6514;0.3125;31.0924;7.899
17002_009;HL_02;44.2728;-63.3265;436863;20.8;08-mar-17;23:04:00;20.802;31.0913;0.3118;7.6492;7.903;7.6492;0.3118;31.0913;7.903
17002_009;HL_02;44.2728;-63.3265;436864;10.29;08-mar-17;22:57:00;10.293;31.0924;0.3078;7.6642;8.089;7.6642;0.3078;31.0924;8.089
17002_009;HL_02;44.2728;-63.3265;436865;5.6;08-mar-17;22:57:00;5.604;31.0911;0.3127;7.6646;8.109;7.6646;0.3127;31.0911;8.109
17002_009;HL_02;44.2728;-63.3265;436866;1.87;08-mar-17;22:57:00;1.871;31.0904;0.6829;7.6636;8.184;7.6636;0.6829;31.0904;8.184
