CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(PSU);(ml/l)
NED2003003_108;MFD_SETNO108;43.348333;62.604;181070;94;20-mar-03;05:25:11;31.847;0.1;4.9781;1.42572396694215;NaN;NaN
NED2003003_108;MFD_SETNO108;43.348333;62.604;181071;50;20-mar-03;05:25:11;31.847;0.092;4.8555;1.4613670661157;31.85;8.2165
NED2003003_108;MFD_SETNO108;43.348333;62.604;181072;25;20-mar-03;05:25:11;34.566;9.592;3.6995;0.124015702479339;34.556;4.5165
NED2003003_108;MFD_SETNO108;43.348333;62.604;181073;5;20-mar-03;05:25:11;32.687;4.068;5.2422;1.63958256198347;NaN;NaN
NED2003003_109;MFD_SETNO109;42.988;62.978;181074;133;20-mar-03;08:08:11;32.071;0.961;5.0526;2.31680144628099;NaN;NaN
NED2003003_109;MFD_SETNO109;42.988;62.978;181075;50;20-mar-03;08:08:11;32.064;0.879;4.8438;2.96597524793388;32.071;8.164
NED2003003_109;MFD_SETNO109;42.988;62.978;181076;25;20-mar-03;08:08:11;34.895;10.326;3.6577;0.195795041322314;34.887;4.6355
NED2003003_109;MFD_SETNO109;42.988;62.978;181077;5;20-mar-03;08:08:11;33.039;4.429;4.9228;1.67522566115702;NaN;NaN
NED2003003_11;MFD_SETNO11;45.042;60.039333;245433;25;08-mar-03;21:34:28;32.656;2.613;5.0975;10.6410221487603;NaN;NaN
NED2003003_11;MFD_SETNO11;45.042;60.039333;245434;5;08-mar-03;21:34:28;32.553;1.75;4.8136;9.82248198347107;32.547;8.214
NED2003003_11;MFD_SETNO11;45.042;60.039333;258899;114;08-mar-03;21:34:28;31.697;-1.648;4.7031;0.427077933884298;NaN;NaN
NED2003003_11;MFD_SETNO11;45.042;60.039333;258900;50;08-mar-03;21:34:28;31.669;-1.642;4.5227;0.428301652892562;31.651;8.51
NED2003003_110;MFD_SETNO110;43.111667;63.265667;181078;155;20-mar-03;10:38:08;32.682;0.823;4.3959;0.359773388429752;32.687;6.987
NED2003003_110;MFD_SETNO110;43.111667;63.265667;181079;50;20-mar-03;10:38:08;31.72;-1.409;4.7678;0.0595275371900827;NaN;NaN
NED2003003_110;MFD_SETNO110;43.111667;63.265667;181080;25;20-mar-03;10:38:08;35.115;10.264;3.3537;0.102755867768595;35.109;3.9085
NED2003003_110;MFD_SETNO110;43.111667;63.265667;181081;5;20-mar-03;10:38:08;31.888;0.349;5.135;3.03922487603306;NaN;NaN
NED2003003_111;MFD_SETNO111;44.269167;63.329;258860;162;06-mar-03;00:11:51;31.885;0.258;5.0828;3.15178876033058;NaN;NaN
NED2003003_111;MFD_SETNO111;44.269167;63.329;258861;75;06-mar-03;00:11:51;31.882;0.229;4.8481;3.03922487603306;31.887;8.2425
NED2003003_111;MFD_SETNO111;44.269167;63.329;258862;40;06-mar-03;00:11:51;33.272;5.165;3.5578;0.0389763636363636;33.256;5.5515
NED2003003_111;MFD_SETNO111;44.269167;63.329;258863;5;06-mar-03;00:11:51;31.983;0.306;4.3884;0.15377947107438;NaN;NaN
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181082;146;20-mar-03;17:07:48;31.283;-1.582;4.4504;0.372010578512397;NaN;NaN
NED2003003_112;MFD_SETNO112;44.2675;63.314667;181083;100;20-mar-03;17:07:48;31.264;-1.536;4.3398;0.360997107438017;31.279;8.604
