CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326501;127;11-feb-09;20:05:28;32.8025;3.6062;3.41467;0.0299798957627119;11.6625;1.0835;11.899;33.72;0.123;4.736
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326502;101;11-feb-09;20:05:28;32.2999;2.5222;3.73955;0.110795266949153;9.0335;0.9025;8.578;NaN;0.155;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326503;76;11-feb-09;20:05:28;31.8547;1.5958;4.0084;0.123830004237288;8.1435;0.846;7.708;NaN;0.1265;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326504;51;11-feb-09;20:05:28;31.4139;0.5806;4.34196;0.211007465254237;6.0455;0.691;5.7375;NaN;0.17;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326505;40;11-feb-09;20:05:28;31.0306;-0.3023;4.52919;0.218283584745763;8.288;0.7815;6.9325;31.113;0.167;7.447
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326506;30;11-feb-09;20:05:28;30.9478;-0.6416;4.56064;0.25466418220339;6.984;0.6945;5.782;NaN;0.1535;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326507;20;11-feb-09;20:05:28;30.9465;-0.6473;4.56158;0.258302241949152;7.809;0.7605;6.939;NaN;0.159;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326508;11;11-feb-09;20:05:28;30.946;-0.6545;4.56222;0.334701496610169;6.8305;0.705;6.171;NaN;0.133;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326509;5;11-feb-09;20:05:28;30.9457;-0.6522;4.557;0.298320899152542;7.1685;0.7005;6.3755;NaN;0.143;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326510;2;11-feb-09;20:05:28;30.946;-0.6516;4.55283;0.327425377118644;8.644;0.782;6.9795;30.942;0.1525;8.044
NED2009841_10;MFD_SETNO10;41.9813;-66.7307;326519;74;15-feb-09;16:57:56;32.9911;4.8278;3.8984;0.352891795338983;8.0685;0.8805;10.039;32.988;0.401;6.8605
