CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(ml/l)
NED2013022_127;MFD_SETNO127;43.6975;-60.9983;384248;4;18-jul-13;10:00:22;31.3346;16.7238;5.02964;0.304819474789916;0.09;0.222;0.1;NaN;0.04;6.025;NaN
NED2013022_128;MFD_SETNO128;43.7587;-61.1967;388501;52;18-jul-13;11:44:40;32.2445;5.7028;5.79884;0.895300525210084;1.735;0.5175;0.545;32.2601776123047;0.07;6.817;NaN
NED2013022_128;MFD_SETNO128;43.7587;-61.1967;388502;26;18-jul-13;11:44:40;32.0026;7.5905;5.73781;0.859488504201681;0.455;0.355;0;NaN;0;NaN;NaN
NED2013022_128;MFD_SETNO128;43.7587;-61.1967;388503;5;18-jul-13;11:44:40;30.9903;18.4098;4.68718;0.254939924369748;0.23;0.1905;0;NaN;0;5.62;NaN
NED2013022_129;MFD_SETNO129;43.7212;-61.4042;388504;50;18-jul-13;13:31:00;32.2058;5.9195;5.81473;1.34295078781513;1.57;0.5075;0.185;32.2186088562012;0.055;6.8095;NaN
NED2013022_129;MFD_SETNO129;43.7212;-61.4042;388505;25;18-jul-13;13:31:00;32.0953;6.8233;6.00657;0.931112546218488;0.33;0.3475;0;NaN;0;NaN;NaN
NED2013022_129;MFD_SETNO129;43.7212;-61.4042;388506;4;18-jul-13;13:31:00;31.0315;18.3859;4.6935;0.216144718487395;0.215;0.188;0;NaN;0;5.616;NaN
NED2013022_13;MFD_SETNO13;43.0387;-65.0882;383836;163;04-jul-13;05:45:21;33.3567;6.5859;4.57157;0.0184999789915966;10.16;0.9545;10.34;33.3697776794434;0.07;NaN;5.2655
NED2013022_13;MFD_SETNO13;43.0387;-65.0882;383837;50;04-jul-13;05:45:21;32.4956;7.2298;5.48516;0.680428399159664;5.17;0.6365;4.705;NaN;0.26;NaN;NaN
NED2013022_13;MFD_SETNO13;43.0387;-65.0882;383838;25;04-jul-13;05:45:21;32.1677;10.4988;5.77644;2.36359338655462;3.475;0.4095;0.355;NaN;0.08;NaN;NaN
NED2013022_13;MFD_SETNO13;43.0387;-65.0882;383839;5;04-jul-13;05:45:21;31.9028;11.7838;5.62766;1.25342073529412;2.675;0.307;0;NaN;0.03;NaN;6.3395
NED2013022_130;MFD_SETNO130;43.9108;-61.6802;388507;74;18-jul-13;16:08:06;33.0905;5.2633;4.80559;0.0795499096638655;7.8;0.9335;8.535;33.103343963623;0.37;5.565;NaN
NED2013022_130;MFD_SETNO130;43.9108;-61.6802;388508;51;18-jul-13;16:08:06;32.5502;4.0349;5.60856;0.266024268907563;4.165;0.781;4.27;NaN;0.27;NaN;NaN
NED2013022_130;MFD_SETNO130;43.9108;-61.6802;388509;26;18-jul-13;16:08:06;31.8246;8.8917;6.3827;0.471084642857143;0.26;0.2775;0;NaN;0;NaN;NaN
NED2013022_130;MFD_SETNO130;43.9108;-61.6802;388510;6;18-jul-13;16:08:06;30.5882;18.154;4.77209;0.254939924369748;0.27;0.225;0;NaN;0;5.721;NaN
NED2013022_131;MFD_SETNO131;44.1498;-61.2108;388511;79;18-jul-13;19:07:12;33.0695;5.152;4.30138;0.110843445378151;11.15;1.1395;10.4;32.9669570922852;0.305;5.3215;NaN
NED2013022_131;MFD_SETNO131;44.1498;-61.2108;388512;50;18-jul-13;19:07:12;32.4129;4.4346;5.50123;0.360241197478992;4.52;0.736;3.515;NaN;0.24;NaN;NaN
NED2013022_131;MFD_SETNO131;44.1498;-61.2108;388513;25;18-jul-13;19:07:12;32.0154;7.5742;6.27174;0.680428399159664;0.335;0.3725;0;NaN;0;NaN;NaN
NED2013022_131;MFD_SETNO131;44.1498;-61.2108;388514;5;18-jul-13;19:07:12;30.9012;18.6025;4.70391;0.238313407563025;0;0.219;0;NaN;0;5.614;NaN
NED2013022_132;MFD_SETNO132;44.0027;-61.0957;388515;59;18-jul-13;20:58:32;32.4299;4.8352;5.7146;0.520964193277311;3.15;0.613;1.45;32.4444541931152;0.155;6.693;NaN
NED2013022_132;MFD_SETNO132;44.0027;-61.0957;388516;51;18-jul-13;20:58:32;32.4286;4.8256;5.72861;0.554217226890756;2.98;0.586;1.52;NaN;0.15;NaN;NaN
NED2013022_132;MFD_SETNO132;44.0027;-61.0957;388517;25;18-jul-13;20:58:32;32.0696;9.0206;6.22965;0.576385915966387;0.36;0.346;0;NaN;0;NaN;NaN
NED2013022_132;MFD_SETNO132;44.0027;-61.0957;388518;5;18-jul-13;20:58:32;30.8738;18.7356;4.62431;0.260482096638656;0.26;0.2045;0;NaN;0;5.599;NaN
NED2013022_133;MFD_SETNO133;43.9155;-61.026;388519;52;18-jul-13;22:25:29;32.302;5.3678;5.78605;0.877394514705882;2.23;0.5185;0;32.3126411437988;0.095;6.795;NaN
NED2013022_133;MFD_SETNO133;43.9155;-61.026;388520;25;18-jul-13;22:25:29;32.0422;8.883;6.15436;0.559759399159664;0.225;0.304;0;NaN;0;NaN;NaN
NED2013022_133;MFD_SETNO133;43.9155;-61.026;388521;4;18-jul-13;22:25:29;30.913;18.5365;4.71036;0.216144718487395;0;0.198;0;NaN;0;5.694;NaN
NED2013022_134;MFD_SETNO134;43.8227;-60.9065;388522;44;19-jul-13;00:10:57;32.1301;6.4976;5.75039;1.27132674579832;1.085;0.4745;0.065;32.1430854797363;0.055;6.743;NaN
NED2013022_134;MFD_SETNO134;43.8227;-60.9065;388523;25;19-jul-13;00:10:57;31.8935;8.7738;5.96461;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NED2013022_134;MFD_SETNO134;43.8227;-60.9065;388524;4;19-jul-13;00:10:57;31.1481;18.1334;4.81981;0.326988163865546;0;0.1805;0;NaN;0.07;2.9065;NaN
NED2013022_135;MFD_SETNO135;43.7335;-60.5975;388525;52;19-jul-13;02:26:51;32.3029;5.2236;5.3996;0.443373781512605;4.62;0.6515;1.18;32.2580986022949;0.155;6.407;NaN
NED2013022_135;MFD_SETNO135;43.7335;-60.5975;388526;25;19-jul-13;02:26:51;31.6017;10.5489;5.5998;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NED2013022_135;MFD_SETNO135;43.7335;-60.5975;388527;5;19-jul-13;02:26:51;31.1891;16.6255;5.07348;0.343614680672269;0.21;0.2435;0;NaN;0;3.069;NaN
NED2013022_136;MFD_SETNO136;43.7862;-60.3997;388528;51;19-jul-13;04:25:07;32.6129;4.617;5.4947;0.293735130252101;5.67;0.6785;2.975;32.599308013916;0.245;6.4725;NaN
NED2013022_136;MFD_SETNO136;43.7862;-60.3997;388529;25;19-jul-13;04:25:07;31.6542;10.199;5.83684;0.966924567226891;0.83;0.3315;0;NaN;0.05;NaN;NaN
NED2013022_136;MFD_SETNO136;43.7862;-60.3997;388530;4;19-jul-13;04:25:07;31.2314;16.444;5.07746;0.332530336134454;0.205;0.243;0;NaN;0;6.059;NaN
NED2013022_137;MFD_SETNO137;43.593;-60.315;388531;72;19-jul-13;06:19:03;32.9393;4.1109;5.5155;0.127469962184874;5.375;0.816;5.02;32.952751159668;0.275;6.5015;NaN
NED2013022_137;MFD_SETNO137;43.593;-60.315;388532;51;19-jul-13;06:19:03;32.6501;3.8126;5.68871;0.365783369747899;4.195;0.832;3.52;NaN;0.23;NaN;NaN
NED2013022_137;MFD_SETNO137;43.593;-60.315;388533;25;19-jul-13;06:19:03;32.0558;7.2099;6.01234;1.83111973109244;1.645;0.5075;0;NaN;0.085;NaN;NaN
NED2013022_137;MFD_SETNO137;43.593;-60.315;388534;5;19-jul-13;06:19:03;31.2975;15.7093;5.19213;0.332530336134454;0.375;0.291;0;NaN;0;6.23;NaN
NED2013022_138;MFD_SETNO138;43.4372;-60.3027;388535;174;19-jul-13;08:37:50;35.1888;10.427;3.17834;0.0203499768907563;9.445;1.151;16.6;35.2026176452637;0.08;3.8995;NaN
NED2013022_138;MFD_SETNO138;43.4372;-60.3027;388536;51;19-jul-13;08:37:50;33.9694;8.7813;4.89551;0.125799857142857;3.44;0.6285;5.675;NaN;0.08;NaN;NaN
NED2013022_138;MFD_SETNO138;43.4372;-60.3027;388537;26;19-jul-13;08:37:50;32.8902;10.3646;6.26322;1.55782291386555;1.385;0.2785;0;NaN;0;NaN;NaN
NED2013022_138;MFD_SETNO138;43.4372;-60.3027;388538;5;19-jul-13;08:37:50;31.377;17.4521;4.89067;0.343614680672269;0.425;0.2235;0;NaN;0;5.926;NaN
NED2013022_139;MFD_SETNO139;43.6953;-60.1038;388539;61;19-jul-13;11:26:23;32.6729;4.1951;5.57407;0.221686890756303;5.045;0.7125;3.795;32.665397644043;0.225;6.591;NaN
NED2013022_139;MFD_SETNO139;43.6953;-60.1038;388540;50;19-jul-13;11:26:23;32.4627;4.6201;5.83666;0.365783369747899;3.82;0.669;2.565;NaN;0.18;NaN;NaN
NED2013022_139;MFD_SETNO139;43.6953;-60.1038;388541;26;19-jul-13;11:26:23;31.8914;8.3863;5.81341;1.62944695588235;1.47;0.4085;0;NaN;0.05;NaN;NaN
NED2013022_139;MFD_SETNO139;43.6953;-60.1038;388542;6;19-jul-13;11:26:23;31.3439;15.4822;5.19708;0.371325542016807;0.225;0.2375;0;NaN;0;6.18;NaN
NED2013022_14;MFD_SETNO14;42.969;-64.722;383840;85;04-jul-13;08:16:05;32.6156;5.8674;5.39651;0.254939924369748;6.025;0.76;6.95;32.637767791748;0.07;NaN;6.1065
NED2013022_14;MFD_SETNO14;42.969;-64.722;383841;50;04-jul-13;08:16:05;32.6157;5.8707;5.41124;1.62944695588235;5.94;0.7685;6.865;NaN;0.08;NaN;NaN
NED2013022_14;MFD_SETNO14;42.969;-64.722;383842;25;04-jul-13;08:16:05;32.0147;9.6564;5.97229;0.160722995798319;2.275;0.3475;0;NaN;0.035;NaN;NaN
NED2013022_14;MFD_SETNO14;42.969;-64.722;383843;5;04-jul-13;08:16:05;31.7421;12.8542;5.44352;0.565301571428571;2.325;0.303;0;NaN;0.03;NaN;6.2445
NED2013022_140;MFD_SETNO140;43.6792;-59.8138;388543;86;19-jul-13;13:30:33;32.9729;4.2855;5.3543;0.10914987605042;5.48;0.779;5.665;32.9814643859863;0.265;6.17;NaN
NED2013022_140;MFD_SETNO140;43.6792;-59.8138;388544;50;19-jul-13;13:30:33;32.5028;3.8738;6.07381;0.515422021008403;3.235;0.6265;2.445;NaN;0.14;NaN;NaN
NED2013022_140;MFD_SETNO140;43.6792;-59.8138;388545;24;19-jul-13;13:30:33;32.2394;6.5409;6.24566;2.02337918697479;2.115;0.4835;0;NaN;0.06;NaN;NaN
NED2013022_140;MFD_SETNO140;43.6792;-59.8138;388546;4;19-jul-13;13:30:33;31.277;15.8667;5.14922;0.404578575630252;0.44;0.233;0;NaN;0;6.299;NaN
NED2013022_141;MFD_SETNO141;43.7712;-59.6137;388547;66;19-jul-13;15:22:58;32.6425;4.1412;5.68445;0.221686890756303;4.695;0.6805;3.365;32.6568298339844;0.22;6.6975;NaN
NED2013022_141;MFD_SETNO141;43.7712;-59.6137;388548;24;19-jul-13;15:22:58;31.7238;10.0188;5.62744;0.626710367647059;2.755;0.5395;1.67;NaN;0.145;NaN;NaN
NED2013022_141;MFD_SETNO141;43.7712;-59.6137;388549;51;19-jul-13;15:22:58;32.4867;4.6595;5.88127;1.59363493487395;1.125;0.394;0;NaN;0.05;NaN;NaN
NED2013022_141;MFD_SETNO141;43.7712;-59.6137;388550;5;19-jul-13;15:22:58;31.2666;15.7216;5.06508;0.443373781512605;0.285;0.2445;0;NaN;0;6.154;NaN
NED2013022_142;MFD_SETNO142;43.6962;-59.1548;388551;263;19-jul-13;18:09:39;34.9757;7.6961;3.27302;0.011099987394958;13.065;1.3305;20.55;34.9886627197266;0.1;3.938;NaN
NED2013022_142;MFD_SETNO142;43.6962;-59.1548;388552;51;19-jul-13;18:09:39;34.0665;8.3551;4.88199;0.114699869747899;3.5;0.6;5.715;NaN;0.08;NaN;NaN
NED2013022_142;MFD_SETNO142;43.6962;-59.1548;388553;25;19-jul-13;18:09:39;32.6174;11.2672;6.05565;1.21760871428571;0.97;0.2345;0;NaN;0;NaN;NaN
NED2013022_142;MFD_SETNO142;43.6962;-59.1548;388554;4;19-jul-13;18:09:39;32.2469;18.1649;4.76416;0.304819474789916;0.54;0.1795;0;NaN;0;5.75;NaN
NED2013022_143;MFD_SETNO143;43.7507;-59.3427;388555;106;19-jul-13;20:06:22;33.628;5.6199;4.98493;0.0758499138655463;6.725;0.793;8.565;33.5679664611816;0.24;6.0125;NaN
NED2013022_143;MFD_SETNO143;43.7507;-59.3427;388556;51;19-jul-13;20:06:22;32.8645;4.3507;5.81142;0.448915953781513;3.28;0.584;2.67;NaN;0.155;NaN;NaN
NED2013022_143;MFD_SETNO143;43.7507;-59.3427;388557;25;19-jul-13;20:06:22;32.657;10.2751;6.21435;0.931112546218487;0.69;0.214;0;NaN;0;NaN;NaN
NED2013022_143;MFD_SETNO143;43.7507;-59.3427;388558;5;19-jul-13;20:06:22;31.4148;15.8863;5.12857;0.493253331932773;0.43;0.2145;0;NaN;0;6.273;NaN
NED2013022_144;MFD_SETNO144;43.9425;-59.3478;388559;48;19-jul-13;22:10:06;32.5006;3.863;5.7635;0.399036403361345;4.825;0.702;4.075;32.4936370849609;0.19;6.8015;NaN
NED2013022_144;MFD_SETNO144;43.9425;-59.3478;388560;25;19-jul-13;22:10:06;32.3303;4.2081;5.86991;0.570843743697479;3.82;0.647;2.825;NaN;0.13;NaN;NaN
NED2013022_144;MFD_SETNO144;43.9425;-59.3478;388561;5;19-jul-13;22:10:06;31.3457;15.2721;5.18621;0.570843743697479;0.81;0.2915;0;NaN;0.08;6.404;NaN
NED2013022_145;MFD_SETNO145;44.0085;-59.3177;388562;41;19-jul-13;23:45:59;32.3217;4.0348;6.00255;0.698334409663866;3.78;0.619;2.595;32.2969245910645;0.12;7.0385;NaN
NED2013022_145;MFD_SETNO145;44.0085;-59.3177;388563;25;19-jul-13;23:45:59;31.9549;6.9451;5.94312;0.913206535714286;2.195;0.4765;2.095;NaN;0.08;NaN;NaN
NED2013022_145;MFD_SETNO145;44.0085;-59.3177;388564;5;19-jul-13;23:45:59;31.3119;15.5682;5.11896;0.315903819327731;0.48;0.2425;0.665;NaN;0.06;3.0655;NaN
NED2013022_146;MFD_SETNO146;44.2322;-59.537;388565;206;20-jul-13;02:18:31;34.4943;6.2911;4.2753;0.027749968487395;11.525;1.016;13.785;34.4978141784668;0.085;5.12;NaN
NED2013022_146;MFD_SETNO146;44.2322;-59.537;388566;51;20-jul-13;02:18:31;32.4422;3.3777;5.87188;0.41012074789916;3.07;0.5835;3.19;NaN;0.13;NaN;NaN
NED2013022_146;MFD_SETNO146;44.2322;-59.537;388567;26;20-jul-13;02:18:31;32.116;6.0501;6.31793;1.53991690336135;1.64;0.3845;0.57;NaN;0;NaN;NaN
NED2013022_146;MFD_SETNO146;44.2322;-59.537;388568;5;20-jul-13;02:18:31;31.1234;16.5594;4.93979;0.199518201680672;0.405;0.2455;0.255;NaN;0;5.908;NaN
NED2013022_147;MFD_SETNO147;44.3537;-59.438;388569;194;20-jul-13;04:18:56;34.3273;6.4763;4.36546;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NED2013022_147;MFD_SETNO147;44.3537;-59.438;388570;50;20-jul-13;04:18:56;32.5771;4.2681;6.15676;0.537590710084034;2.075;0.537;1.925;NaN;0.105;NaN;NaN
NED2013022_147;MFD_SETNO147;44.3537;-59.438;388571;26;20-jul-13;04:18:56;32.337;8.5455;6.14355;1.92749445378151;1.575;0.3755;0.28;NaN;0;NaN;NaN
NED2013022_147;MFD_SETNO147;44.3537;-59.438;388572;6;20-jul-13;04:18:56;30.9903;16.5245;4.93327;0.238313407563025;0.345;0.2535;0;NaN;0;5.296;NaN
NED2013022_148;MFD_SETNO148;44.4133;-59.252;388573;98;20-jul-13;06:35:28;33.6933;5.8107;4.96022;0.110843445378151;6.58;0.757;8.285;33.7105827331543;0.145;5.8525;NaN
NED2013022_148;MFD_SETNO148;44.4133;-59.252;388574;52;20-jul-13;06:35:28;32.395;2.4747;5.66286;0.127469962184874;6.96;0.8115;5.635;NaN;0.155;NaN;NaN
NED2013022_148;MFD_SETNO148;44.4133;-59.252;388575;24;20-jul-13;06:35:28;32.0023;7.7017;5.47051;0.271566441176471;5.59;0.7685;3.9;NaN;0.13;NaN;NaN
NED2013022_148;MFD_SETNO148;44.4133;-59.252;388576;5;20-jul-13;06:35:28;31.2113;16.0525;5.00766;0.288192957983193;0.39;0.2435;0.66;NaN;0;5.995;NaN
NED2013022_149;MFD_SETNO149;44.4717;-58.9647;388577;58;20-jul-13;08:36:56;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NED2013022_149;MFD_SETNO149;44.4717;-58.9647;388578;58;20-jul-13;08:36:56;32.249;2.3866;5.82959;0.299277302521008;5.345;0.7575;5.065;32.2663993835449;0.14;6.833;NaN
NED2013022_149;MFD_SETNO149;44.4717;-58.9647;388579;51;20-jul-13;08:36:56;32.2248;2.3161;5.84554;0.343614680672269;5.575;0.7775;4.895;NaN;0.15;NaN;NaN
NED2013022_149;MFD_SETNO149;44.4717;-58.9647;388580;25;20-jul-13;08:36:56;31.991;5.3311;6.28699;1.32504477731092;1.41;0.4085;0.71;NaN;0;NaN;NaN
NED2013022_149;MFD_SETNO149;44.4717;-58.9647;388581;6;20-jul-13;08:36:56;31.1979;16.1266;5.00795;0.321445991596639;0.42;0.246;0.41;NaN;0;5.979;NaN
NED2013022_15;MFD_SETNO15;42.9373;-64.8827;383844;84;04-jul-13;10:29:55;32.6625;6.2276;5.35615;0.188433857142857;6.105;0.742;6.66;32.6777458190918;0.085;NaN;6.068
NED2013022_15;MFD_SETNO15;42.9373;-64.8827;383845;50;04-jul-13;10:29:55;32.6638;6.2169;5.36693;0.171807340336135;6.06;0.745;6.61;NaN;0.08;NaN;NaN
NED2013022_15;MFD_SETNO15;42.9373;-64.8827;383846;24;04-jul-13;10:29:55;32.2531;7.9187;5.70084;2.12024389915966;3.67;0.5105;0.69;NaN;0.15;NaN;NaN
NED2013022_15;MFD_SETNO15;42.9373;-64.8827;383847;5;04-jul-13;10:29:55;31.6922;13.6408;5.3398;0.570843743697479;2.385;0.2885;0;NaN;0.03;NaN;6.048
NED2013022_150;MFD_SETNO150;44.4145;-59.0275;388582;65;20-jul-13;10:34:22;33.0136;4.5257;5.57455;0.171807340336135;4.96;0.6725;4.54;33.0170135498047;0.15;6.5645;NaN
NED2013022_150;MFD_SETNO150;44.4145;-59.0275;388583;50;20-jul-13;10:34:22;32.3839;2.97;5.80312;0.243855579831933;6.25;0.7585;4.055;NaN;0.145;NaN;NaN
NED2013022_150;MFD_SETNO150;44.4145;-59.0275;388584;23;20-jul-13;10:34:22;32.1395;6.8833;6.10695;1.39666881932773;1.94;0.451;0.75;NaN;0.065;NaN;NaN
NED2013022_150;MFD_SETNO150;44.4145;-59.0275;388585;4;20-jul-13;10:34:22;31.238;16.1359;4.99134;0.293735130252101;0.4;0.223;0.27;NaN;0;5.989;NaN
NED2013022_151;MFD_SETNO151;44.1067;-58.9178;388586;122;20-jul-13;13:15:24;33.5004;5.0602;4.97967;0.088674756302521;5.37;0.762;7.16;33.4792175292969;0.17;6.309;NaN
NED2013022_151;MFD_SETNO151;44.1067;-58.9178;388587;50;20-jul-13;13:15:24;32.6857;2.6559;6.26072;0.984830577731093;2.37;0.6195;2.66;NaN;0.12;NaN;NaN
NED2013022_151;MFD_SETNO151;44.1067;-58.9178;388588;25;20-jul-13;13:15:24;32.2401;6.7429;6.46445;0.859488504201681;0.42;0.2795;0.53;NaN;0.065;NaN;NaN
NED2013022_151;MFD_SETNO151;44.1067;-58.9178;388589;6;20-jul-13;13:15:24;31.4906;15.2228;5.1494;0.310361647058824;0.54;0.255;0.415;NaN;0.045;6.153;NaN
NED2013022_152;MFD_SETNO152;44.2653;-58.8593;388590;63;20-jul-13;15:10:21;32.9418;4.2096;5.71378;0.243855579831933;4.605;0.6905;5.475;32.9519882202148;0.185;6.707;NaN
NED2013022_152;MFD_SETNO152;44.2653;-58.8593;388591;51;20-jul-13;15:10:21;32.4075;3.2973;5.91981;0.260482096638656;5.17;0.7205;4.495;NaN;0.165;NaN;NaN
NED2013022_152;MFD_SETNO152;44.2653;-58.8593;388592;24;20-jul-13;15:10:21;32.0111;5.4251;6.16165;1.43248084033614;2.345;0.4895;1.55;NaN;0.105;NaN;NaN
NED2013022_152;MFD_SETNO152;44.2653;-58.8593;388593;4;20-jul-13;15:10:21;31.4926;15.8958;5.00791;0.326988163865546;0.575;0.2245;0.19;NaN;0.06;6.015;NaN
NED2013022_153;MFD_SETNO153;44.409;-58.605;388594;62;20-jul-13;17:25:08;32.3502;3.2188;6.01743;0.193976029411765;4.65;0.672;3.315;32.3690414428711;0.15;6.937;NaN
NED2013022_153;MFD_SETNO153;44.409;-58.605;388595;50;20-jul-13;17:25:08;32.2967;3.5343;5.99903;0.24939775210084;3.86;0.6425;2.875;NaN;0.14;NaN;NaN
NED2013022_153;MFD_SETNO153;44.409;-58.605;388596;25;20-jul-13;17:25:08;32.1092;4.8421;5.88288;1.12807866176471;2.745;0.531;1.625;NaN;0.1;NaN;NaN
NED2013022_153;MFD_SETNO153;44.409;-58.605;388597;5;20-jul-13;17:25:08;31.0418;16.257;5.00778;0.349156852941177;0.505;0.229;0.43;NaN;0.05;5.918;NaN
NED2013022_154;MFD_SETNO154;44.6518;-58.855;388598;72;20-jul-13;19:47:11;32.3903;1.8637;5.7174;0.0720482394957983;8.13;0.923;8.83;32.4116287231445;0.155;6.7135;NaN
NED2013022_154;MFD_SETNO154;44.6518;-58.855;388599;49;20-jul-13;19:47:11;32.012;1.6848;6.09519;0.752052441176471;5.135;0.841;6.43;NaN;0.19;NaN;NaN
NED2013022_154;MFD_SETNO154;44.6518;-58.855;388600;25;20-jul-13;19:47:11;31.1283;6.9176;6.68664;0.537590710084034;0.35;0.3295;0.475;NaN;0.04;NaN;NaN
NED2013022_154;MFD_SETNO154;44.6518;-58.855;388601;7;20-jul-13;19:47:11;30.6124;15.6647;5.06129;0.376867714285714;0.41;0.2305;0.64;NaN;0.04;6.077;NaN
NED2013022_155;MFD_SETNO155;44.7068;-59.1287;388602;91;20-jul-13;22:45:58;32.4454;1.9056;5.64327;0.0758499138655462;8.56;0.895;9.2;32.4648056030273;0.14;6.6395;NaN
NED2013022_155;MFD_SETNO155;44.7068;-59.1287;388603;49;20-jul-13;22:45:58;31.6923;2.3303;6.06297;0.526506365546219;4.275;0.82;5.345;NaN;0.195;NaN;NaN
NED2013022_155;MFD_SETNO155;44.7068;-59.1287;388604;26;20-jul-13;22:45:58;31.1676;6.3499;6.53452;1.00273658823529;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NED2013022_155;MFD_SETNO155;44.7068;-59.1287;388605;5;20-jul-13;22:45:58;30.7628;15.6039;5.07847;0.387952058823529;NaN;NaN;NaN;NaN;NaN;6.078;NaN
NED2013022_156;MFD_SETNO156;44.6963;-59.1975;388606;199;21-jul-13;01:36:03;32.6315;2.1275;5.39935;0.0536499390756303;NaN;NaN;NaN;32.6453971862793;NaN;6.389;NaN
NED2013022_156;MFD_SETNO156;44.6963;-59.1975;388607;51;21-jul-13;01:36:03;31.9429;1.7162;6.14217;0.465542470588235;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NED2013022_156;MFD_SETNO156;44.6963;-59.1975;388608;26;21-jul-13;01:36:03;31.1265;8.1143;6.48029;0.644616378151261;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NED2013022_156;MFD_SETNO156;44.6963;-59.1975;388609;5;21-jul-13;01:36:03;30.7712;15.4462;5.08992;0.371325542016807;0.575;0.2615;0.195;NaN;0;6.072;NaN
NED2013022_157;MFD_SETNO157;44.6033;-59.3537;388610;60;21-jul-13;04:13:26;32.2575;2.4012;5.79792;0.315903819327731;6.63;0.951;6.71;32.2745780944824;0.135;6.7985;NaN
NED2013022_157;MFD_SETNO157;44.6033;-59.3537;388611;51;21-jul-13;04:13:26;32.2519;2.4288;5.82464;0.354699025210084;6.435;0.9135;6.57;NaN;0.14;NaN;NaN
NED2013022_157;MFD_SETNO157;44.6033;-59.3537;388612;25;21-jul-13;04:13:26;31.5095;5.5822;6.69558;0.631807638655462;0.86;0.4035;0.455;NaN;0.08;NaN;NaN
NED2013022_157;MFD_SETNO157;44.6033;-59.3537;388613;4;21-jul-13;04:13:26;30.7591;15.3696;5.08735;0.338072508403361;0.385;0.2535;0.245;NaN;0;6.076;NaN
NED2013022_158;MFD_SETNO158;44.6693;-59.7467;388614;219;21-jul-13;08:03:35;33.0238;3.0776;4.54452;0.0443999495798319;13.695;1.2615;11.6;33.0354385375977;0.085;5.65;NaN
NED2013022_158;MFD_SETNO158;44.6693;-59.7467;388615;50;21-jul-13;08:03:35;32.0045;2.6078;5.9718;0.555086325630252;4.67;0.854;5.09;NaN;0.1;NaN;NaN
NED2013022_158;MFD_SETNO158;44.6693;-59.7467;388616;25;21-jul-13;08:03:35;31.2938;5.1821;6.76211;0.966924567226891;0.245;0.407;0.2;NaN;0;NaN;NaN
NED2013022_158;MFD_SETNO158;44.6693;-59.7467;388617;6;21-jul-13;08:03:35;30.8009;15.7739;4.97839;0.354699025210084;0.34;0.246;0.285;NaN;0;5.984;NaN
NED2013022_159;MFD_SETNO159;44.5103;-59.9072;388618;69;21-jul-13;11:05:31;32.2958;3.0434;5.75746;0.210602546218487;5.39;0.8195;4.705;32.315357208252;0.16;6.7795;NaN
NED2013022_159;MFD_SETNO159;44.5103;-59.9072;388619;51;21-jul-13;11:05:31;32.2568;3.0091;5.7984;0.221686890756303;5.26;0.824;4.61;NaN;0.155;NaN;NaN
NED2013022_159;MFD_SETNO159;44.5103;-59.9072;388620;24;21-jul-13;11:05:31;31.6762;4.5183;6.39306;0.966924567226891;1.7;0.4705;1.045;NaN;0.08;NaN;NaN
NED2013022_159;MFD_SETNO159;44.5103;-59.9072;388621;3;21-jul-13;11:05:31;30.8929;16.5389;4.94747;0.465542470588235;0.325;0.2055;0.165;NaN;0;5.891;NaN
NED2013022_16;MFD_SETNO16;42.7518;-65.3423;383848;100;04-jul-13;13:47:56;32.7317;7.0118;5.26769;0.177349512605042;6.24;0.7145;6.725;32.7460441589355;0.18;NaN;5.999
NED2013022_16;MFD_SETNO16;42.7518;-65.3423;383849;50;04-jul-13;13:47:56;32.7075;7.024;5.29289;0.20506037394958;6.095;0.701;6.345;NaN;0.18;NaN;NaN
NED2013022_16;MFD_SETNO16;42.7518;-65.3423;383850;25;04-jul-13;13:47:56;32.3996;9.2815;5.84828;2.69849223529412;4.17;0.4425;1.28;NaN;0.13;NaN;NaN
NED2013022_16;MFD_SETNO16;42.7518;-65.3423;383851;5;04-jul-13;13:47:56;32.407;10.0459;6.07766;3.75861418487395;3.85;0.358;0;NaN;0.04;NaN;6.8555
NED2013022_160;MFD_SETNO160;44.451;-59.9752;388622;129;21-jul-13;13:03:41;33.7817;5.5807;4.68936;0.0517999411764706;10.13;1.032;11.745;33.7880439758301;0.085;5.5795;NaN
