CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353001;147;05-feb-11;14:16:03;32.9864;5.2463;NaN;0.0505940069686412;10.6635;1.368;10.2725;NaN;0.201;5.3815
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353002;102;05-feb-11;14:16:03;31.5363;2.7378;NaN;0.342008657665505;4.8525;0.9545;4.0235;NaN;0.205;NaN
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353003;76;05-feb-11;14:16:03;31.4512;2.516;NaN;0.387335106271777;4.926;0.912;3.8235;NaN;0.271;NaN
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353004;50;05-feb-11;14:16:03;31.0821;2.42;NaN;0.271958691637631;5.585;0.9325;3.9595;NaN;0.6885;NaN
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353005;40;05-feb-11;14:16:03;31.067;2.4054;NaN;0.276079277874564;5.6085;0.93;3.9865;31.081;0.746;6.992
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353006;30;05-feb-11;14:16:03;31.0444;2.35;NaN;0.280199864111498;5.568;0.9235;3.959;NaN;0.803;NaN
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353007;20;05-feb-11;14:16:03;31.0118;2.2978;NaN;0.362611588850174;5.6285;0.9145;3.9635;NaN;0.853;NaN
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353008;10;05-feb-11;14:16:03;30.6218;1.98;NaN;0.469746831010453;6.149;0.931;4.063;NaN;0.914;NaN
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353009;6;05-feb-11;14:16:03;30.3818;1.979;NaN;0.440902727351916;6.2005;0.9355;3.927;NaN;0.974;NaN
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353010;4;05-feb-11;14:16:03;30.2818;1.977;NaN;0.469746831010453;6.132;0.9165;4.076;30.778;1.039;7.248
NED2011002_11;MFD_SETNO11;41.9865;-66.2072;353027;85;23-feb-11;07:36:57;32.7263;5.6578;4.9606;0.302523582089552;7.2385;0.9185;8.6465;32.739;0.2165;6.718
