CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357652;153;02-jul-10;15:36:46;34.014;7.3065;4.02024;0.0156416847457627;16.098;1.3655;16.1565;34.0176887512207;0.128;4.2275
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357653;100;02-jul-10;15:36:46;32.7038;3.2124;6.28364;0.0560493703389831;8.889;1.0475;8.959;NaN;0.2195;NaN
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357654;75;02-jul-10;15:36:46;32.0924;2.2655;7.24361;0.101670950847458;5.333;0.89;4.7495;NaN;0.268;NaN
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357655;49;02-jul-10;15:36:46;31.6119;3.2343;7.57619;0.174665479661017;3.2615;0.681;1.7005;NaN;0.2205;NaN
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357656;40;02-jul-10;15:36:46;31.5949;3.7785;7.59223;0.287406719915254;2.6735;0.613;1.2805;31.6146049499512;0.1905;6.555
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357657;30;02-jul-10;15:36:46;31.48;3.6256;7.63143;0.269216421186441;2.61;0.6385;1.1345;NaN;0.1925;NaN
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357658;20;02-jul-10;15:36:46;31.3304;4.7491;7.369;0.72110446440678;2.4765;0.5625;0.904;NaN;0.173;NaN
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357659;9;02-jul-10;15:36:46;31.179;13.2852;6.48733;0.497313423728814;0.5815;0.3075;0.1185;NaN;0.087;NaN
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357660;5;02-jul-10;15:36:46;30.485;12.9184;6.16316;0.305597018644068;1.0665;0.2905;0.0925;NaN;0.0875;NaN
NED2010027_1;MFD_SETNO1;44.2677;-63.3187;357661;2;02-jul-10;15:36:46;30.4751;13.3662;5.7537;0.251026122457627;1.135;0.2925;0.1025;30.4927082061768;0.091;5.147
NED2010027_10;MFD_SETNO10;43.2657;-64.1732;357694;86;07-jul-10;23:02:12;32.5301;2.835;6.34367;0.0703875813559322;7.389;1.108;8.695;32.545955657959;0.202;NaN
