CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEM2004004_1;MFD_SETNO1;42.0299;65.9223;263502;1;06-feb-04;17:05:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;31.955;NaN
TEM2004004_10;MFD_SETNO10;41.8049;66.1227;263516;1;07-feb-04;14:26:59;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.797;NaN
TEM2004004_11;MFD_SETNO11;41.8633;66.1941;263517;1;07-feb-04;15:51:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.889;NaN
TEM2004004_12;MFD_SETNO12;41.9258;66.1973;263518;1;07-feb-04;17:18:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.867;NaN
TEM2004004_13;MFD_SETNO13;41.9504;66.2147;263519;1;07-feb-04;18:36:59;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.782;NaN
TEM2004004_14;MFD_SETNO14;42.0293;66.2903;263520;1;07-feb-04;20:31:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.885;NaN
TEM2004004_15;MFD_SETNO15;42.137583;66.357117;263521;113;07-feb-04;23:53:20;33.353;4.815;5.8651;0.273379845;9.684;0.9775;11.936;33.383;6.5985
TEM2004004_15;MFD_SETNO15;42.137583;66.357117;263522;5;07-feb-04;23:53:20;32.759;3.635;6.3923;0.46376938;7.663;0.827;8.9635;32.806;7.1895
TEM2004004_15;MFD_SETNO15;42.137583;66.357117;263523;1;07-feb-04;23:53:20;32.761;3.637;6.3803;NaN;NaN;NaN;NaN;32.846;NaN
TEM2004004_16;MFD_SETNO16;42.103;66.4452;263524;1;08-feb-04;02:22:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.948;NaN
TEM2004004_17;MFD_SETNO17;42.060367;66.511117;263525;89;08-feb-04;04:13:10;32.802;3.525;6.3588;0.419833333;7.4755;0.8425;8.726;32.803;7.271
