CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274425;162;13-jul-05;18:03:57;33.743;6.191;3.6089;0.0287058709677419;12.908;1.329;12.575;33.756;4.855
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274426;100;13-jul-05;18:03:57;32.463;2.91;4.7337;0.17054664516129;7.6295;1.159;7.9875;NaN;NaN
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274427;75;13-jul-05;18:03:57;32.162;1.838;4.9318;0.0878061935483871;6.318;1.029;6.5955;NaN;NaN
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274428;50;13-jul-05;18:03:57;31.855;2.422;5.3063;0.354425806451613;4.5335;0.959;4.045;31.967;7.0095
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274429;40;13-jul-05;18:03:57;31.658;1.873;5.4603;NaN;NaN;NaN;NaN;NaN;NaN
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274430;30;13-jul-05;18:03:57;31.623;3.558;5.5951;0.496196129032258;1.603;0.846;1.0235;NaN;NaN
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274431;20;13-jul-05;18:03:57;31.36;4.841;5.7218;0.301261935483871;0.9175;0.5415;0.4475;NaN;NaN
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274432;10;13-jul-05;18:03:57;31.946;11.155;4.1521;0.318983225806452;0.653;0.471;0.44;NaN;NaN
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274433;5;13-jul-05;18:03:57;31.579;12.31;4.5136;0.24822135483871;0.8555;0.4165;0.4555;NaN;NaN
TEL2005633_0;MFD_SETNO0;44.271667;63.322333;274434;1;13-jul-05;18:03:57;28.788;13.9;4.9775;0.216138322580645;0.964;0.4105;0.439;30.611;6.2405
