CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEM2007686_1;MFD_SETNO1;44.383517;-61.358667;304479;120;06-mar-07;11:16:49;33.8311;7.5017;3.46566;0.0122382580645161;13.553;1.263;14.506;33.934;4.542
TEM2007686_1;MFD_SETNO1;44.383517;-61.358667;304480;5;06-mar-07;11:16:49;31.7847;1.0538;6.16221;0.142779677419355;6.7635;0.8055;6.197;31.986;7.858
TEM2007686_10;MFD_SETNO10;44.377183;-59.472733;304490;165;08-mar-07;06:44:34;33.8516;3.8017;4.72906;0.0163176774193548;10.3955;1.088;12.3235;34.064;5.8295
TEM2007686_10;MFD_SETNO10;44.377183;-59.472733;304491;6;08-mar-07;06:44:34;31.9619;0.3685;6.2304;0.212129806451613;7.0415;0.8775;6.889;32.177;7.684
TEM2007686_101;MFD_SETNO101;42.597267;-65.9596;304641;78;24-mar-07;02:57:59;34.2184;7.7628;4.00254;0.0815883870967742;8.3405;1.0035;13.0335;34.443;4.856
TEM2007686_101;MFD_SETNO101;42.597267;-65.9596;304642;6;24-mar-07;02:57:59;31.4431;1.8343;6.23801;0.693298064516129;6.8805;0.8235;6.391;31.66;7.576
TEM2007686_12;MFD_SETNO12;44.321767;-59.25835;304492;93;08-mar-07;09:27:04;33.397;2.9326;5.17888;0.0203970967741935;8.0845;0.9275;10.0225;33.563;6.365
TEM2007686_12;MFD_SETNO12;44.321767;-59.25835;304493;5;08-mar-07;09:27:04;32.0237;0.4486;6.21303;0.179494451612903;5.9355;0.7575;5.8915;32.241;7.727
TEM2007686_13;MFD_SETNO13;44.22985;-59.149783;304494;149;08-mar-07;11:12:47;33.7627;3.5087;4.94198;0.00407941935483871;6.7245;0.834;8.585;33.819;6.154
