CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336859;110;11-mar-10;09:26:38;32.0998;1.9761;6.67715;0.0834223186440678;8.61;1.07;7.4615;32.0838356018066;NaN;6.754
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336860;51;11-mar-10;09:26:38;31.5555;0.7601;7.56816;0.276492540677966;6.4235;0.905;5.491;NaN;NaN;NaN
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336861;50;11-mar-10;09:26:38;31.5555;0.7601;7.56816;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336862;25;11-mar-10;09:26:38;31.3948;0.7376;7.80527;0.487500005932203;5.1485;0.743;4.1485;NaN;NaN;NaN
NED2010002_1;MFD_SETNO1;44.8167;-61.7785;336863;5;11-mar-10;09:26:38;30.9386;0.5565;7.90222;0.50932836440678;6.901;0.8595;4.7125;NaN;NaN;7.8945
NED2010002_10;MFD_SETNO10;44.5505;-60.5345;336892;31;12-mar-10;18:50:53;31.9007;1.8585;7.57462;1.4670746;5.1605;0.8215;4.742;31.8972835540771;NaN;7.3165
NED2010002_10;MFD_SETNO10;44.5505;-60.5345;336893;25;12-mar-10;18:50:53;31.9015;1.8586;7.58061;1.54167161355932;5.037;0.7855;4.601;NaN;NaN;NaN
NED2010002_10;MFD_SETNO10;44.5505;-60.5345;336894;5;12-mar-10;18:50:53;31.9021;2.0154;7.56914;1.49194027118644;4.5175;0.7235;3.899;NaN;NaN;7.334
NED2010002_11;MFD_SETNO11;44.6223;-60.83;336895;61;12-mar-10;21:22:22;32.055;1.7632;7.38967;1.18111938135593;3.017;0.821;4.329;32.0420837402344;NaN;7.3175
NED2010002_11;MFD_SETNO11;44.6223;-60.83;336896;50;12-mar-10;21:22:22;31.932;1.7791;7.24967;0.633022395762712;5.359;0.8675;5.391;NaN;NaN;NaN
NED2010002_11;MFD_SETNO11;44.6223;-60.83;336897;25;12-mar-10;21:22:22;31.8761;1.6737;7.41805;0.74597013559322;4.1715;0.735;4.048;NaN;NaN;NaN
