CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2010001_29;MFD_SETNO29;40.9757;-66.5945;336809;5;02-mar-10;12:52:46;33.4456;7.3116;6.07652;0.38927239279661;6.793;0.8555;9.032;NaN;0.2235;6.118
NED2010001_3;MFD_SETNO3;42.0707;-66.3157;336785;84;27-feb-10;07:23:42;33.1875;6.3245;5.82135;0.138246270338983;9.9565;1.027;11.8085;33.1941108703613;0.18;5.963
NED2010001_3;MFD_SETNO3;42.0707;-66.3157;336786;5;27-feb-10;07:23:42;32.714;5.2094;6.61682;0.374720153813559;7.336;0.8035;8.63;NaN;0.2145;6.7255
NED2010001_31;MFD_SETNO31;41.3057;-66.8305;336810;71;02-mar-10;18:54:18;32.3729;4.4358;6.96581;0.609208944067797;5.9605;0.8255;7.2695;32.3789863586426;0.251;7.017
NED2010001_31;MFD_SETNO31;41.3057;-66.8305;336811;5;02-mar-10;18:54:18;32.3766;4.4653;6.962;0.596776108474576;5.9115;0.8235;7.2105;NaN;0.263;6.978
NED2010001_34;MFD_SETNO34;41.379;-67.2995;336812;42;03-mar-10;00:14:43;32.6681;4.7853;6.94813;1.05679102542373;5.596;0.806;7.334;32.6660919189453;0.1965;7.049
NED2010001_34;MFD_SETNO34;41.379;-67.2995;336813;5;03-mar-10;00:14:43;32.6728;4.7785;6.92112;1.06922386101695;5.8305;0.8175;7.5895;NaN;0.2025;7.059
NED2010001_35;MFD_SETNO35;41.3932;-67.65;336814;36;03-mar-10;02:34:06;32.7918;4.8127;6.97954;1.3427462440678;4.46;0.7575;6.8685;32.7900199890137;0.189;7.024
NED2010001_35;MFD_SETNO35;41.3932;-67.65;336815;6;03-mar-10;02:34:06;32.7923;4.8031;6.96269;1.42977609322034;4.84;0.786;7.5175;NaN;0.166;7.044
NED2010001_38;MFD_SETNO38;41.0828;-67.7733;336816;50;03-mar-10;07:10:58;32.7906;4.7646;6.97382;1.64113429830508;4.1955;0.733;7.1805;32.7892303466797;0.2465;6.956
NED2010001_38;MFD_SETNO38;41.0828;-67.7733;336817;5;03-mar-10;07:10:58;32.7937;4.7511;6.93663;1.39247758644068;4.4145;0.791;7.6695;NaN;0.1895;7.013
NED2010001_39;MFD_SETNO39;40.855;-67.2178;336818;87;03-mar-10;10:56:02;32.5266;4.8954;6.8014;0.621641779661017;6.2385;0.82;7.524;32.523120880127;0.2905;6.7805
NED2010001_39;MFD_SETNO39;40.855;-67.2178;336819;4;03-mar-10;10:56:02;32.4656;4.7226;6.35949;0.72110446440678;6.0535;0.8115;7.3255;NaN;0.258;6.878
NED2010001_40;MFD_SETNO40;40.7193;-67.5563;336820;82;03-mar-10;13:18:29;32.6432;5.2217;6.70362;0.571910437288136;6.361;1.69;7.7285;32.6416893005371;0.212;6.7855
NED2010001_40;MFD_SETNO40;40.7193;-67.5563;336821;5;03-mar-10;13:18:29;32.5968;5.0764;6.73355;0.584343272881356;6.3055;0.8155;7.5555;NaN;0.2295;6.846
NED2010001_45;MFD_SETNO45;41.7522;-68.7083;336822;167;06-mar-10;05:30:20;33.047;5.9208;5.79708;0.105503732627119;11.501;1.081;11.948;33.0409393310547;0.154;5.7565
NED2010001_45;MFD_SETNO45;41.7522;-68.7083;336823;7;06-mar-10;05:30:20;32.7892;5.1678;6.57633;0.34925373559322;8.6515;0.994;9.8005;NaN;0.1845;6.5095
NED2010001_46;MFD_SETNO46;41.7752;-68.1;336824;36;06-mar-10;10:25:16;32.9046;5.2567;6.78226;1.08165669661017;8.5055;1.027;9.7735;32.8971672058105;0.213;6.6915
NED2010001_46;MFD_SETNO46;41.7752;-68.1;336825;5;06-mar-10;10:25:16;32.9019;5.2386;6.77092;0.969761176271187;8.133;0.959;9.3115;NaN;0.2005;6.6975
NED2010001_49;MFD_SETNO49;41.69;-67.5152;336826;45;06-mar-10;16:14:00;32.4956;4.375;7.00355;1.03192535423729;5.89;0.8315;7.535;32.4892234802246;0.237;7.0185
NED2010001_49;MFD_SETNO49;41.69;-67.5152;336827;5;06-mar-10;16:14:00;32.4968;4.4056;6.99015;1.05679102542373;5.6635;0.8065;7.16;NaN;0.2125;7.055
NED2010001_50;MFD_SETNO50;41.7152;-66.6257;336828;62;06-mar-10;22:04:01;32.7931;5.3024;6.61525;0.584343272881356;8.2015;0.9135;9.668;32.7890205383301;0.1935;6.7235
NED2010001_50;MFD_SETNO50;41.7152;-66.6257;336829;5;06-mar-10;22:04:01;32.7965;5.2897;6.61177;0.534611930508475;7.99;0.8995;9.438;NaN;0.193;6.7015
NED2010001_51;MFD_SETNO51;41.8298;-66.6982;336830;66;07-mar-10;01:14:30;32.8073;5.287;6.65849;0.621641779661017;7.5075;0.8365;8.764;32.8050651550293;0.1915;6.7725
NED2010001_51;MFD_SETNO51;41.8298;-66.6982;336831;5;07-mar-10;01:14:30;32.813;5.2814;6.64263;0.584343272881356;8.184;0.9245;9.7815;NaN;0.208;6.7535
NED2010001_52;MFD_SETNO52;41.884;-66.5557;336832;71;07-mar-10;03:10:52;32.9277;5.4293;6.60375;0.571910437288136;7.3045;0.833;8.8125;32.9245872497559;0.1895;6.6335
NED2010001_52;MFD_SETNO52;41.884;-66.5557;336833;4;07-mar-10;03:10:52;32.929;5.4201;6.57836;0.559477601694915;8.121;0.8945;9.957;NaN;0.208;6.624
