CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
NED2006036_103;MFD_SETNO103;43.594783;-61.185483;296240;57;02-aug-06;12:05:29;32.6287;6.9124;4.57376;1.60364670967742;5.292;0.769;2.2785;32.637;6.1535
NED2006036_103;MFD_SETNO103;43.594783;-61.185483;296241;50;02-aug-06;12:05:29;32.4899;7.5368;4.72352;2.78729070967742;4.177;0.696;1.7725;NaN;NaN
NED2006036_103;MFD_SETNO103;43.594783;-61.185483;296242;26;02-aug-06;12:05:29;32.2615;8.7354;5.15241;1.52728258064516;0.943;0.492;0.2495;NaN;NaN
NED2006036_103;MFD_SETNO103;43.594783;-61.185483;296243;5;02-aug-06;12:05:29;31.704;19.2249;4.04937;0.114223741935484;1.1035;0.164;0.194;NaN;5.375
NED2006036_104;MFD_SETNO104;43.564917;-60.966683;296244;68;02-aug-06;13:54:00;33.3667;6.3726;4.3692;0.0530324516129032;6.9395;0.7425;6.169;33.405;5.8575
NED2006036_104;MFD_SETNO104;43.564917;-60.966683;296245;50;02-aug-06;13:54:00;32.6844;6.0464;5.03145;0.453795096774193;3.7745;0.632;2.932;NaN;NaN
NED2006036_104;MFD_SETNO104;43.564917;-60.966683;296246;24;02-aug-06;13:54:00;31.6786;15.641;4.60968;0.114223741935484;0.7695;0.264;0.209;NaN;NaN
NED2006036_104;MFD_SETNO104;43.564917;-60.966683;296247;4;02-aug-06;13:54:00;31.487;17.8626;4.21207;0.0758054838709677;0.587;0.195;0.216;NaN;5.5515
NED2006036_106;MFD_SETNO106;43.599383;-60.49295;296248;64;02-aug-06;17:27:01;32.9091;3.4561;4.83637;0.0256967741935484;5.2;0.831;5.6865;32.949;6.5105
NED2006036_106;MFD_SETNO106;43.599383;-60.49295;296249;49;02-aug-06;17:27:01;32.6516;4.1697;5.13241;0.126462;3.9275;0.732;3.9985;NaN;NaN
NED2006036_106;MFD_SETNO106;43.599383;-60.49295;296250;24;02-aug-06;17:27:01;32.2449;12.509;5.07695;0.399783096774194;0.7385;0.3285;0.2105;NaN;NaN
NED2006036_106;MFD_SETNO106;43.599383;-60.49295;296251;5;02-aug-06;17:27:01;31.104;17.1115;4.34533;0.095078064516129;0.4495;0.218;0.1555;NaN;5.78
NED2006036_109;MFD_SETNO109;43.84235;-60.401133;296252;41;02-aug-06;22:03:50;32.1181;8.6501;4.60473;1.4509184516129;2.341;0.6125;0.8485;32.074;6.2465
NED2006036_109;MFD_SETNO109;43.84235;-60.401133;296253;26;02-aug-06;22:03:50;31.4927;12.2767;4.84591;0.314115290322581;0.69;0.349;0.192;NaN;NaN
NED2006036_109;MFD_SETNO109;43.84235;-60.401133;296254;5;02-aug-06;22:03:50;31.1299;17.3743;4.34271;0.0758054838709677;0.3605;0.2375;0.218;NaN;5.766
NED2006036_110;MFD_SETNO110;43.84985;-59.905817;296255;41;03-aug-06;00:43:07;32.4094;6.7872;4.48862;0.579849290322581;6.3965;0.816;3.63;32.474;6.0135
NED2006036_110;MFD_SETNO110;43.84985;-59.905817;296256;25;03-aug-06;00:43:07;31.6499;11.0006;4.92627;1.83273909677419;1.392;0.5105;0.631;NaN;NaN
NED2006036_110;MFD_SETNO110;43.84985;-59.905817;296257;5;03-aug-06;00:43:07;31.2574;16.2496;4.0009;0.391624258064516;0.242;0.281;0.1695;NaN;5.9765
NED2006036_111;MFD_SETNO111;43.829;-59.341183;296258;67;03-aug-06;04:08:35;32.9233;4.3641;4.56385;0.0411148387096774;6.4715;0.864;6.7785;33;6.186
NED2006036_111;MFD_SETNO111;43.829;-59.341183;296259;48;03-aug-06;04:08:35;32.614;4.2525;4.85702;0.0539632258064516;4.7465;0.848;5.6395;NaN;NaN
NED2006036_111;MFD_SETNO111;43.829;-59.341183;296260;25;03-aug-06;04:08:35;31.9029;9.5355;5.16607;0.529427612903226;0.8735;0.3915;0.2415;NaN;NaN
NED2006036_111;MFD_SETNO111;43.829;-59.341183;296261;5;03-aug-06;04:08:35;31.1015;16.8114;4.35714;0.0616722580645161;0.502;0.203;0.148;NaN;5.8455
NED2006036_112;MFD_SETNO112;43.592617;-60.105233;296262;113;03-aug-06;08:23:34;34.1666;7.5276;3.98085;0.0167029032258065;7.3375;0.8875;10.4635;34.243;5.3795
NED2006036_112;MFD_SETNO112;43.592617;-60.105233;296263;50;03-aug-06;08:23:34;32.6154;4.8869;4.90876;0.371227161290323;3.83;0.7775;4.565;NaN;NaN
NED2006036_112;MFD_SETNO112;43.592617;-60.105233;296264;25;03-aug-06;08:23:34;32.1928;7.1859;5.28974;3.2836575483871;1.9685;0.6325;1.393;NaN;NaN
NED2006036_112;MFD_SETNO112;43.592617;-60.105233;296265;5;03-aug-06;08:23:34;31.1033;16.9728;4.31298;0.0513935483870968;0.3645;0.223;0.1585;NaN;5.7255
NED2006036_113;MFD_SETNO113;43.448567;-60.42115;296266;141;03-aug-06;11:07:37;35.077;10.343;3.12773;0.00513935483870968;8.604;1.018;14.8575;35.189;4.2325
NED2006036_113;MFD_SETNO113;43.448567;-60.42115;296267;50;03-aug-06;11:07:37;33.6125;9.9259;4.28693;0.0591025806451613;2.9835;0.498;1.654;NaN;NaN
NED2006036_113;MFD_SETNO113;43.448567;-60.42115;296268;24;03-aug-06;11:07:37;32.9421;14.4378;5.01121;0.232526903225806;1.342;0.1905;0.1395;NaN;NaN
NED2006036_113;MFD_SETNO113;43.448567;-60.42115;296269;4;03-aug-06;11:07:37;32.0101;18.4796;4.22781;0.122382580645161;0.5345;0.1595;0.137;NaN;5.576
NED2006036_12;MFD_SETNO12;45.23955;-60.41425;295897;80;22-jul-06;15:40:45;32.6282;2.6293;4.16393;0.0192725806451613;11.578;1.1455;10.887;32.6;5.645
NED2006036_12;MFD_SETNO12;45.23955;-60.41425;295898;50;22-jul-06;15:40:45;32.0813;2.7401;5.09266;0.187653290322581;4.6495;0.801;4.7205;NaN;NaN
NED2006036_12;MFD_SETNO12;45.23955;-60.41425;295899;25;22-jul-06;15:40:45;30.3896;11.9954;4.78663;0.932801032258064;2.2505;0.3895;0.3495;NaN;NaN
NED2006036_12;MFD_SETNO12;45.23955;-60.41425;295900;4;22-jul-06;15:40:45;29.8368;15.7542;4.50791;0.831957677419355;1.9275;0.264;0.034;NaN;5.9595
NED2006036_13;MFD_SETNO13;45.279333;-60.118817;295901;151;22-jul-06;18:55:30;33.3712;3.0576;3.69087;0.0359754838709677;16.247;1.2935;13.6245;33.38;5.0155
NED2006036_13;MFD_SETNO13;45.279333;-60.118817;295902;52;22-jul-06;18:55:30;32.314;2.1462;4.72168;0.102787096774194;6.9005;0.9405;7.436;NaN;NaN
NED2006036_13;MFD_SETNO13;45.279333;-60.118817;295903;26;22-jul-06;18:55:30;31.3996;4.5138;5.54211;0.945406451612903;3.543;0.61;2.0325;NaN;NaN
NED2006036_13;MFD_SETNO13;45.279333;-60.118817;295904;5;22-jul-06;18:55:30;30.0664;15.5152;4.55622;0.705903483870968;2.3375;0.197;0.077;NaN;6.014
NED2006036_14;MFD_SETNO14;45.376767;-59.8387;295905;122;22-jul-06;21:24:29;33.0021;2.6172;3.99121;0.0231270967741935;14.294;1.2325;12.004;33.011;5.3755
NED2006036_14;MFD_SETNO14;45.376767;-59.8387;295906;51;22-jul-06;21:24:29;32.2806;2.1525;4.66115;0.163174516129032;6.0255;0.663;5.688;NaN;NaN
NED2006036_14;MFD_SETNO14;45.376767;-59.8387;295907;25;22-jul-06;21:24:29;31.7757;5.7389;5.52142;1.04624980645161;2.493;0.423;0.6495;NaN;NaN
NED2006036_14;MFD_SETNO14;45.376767;-59.8387;295908;5;22-jul-06;21:24:29;30.2577;14.9907;4.63205;0.705903483870968;2.14;0.212;0.074;NaN;6.06
NED2006036_15;MFD_SETNO15;45.280533;-59.556217;295909;108;22-jul-06;23:55:32;32.5376;2.4706;4.3011;0.0603874193548387;10.3195;1.021;8.532;32.509;5.8225
NED2006036_15;MFD_SETNO15;45.280533;-59.556217;295910;51;22-jul-06;23:55:32;32.2087;2.8242;4.90508;0.265162258064516;5.2135;0.733;5.504;NaN;NaN
NED2006036_15;MFD_SETNO15;45.280533;-59.556217;295911;26;22-jul-06;23:55:32;30.9715;8.1266;5.2494;0.53848335483871;1.3145;0.3755;0.1325;NaN;NaN
NED2006036_15;MFD_SETNO15;45.280533;-59.556217;295912;5;22-jul-06;23:55:32;30.6251;15.5054;4.49602;0.330432967741935;1.1805;0.1805;0.0605;NaN;5.88
NED2006036_16;MFD_SETNO16;45.51295;-59.618817;295913;120;23-jul-06;03:31:26;33.1484;2.8168;3.89598;0.0205574193548387;13.9805;1.2525;12.2885;33.133;5.3955
NED2006036_16;MFD_SETNO16;45.51295;-59.618817;295914;49;23-jul-06;03:31:26;32.066;1.9725;5.40577;0.297797612903226;4.583;0.676;4.0625;NaN;NaN
NED2006036_16;MFD_SETNO16;45.51295;-59.618817;295915;26;23-jul-06;03:31:26;31.0333;10.2777;4.95613;1.08406606451613;2.354;0.429;0.5335;NaN;NaN
NED2006036_16;MFD_SETNO16;45.51295;-59.618817;295916;5;23-jul-06;03:31:26;30.2413;16.1563;4.45192;0.59967464516129;1.897;0.1815;0.0305;NaN;5.9305
