CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383784;177;27-jun-13;20:08:28;34.63;9.6631;2.91208;2.91208;9.6631;34.63
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383785;102;27-jun-13;20:08:28;33.277;5.9552;5.02881;5.02881;5.9552;33.277
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383786;75;27-jun-13;20:08:28;32.5143;3.3752;5.49781;5.49781;3.3752;32.5143
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383787;51;27-jun-13;20:08:28;32.1545;2.8415;6.03887;6.03887;2.8415;32.1545
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383788;40;27-jun-13;20:08:28;32.0222;3.2156;6.28683;6.28683;3.2156;32.0222
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383789;30;27-jun-13;20:08:28;31.8228;3.5936;6.68499;6.68499;3.5936;31.8228
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383790;20;27-jun-13;20:08:28;31.6375;7.9347;6.33372;6.33372;7.9347;31.6375
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383791;6;27-jun-13;20:08:28;31.1266;13.6718;5.2865;5.2865;13.6718;31.1266
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383792;5;27-jun-13;20:08:28;31.1268;13.7176;5.28897;5.28897;13.7176;31.1268
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383793;2;27-jun-13;20:08:28;31.1172;14.065;5.24538;5.24538;14.065;31.1172
NED2013022_100;MFD_SETNO100;43.3407;-62.9777;384142;107;15-jul-13;09:43:02;34.4874;9.193;3.81082;3.81082;9.193;34.4874
NED2013022_100;MFD_SETNO100;43.3407;-62.9777;384143;51;15-jul-13;09:43:02;32.4603;3.9615;5.73991;5.73991;3.9615;32.4603
NED2013022_100;MFD_SETNO100;43.3407;-62.9777;384144;25;15-jul-13;09:43:02;31.9435;5.5588;6.3963;6.3963;5.5588;31.9435
NED2013022_100;MFD_SETNO100;43.3407;-62.9777;384145;5;15-jul-13;09:43:02;30.6803;17.8792;4.81191;4.81191;17.8792;30.6803
NED2013022_101;MFD_SETNO101;43.0847;-62.902;384146;120;15-jul-13;12:03:03;34.9464;10.4566;3.75962;3.75962;10.4566;34.9464
NED2013022_101;MFD_SETNO101;43.0847;-62.902;384147;51;15-jul-13;12:03:03;32.7145;4.5143;5.66811;5.66811;4.5143;32.7145
NED2013022_101;MFD_SETNO101;43.0847;-62.902;384148;26;15-jul-13;12:03:03;32.2985;8.798;6.36713;6.36713;8.798;32.2985
NED2013022_101;MFD_SETNO101;43.0847;-62.902;384149;5;15-jul-13;12:03:03;30.6591;18.5111;4.73777;4.73777;18.5111;30.6591
NED2013022_102;MFD_SETNO102;42.967;-63.1695;384150;157;15-jul-13;14:15:38;35.2255;11.0296;3.48145;3.48145;11.0296;35.2255
NED2013022_102;MFD_SETNO102;42.967;-63.1695;384151;50;15-jul-13;14:15:38;33.6207;8.7892;5.16877;5.16877;8.7892;33.6207
NED2013022_102;MFD_SETNO102;42.967;-63.1695;384152;25;15-jul-13;14:15:38;32.2878;12.3313;5.85806;5.85806;12.3313;32.2878
NED2013022_102;MFD_SETNO102;42.967;-63.1695;384153;5;15-jul-13;14:15:38;30.7264;18.6001;4.74798;4.74798;18.6001;30.7264
NED2013022_103;MFD_SETNO103;42.9162;-63.5608;384154;165;15-jul-13;16:57:37;35.3008;11.2783;3.48052;3.48052;11.2783;35.3008
NED2013022_103;MFD_SETNO103;42.9162;-63.5608;384155;50;15-jul-13;16:57:37;33.3443;7.0158;4.76256;4.76256;7.0158;33.3443
NED2013022_103;MFD_SETNO103;42.9162;-63.5608;384156;25;15-jul-13;16:57:37;32.9611;12.4482;5.70085;5.70085;12.4482;32.9611
NED2013022_103;MFD_SETNO103;42.9162;-63.5608;384157;5;15-jul-13;16:57:37;30.8407;18.7962;4.73949;4.73949;18.7962;30.8407
NED2013022_104;MFD_SETNO104;42.8137;-63.5808;384158;230;15-jul-13;19:02:11;35.2172;10.3152;3.06276;3.06276;10.3152;35.2172
NED2013022_104;MFD_SETNO104;42.8137;-63.5808;384159;50;15-jul-13;19:02:11;33.44;7.1018;5.18864;5.18864;7.1018;33.44
