CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274915;173;06-jul-06;02:35:22;34.5708;9.0149;2.49285;0.0064241935483871;17.0695;1.349;17.407;34.58;3.9235
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274916;102;06-jul-06;02:35:22;33.6522;6.8856;3.54368;0.0102787096774193;9.7745;0.9255;10.5185;NaN;NaN
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274917;75;06-jul-06;02:35:22;33.1582;5.8978;4.51792;0.216209225806452;4.2005;0.6065;4.6135;NaN;NaN
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274918;49;06-jul-06;02:35:22;32.7186;5.8145;5.15484;0.68069264516129;2.7805;0.451;0.414;NaN;NaN
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274919;41;06-jul-06;02:35:22;32.5154;5.6308;5.11727;1.34877987096774;2.983;0.535;0.9095;32.467;7.638
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274920;30;06-jul-06;02:35:22;32.0878;5.3191;5.49747;0.693298064516129;1.3025;0.4515;0.225;NaN;NaN
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274921;20;06-jul-06;02:35:22;31.6545;6.5196;5.69915;NaN;NaN;NaN;NaN;NaN;NaN
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274922;10;06-jul-06;02:35:22;31.2426;12.1858;4.87348;0.334512387096774;0.976;0.263;0.0105;NaN;NaN
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274923;4;06-jul-06;02:35:22;31.0267;12.5141;4.83349;0.387544838709677;1.0175;0.265;0.0355;NaN;NaN
NED2006030_0;MFD_SETNO0;44.274;-63.321667;274924;2;06-jul-06;02:35:22;30.9875;12.5147;4.82019;0.399783096774194;0.9505;0.266;0;31.016;7.041
