CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272602;100;19-feb-05;02:16:35;32.219;2.384;16.1732;16.1732;2.384;32.219
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272603;75;19-feb-05;02:16:35;31.906;1.711;16.6923;16.6923;1.711;31.906
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272604;50;19-feb-05;02:16:35;31.661;1.145;16.4965;16.4965;1.145;31.661
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272605;40;19-feb-05;02:16:35;31.343;0.726;15.7336;15.7336;0.726;31.343
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272606;30;19-feb-05;02:16:35;31.208;0.548;14.4179;14.4179;0.548;31.208
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272607;20;19-feb-05;02:16:35;31.206;0.539;11.2627;11.2627;0.539;31.206
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272608;10;19-feb-05;02:16:35;31.185;0.54;0.5443;0.5443;0.54;31.185
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272609;5;19-feb-05;02:16:35;31.183;0.537;0.4756;0.4756;0.537;31.183
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272610;1;19-feb-05;02:16:35;31.591;0.524;0.3623;0.3623;0.524;31.591
TEL2005545_10;MFD_SETNO10;42.0165;66.4829;272622;1;20-feb-05;15:30:08;NaN;3;NaN;NaN;3;NaN
TEL2005545_100;MFD_SETNO100;41.6553;67.4433;272737;1;02-mar-05;21:09:59;NaN;3.3;NaN;NaN;3.3;NaN
TEL2005545_101;MFD_SETNO101;41.6452;67.206;272738;1;03-mar-05;00:51:59;NaN;3.2;NaN;NaN;3.2;NaN
TEL2005545_102;MFD_SETNO102;41.4728;65.9955;272739;1;03-mar-05;07:50:00;NaN;3.4;NaN;NaN;3.4;NaN
TEL2005545_103;MFD_SETNO103;41.7702;65.7972;272740;1;03-mar-05;10:39:59;NaN;2.9;NaN;NaN;2.9;NaN
TEL2005545_104;MFD_SETNO104;41.902667;65.780967;272741;172;03-mar-05;12:18:51;34.743;7.534;2.2089;2.2089;7.534;34.743
TEL2005545_104;MFD_SETNO104;41.902667;65.780967;272742;5;03-mar-05;12:18:51;32.062;2.424;3.1234;3.1234;2.424;32.062
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272743;154;04-mar-05;05:00:38;33.518;5.477;2.255;2.255;5.477;33.518
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272744;100;04-mar-05;05:00:38;32.488;2.996;3.2304;3.2304;2.996;32.488
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272745;75;04-mar-05;05:00:38;32.018;1.935;3.6089;3.6089;1.935;32.018
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272746;50;04-mar-05;05:00:38;31.73;1.115;3.8606;3.8606;1.115;31.73
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272747;40;04-mar-05;05:00:38;31.504;0.563;3.9108;3.9108;0.563;31.504
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272748;30;04-mar-05;05:00:38;31.471;0.376;3.9649;3.9649;0.376;31.471
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272749;20;04-mar-05;05:00:38;31.461;0.309;3.9677;3.9677;0.309;31.461
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272750;10;04-mar-05;05:00:38;31.455;0.294;3.8096;3.8096;0.294;31.455
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272751;5;04-mar-05;05:00:38;31.457;0.321;3.3576;3.3576;0.321;31.457
TEL2005545_105;MFD_SETNO105;44.272317;63.321633;272752;2;04-mar-05;05:00:38;31.452;0.339;3.3825;3.3825;0.339;31.452
TEL2005545_13;MFD_SETNO13;42.137067;66.5021;272623;85;20-feb-05;21:03:44;34.1;7.718;3.9835;3.9835;7.718;34.1
TEL2005545_13;MFD_SETNO13;42.137067;66.5021;272624;5;20-feb-05;21:03:44;31.48;1.916;4.9843;4.9843;1.916;31.48
TEL2005545_14;MFD_SETNO14;42.0615;66.6132;272625;NaN;21-feb-05;01:02:00;NaN;2.4;NaN;NaN;2.4;NaN
TEL2005545_15;MFD_SETNO15;42.0863;66.6975;272626;1;21-feb-05;06:00:00;NaN;2.9;NaN;NaN;2.9;NaN
