CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEM2008775_100;MFD_SETNO100;42.666267;-65.360383;321129;94;20-mar-08;17:05:00;32.7952;4.2769;5.5187;5.5187;4.2769;32.7952
TEM2008775_100;MFD_SETNO100;42.666267;-65.360383;321130;5;20-mar-08;17:05:00;31.4968;1.4843;7.35018;7.35018;1.4843;31.4968
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321131;138;21-mar-08;05:48:00;33.0086;3.8173;5.59068;5.59068;3.8173;33.0086
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321132;101;21-mar-08;05:48:00;31.889;1.0809;7.37084;7.37084;1.0809;31.889
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321133;77;21-mar-08;05:48:00;31.6689;0.4941;7.60196;7.60196;0.4941;31.6689
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321134;51;21-mar-08;05:48:00;31.4115;-0.0648;7.68798;7.68798;-0.0648;31.4115
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321135;42;21-mar-08;05:48:00;31.4005;-0.1021;7.69558;7.69558;-0.1021;31.4005
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321136;30;21-mar-08;05:48:00;31.3674;-0.1967;7.68497;7.68497;-0.1967;31.3674
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321137;21;21-mar-08;05:48:00;31.3661;-0.2019;7.68736;7.68736;-0.2019;31.3661
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321138;11;21-mar-08;05:48:00;31.4046;-0.2128;6.63546;6.63546;-0.2128;31.4046
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321139;6;21-mar-08;05:48:00;31.5024;-0.211;6.62324;6.62324;-0.211;31.5024
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321140;2;21-mar-08;05:48:00;32.1003;-0.2097;10.76426;10.76426;-0.2097;32.1003
TEM2008775_11;MFD_SETNO11;42.1342;-66.8113;321019;77;06-mar-08;13:07:28;33.0699;4.934;6.60539;6.60539;4.934;33.0699
TEM2008775_11;MFD_SETNO11;42.1342;-66.8113;321020;6;06-mar-08;13:07:28;33.0656;4.9281;6.60238;6.60238;4.9281;33.0656
TEM2008775_14;MFD_SETNO14;42.075267;-67.72805;321021;179;06-mar-08;22:49:24;34.3453;7.6991;4.23276;4.23276;7.6991;34.3453
TEM2008775_14;MFD_SETNO14;42.075267;-67.72805;321022;5;06-mar-08;22:49:24;33.1018;5.1935;6.55476;6.55476;5.1935;33.1018
TEM2008775_18;MFD_SETNO18;41.383067;-68.658883;321023;94;07-mar-08;10:09:32;33.0543;5.3745;6.48052;6.48052;5.3745;33.0543
TEM2008775_18;MFD_SETNO18;41.383067;-68.658883;321024;6;07-mar-08;10:09:32;33.054;5.3987;6.50623;6.50623;5.3987;33.054
TEM2008775_2;MFD_SETNO2;42.111933;-66.105517;321011;132;05-mar-08;02:26:00;33.3943;5.636;5.943;5.943;5.636;33.3943
TEM2008775_2;MFD_SETNO2;42.111933;-66.105517;321012;5;05-mar-08;02:26:00;32.736;4.4761;6.739;6.739;4.4761;32.736
TEM2008775_20;MFD_SETNO20;40.493067;-68.65645;321025;75;07-mar-08;18:19:39;33.1766;6.6765;6.24973;6.24973;6.6765;33.1766
TEM2008775_20;MFD_SETNO20;40.493067;-68.65645;321026;5;07-mar-08;18:19:39;32.6925;5.5592;6.87473;6.87473;5.5592;32.6925
TEM2008775_21;MFD_SETNO21;40.5261;-69.473283;321027;57;07-mar-08;22:54:36;32.8263;4.7887;7.14357;7.14357;4.7887;32.8263
TEM2008775_21;MFD_SETNO21;40.5261;-69.473283;321028;6;07-mar-08;22:54:36;32.8263;4.7917;7.15862;7.15862;4.7917;32.8263
TEM2008775_23;MFD_SETNO23;41.234367;-69.3878;321029;47;08-mar-08;05:24:20;32.6741;4.1473;6.8508;6.8508;4.1473;32.6741
TEM2008775_23;MFD_SETNO23;41.234367;-69.3878;321030;6;08-mar-08;05:24:20;32.6724;4.1644;6.83597;6.83597;4.1644;32.6724
TEM2008775_25;MFD_SETNO25;41.785067;-69.575983;321031;120;08-mar-08;12:11:59;33.1465;4.9247;6.27497;6.27497;4.9247;33.1465
TEM2008775_25;MFD_SETNO25;41.785067;-69.575983;321032;6;08-mar-08;12:11:59;32.5686;3.9319;6.94697;6.94697;3.9319;32.5686
