CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257813;149;18-jul-04;02:22:03;33.781;6.023;3.4102;0.0190389534883721;14.833;1.2525;15.2965;33.783;5.055
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257814;100;18-jul-04;02:22:03;32.815;2.708;4.5923;0.0726941860465116;9.047;1.012;9.925;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257815;75;18-jul-04;02:22:03;32.532;1.853;4.878;0.200774418604651;5.4025;0.818;6.091;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257816;50;18-jul-04;02:22:03;32.304;3.147;5.2876;1.71789941860465;1.3895;0.4625;0.034;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257817;40;18-jul-04;02:22:03;32.235;4.435;5.1753;1.71789941860465;0.7005;0.386;0.0405;32.204;9.154
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257818;30;18-jul-04;02:22:03;31.761;2.908;4.8469;1.30143895348837;0.694;0.409;0.271;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257819;20;18-jul-04;02:22:03;31.528;5.219;4.4228;0.649277131782946;0.7685;0.3545;0.054;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257820;10;18-jul-04;02:22:03;30.886;14.001;4.622;0.253852713178295;0.966;0.24;0.035;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257821;5;18-jul-04;02:22:03;30.88;14.086;4.6205;0.253852713178295;0.986;0.25;0.05;NaN;NaN
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257822;3;18-jul-04;02:22:03;30.88;14.081;4.6223;0.258734496124031;1.0065;0.2965;0.0435;30.886;7.344
