CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEM2008775_28;MFD_SETNO28;44.886;-66.774283;321036;6;10-mar-08;02:57:21;31.4835;1.9005;7.21825;0.256176380952381;9.7585;0.917;9.2045;NaN;7.4845
TEM2008775_29;MFD_SETNO29;44.949433;-66.852367;321037;90;10-mar-08;05:37:22;31.7814;2.6031;7.03443;0.244532;9.09;0.904;8.978;31.824;6.9885
TEM2008775_29;MFD_SETNO29;44.949433;-66.852367;321038;6;10-mar-08;05:37:22;31.3012;2.1836;7.11765;0.24065053968254;10.6865;0.913;9.7355;NaN;7.057
TEM2008775_3;MFD_SETNO3;42.014667;-66.036133;321013;94;05-mar-08;04:27:14;33.2457;5.4096;6.12979;0.232887619047619;9.802;1.034;11.9695;33.274;6.4445
TEM2008775_3;MFD_SETNO3;42.014667;-66.036133;321014;6;05-mar-08;04:27:14;32.5326;4.1593;6.84961;1.0422555;6.5975;0.768;7.0185;NaN;7.09
TEM2008775_30;MFD_SETNO30;44.905767;-66.618633;321039;94;10-mar-08;08:33:06;32.2825;3.1677;6.90728;0.4008675;8.9655;1.1205;9.575;NaN;6.7515
TEM2008775_30;MFD_SETNO30;44.905767;-66.618633;321040;6;10-mar-08;08:33:06;31.2421;1.5489;7.28007;0.24841346031746;10.8315;0.95;9.766;NaN;7.246
TEM2008775_32;MFD_SETNO32;44.065967;-66.923533;321041;173;10-mar-08;16:51:09;33.6735;6.6645;5.03743;0.0492550857142857;10.2385;1.0455;13.4315;NaN;5.0475
TEM2008775_32;MFD_SETNO32;44.065967;-66.923533;321042;5;10-mar-08;16:51:09;32.4823;3.9122;6.82541;0.62802575;7.1305;0.818;8.4105;NaN;6.784
TEM2008775_33;MFD_SETNO33;43.252517;-65.257983;321043;141;12-mar-08;01:08:05;33.0336;4.561;5.07306;0.0342049206349206;12.0365;1.104;11.8635;33.066;5.072
TEM2008775_33;MFD_SETNO33;43.252517;-65.257983;321044;6;12-mar-08;01:08:05;31.6243;2.3681;7.18277;0.641388;6.1345;0.742;6.003;NaN;7.0915
TEM2008775_34;MFD_SETNO34;42.796633;-65.489317;321045;121;12-mar-08;05:28:03;32.2612;3.6723;6.57236;0.232887619047619;7.2575;0.8155;7.6875;32.294;6.5515
TEM2008775_34;MFD_SETNO34;42.796633;-65.489317;321046;22;12-mar-08;05:28:03;31.9238;3.0279;6.76105;0.73492375;5.624;0.7205;5.818;NaN;6.9905
TEM2008775_35;MFD_SETNO35;42.807667;-65.566467;321047;124;12-mar-08;07:34:15;32.5005;4.1431;6.51977;0.326042666666667;6.705;0.823;8.238;32.548;6.485
TEM2008775_35;MFD_SETNO35;42.807667;-65.566467;321048;6;12-mar-08;07:34:15;31.8165;2.7234;7.14474;0.81509725;5.4165;0.704;5.3615;NaN;7.101
TEM2008775_36;MFD_SETNO36;42.480683;-65.729667;321049;85;12-mar-08;10:49:00;33.2036;5.0187;5.6413;0.147495492063492;8.212;0.943;11.257;33.256;5.864
