CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384431;141;11-feb-12;03:19:52;33.7343;6.9451;3.81622;3.81622;6.9451;33.7343
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384432;101;11-feb-12;03:19:52;32.3328;4.3249;5.02915;5.02915;4.3249;32.3328
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384433;76;11-feb-12;03:19:52;31.7387;3.9458;5.50046;5.50046;3.9458;31.7387
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384434;51;11-feb-12;03:19:52;31.4753;4.7858;6.06968;6.06968;4.7858;31.4753
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384435;40;11-feb-12;03:19:52;31.0488;3.6499;6.22084;6.22084;3.6499;31.0488
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384436;30;11-feb-12;03:19:52;30.7157;2.5647;6.45654;6.45654;2.5647;30.7157
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384437;21;11-feb-12;03:19:52;30.5394;1.9998;6.6006;6.6006;1.9998;30.5394
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384438;10;11-feb-12;03:19:52;30.5395;1.9501;7.08281;7.08281;1.9501;30.5395
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384439;6;11-feb-12;03:19:52;30.5905;1.9469;7.39874;7.39874;1.9469;30.5905
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384440;2;11-feb-12;03:19:52;30.8743;1.9743;6.70081;6.70081;1.9743;30.8743
NED2012002_100;MFD_SETNO100;43.079;-63.8973;385055;100;11-mar-12;10:51:56;33.3761;6.5607;4.13367;4.13367;6.5607;33.3761
NED2012002_100;MFD_SETNO100;43.079;-63.8973;385056;49;11-mar-12;10:51:56;32.3677;5.403;4.80553;4.80553;5.403;32.3677
NED2012002_100;MFD_SETNO100;43.079;-63.8973;385057;24;11-mar-12;10:51:56;31.1056;2.9598;6.69709;6.69709;2.9598;31.1056
NED2012002_100;MFD_SETNO100;43.079;-63.8973;385058;5;11-mar-12;10:51:56;31.0002;2.6804;6.74727;6.74727;2.6804;31.0002
NED2012002_101;MFD_SETNO101;42.8158;-63.7563;385059;213;11-mar-12;13:41:27;35.1441;9.2225;3.06212;3.06212;9.2225;35.1441
NED2012002_101;MFD_SETNO101;42.8158;-63.7563;385060;51;11-mar-12;13:41:27;33.4509;8.5766;5.67016;5.67016;8.5766;33.4509
NED2012002_101;MFD_SETNO101;42.8158;-63.7563;385061;25;11-mar-12;13:41:27;32.2704;5.7144;6.27071;6.27071;5.7144;32.2704
NED2012002_101;MFD_SETNO101;42.8158;-63.7563;385062;5;11-mar-12;13:41:27;31.0796;3.1844;6.7328;6.7328;3.1844;31.0796
NED2012002_102;MFD_SETNO102;42.8603;-64.1335;385063;107;11-mar-12;16:16:42;34.667;9.9744;3.6333;3.6333;9.9744;34.667
NED2012002_102;MFD_SETNO102;42.8603;-64.1335;385064;50;11-mar-12;16:16:42;33.4917;8.4861;5.57856;5.57856;8.4861;33.4917
NED2012002_102;MFD_SETNO102;42.8603;-64.1335;385065;25;11-mar-12;16:16:42;32.5047;5.8783;5.5714;5.5714;5.8783;32.5047
NED2012002_102;MFD_SETNO102;42.8603;-64.1335;385066;5;11-mar-12;16:16:42;31.3287;3.7195;6.69602;6.69602;3.7195;31.3287
NED2012002_103;MFD_SETNO103;42.7287;-64.3462;385067;123;11-mar-12;20:10:47;34.7234;9.4176;3.19938;3.19938;9.4176;34.7234
NED2012002_103;MFD_SETNO103;42.7287;-64.3462;385068;49;11-mar-12;20:10:47;32.6032;6.0927;5.58448;5.58448;6.0927;32.6032
NED2012002_103;MFD_SETNO103;42.7287;-64.3462;385069;24;11-mar-12;20:10:47;31.6047;4.3051;6.55449;6.55449;4.3051;31.6047
NED2012002_103;MFD_SETNO103;42.7287;-64.3462;385070;5;11-mar-12;20:10:47;31.1564;3.5322;6.71802;6.71802;3.5322;31.1564
NED2012002_104;MFD_SETNO104;42.6465;-64.6772;385071;116;11-mar-12;22:40:24;34.235;8.7032;3.63785;3.63785;8.7032;34.235
NED2012002_104;MFD_SETNO104;42.6465;-64.6772;385072;50;11-mar-12;22:40:24;32.0427;4.9213;6.01726;6.01726;4.9213;32.0427
