CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272602;100;19-feb-05;02:16:35;32.219;2.384;16.1732;0.214798449612403;4.882;0.731;4.747;NaN;NaN
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272603;75;19-feb-05;02:16:35;31.906;1.711;16.6923;0.20503488372093;5.468;0.7605;5.4325;NaN;NaN
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272604;50;19-feb-05;02:16:35;31.661;1.145;16.4965;0.278261627906977;6.339;0.8165;5.6605;NaN;NaN
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272605;40;19-feb-05;02:16:35;31.343;0.726;15.7336;0.351488372093023;6.497;0.7425;5.8135;31.371;9.9605
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272606;30;19-feb-05;02:16:35;31.208;0.548;14.4179;0.331961240310078;6.048;0.732;5.179;NaN;NaN
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272607;20;19-feb-05;02:16:35;31.206;0.539;11.2627;0.336843023255814;6.067;0.7285;5.2735;NaN;NaN
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272608;10;19-feb-05;02:16:35;31.185;0.54;0.5443;0.327079457364341;5.8365;0.684;5.0515;NaN;NaN
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272609;5;19-feb-05;02:16:35;31.183;0.537;0.4756;0.361251937984496;6.833;0.772;5.3965;NaN;NaN
TEL2005545_0;MFD_SETNO0;44.268333;63.322283;272610;1;19-feb-05;02:16:35;31.591;0.524;0.3623;0.35637015503876;5.088;0.671;4.206;31.214;10.1235
TEL2005545_10;MFD_SETNO10;42.0165;66.4829;272622;1;20-feb-05;15:30:08;NaN;3;NaN;NaN;NaN;NaN;NaN;31.638;NaN
