CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301310;185;19-mar-08;14:43:31;33.5987;5.3337;2.98993;0.0964039835820895;14.359;1.2365;13.4695;33.603;4.91
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301311;101;19-mar-08;14:43:31;31.6807;0.6783;4.66687;0.237566753731343;7.6395;0.8695;6.9185;NaN;NaN
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301312;81;19-mar-08;14:43:31;31.6474;0.5329;4.72427;0.437338796641791;7.5485;0.857;6.806;NaN;NaN
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301313;50;19-mar-08;14:43:31;31.6038;0.2747;4.82495;0.567764328358209;7.172;0.825;6.3475;NaN;NaN
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301314;40;19-mar-08;14:43:31;31.6011;0.2651;4.8326;0.775482985074627;7.073;0.814;6.189;31.615;7.8445
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301315;29;19-mar-08;14:43:31;31.5983;0.257;4.8333;0.360045671641791;7.1695;0.827;6.3115;NaN;NaN
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301316;20;19-mar-08;14:43:31;31.5964;0.2506;4.83516;0.484676865671642;7.4535;0.8325;6.3185;NaN;NaN
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301317;11;19-mar-08;14:43:31;31.5911;0.2561;4.84218;0.484676865671642;7.183;0.8145;6.2145;NaN;NaN
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301318;6;19-mar-08;14:43:31;31.5909;0.263;4.84114;1.17014843283582;7.147;0.8285;6.3325;NaN;NaN
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301319;3;19-mar-08;14:43:31;31.5905;0.2608;4.84346;0.0484676865671642;7.0965;0.846;6.39;31.606;7.8395
