CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2006615_1;MFD_SETNO1;44.583833;-61.804333;287783;154;05-mar-06;06:55:49;34.295;8.2945;2.84979;0.0303944516129032;14.603;1.3025;15.3035;34.291;3.9175
TEL2006615_1;MFD_SETNO1;44.583833;-61.804333;287784;50;05-mar-06;06:55:49;31.968;3.173;5.45352;2.16752516129032;1.056;0.567;2.1105;NaN;NaN
TEL2006615_1;MFD_SETNO1;44.583833;-61.804333;287785;25;05-mar-06;06:55:49;31.794;2.116;5.76075;3.62270322580645;1.4195;0.5325;1.753;NaN;NaN
TEL2006615_1;MFD_SETNO1;44.583833;-61.804333;287786;6;05-mar-06;06:55:49;31.589;1.2137;5.85053;7.37958064516129;3.0475;0.592;2.5405;31.609;7.8095
TEL2006615_10;MFD_SETNO10;44.678167;-60.092;287815;99;06-mar-06;08:40:10;32.914;3.3732;4.44904;0.307169032258065;10.179;1.1145;10.728;NaN;7.5215
TEL2006615_10;MFD_SETNO10;44.678167;-60.092;287816;51;06-mar-06;08:40:10;31.977;1.8404;5.60778;4.56192258064516;4.184;0.773;4.514;NaN;NaN
TEL2006615_10;MFD_SETNO10;44.678167;-60.092;287817;26;06-mar-06;08:40:10;31.936;1.7908;5.58184;3.75687741935484;4.9285;0.8005;5.164;NaN;NaN
TEL2006615_10;MFD_SETNO10;44.678167;-60.092;287818;5;06-mar-06;08:40:10;31.584;0.7166;5.71435;1.05092129032258;6.0995;0.813;5.658;31.592;7.74
TEL2006615_11;MFD_SETNO11;44.347667;-60.087;287819;107;06-mar-06;12:01:00;33.458;4.257;4.12663;0.200841290322581;10.002;1.0645;11.5495;33.42;5.673
TEL2006615_11;MFD_SETNO11;44.347667;-60.087;287820;51;06-mar-06;12:01:00;31.915;1.9959;5.48927;1.08376258064516;6.0445;0.884;6.2695;NaN;NaN
