CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEL2006614_4;MFD_SETNO4;41.958167;-65.912167;287630;4;20-feb-06;07:48:29;32.242;4.8034;5.06179;5.06179;4.8034;32.242
TEL2006614_41;MFD_SETNO41;41.667333;-66.304;287690;83;23-feb-06;19:07:04;32.779;5.5161;5.02575;5.02575;5.5161;32.779
TEL2006614_41;MFD_SETNO41;41.667333;-66.304;287691;5;23-feb-06;19:07:04;32.427;4.8313;5.21147;5.21147;4.8313;32.427
TEL2006614_41;MFD_SETNO41;41.667333;-66.304;287692;2;23-feb-06;19:07:04;32.427;4.8329;5.20329;5.20329;4.8329;32.427
TEL2006614_45;MFD_SETNO45;41.6055;-66.380167;287696;84;24-feb-06;00:53:01;32.782;5.4738;5.04296;5.04296;5.4738;32.782
TEL2006614_45;MFD_SETNO45;41.6055;-66.380167;287697;5;24-feb-06;00:53:01;32.549;4.9979;5.17692;5.17692;4.9979;32.549
TEL2006614_45;MFD_SETNO45;41.6055;-66.380167;287698;2;24-feb-06;00:53:01;32.547;4.9962;5.17688;5.17688;4.9962;32.547
TEL2006614_46;MFD_SETNO46;41.5195;-66.341833;287699;90;24-feb-06;03:08:46;32.759;5.4046;5.03246;5.03246;5.4046;32.759
TEL2006614_46;MFD_SETNO46;41.5195;-66.341833;287700;5;24-feb-06;03:08:46;32.63;5.2831;5.10279;5.10279;5.2831;32.63
TEL2006614_46;MFD_SETNO46;41.5195;-66.341833;287701;2;24-feb-06;03:08:46;32.63;5.2832;5.10166;5.10166;5.2832;32.63
TEL2006614_5;MFD_SETNO5;42.096333;-66.064167;287631;139;20-feb-06;10:49:25;33.872;7.2905;3.72084;3.72084;7.2905;33.872
TEL2006614_5;MFD_SETNO5;42.096333;-66.064167;287632;6;20-feb-06;10:49:25;31.685;3.5346;5.25706;5.25706;3.5346;31.685
TEL2006614_5;MFD_SETNO5;42.096333;-66.064167;287633;1;20-feb-06;10:49:25;31.684;3.5312;5.24474;5.24474;3.5312;31.684
TEL2006614_52;MFD_SETNO52;41.541667;-66.5695;287707;82;24-feb-06;13:25:39;32.806;5.4164;5.09731;5.09731;5.4164;32.806
TEL2006614_52;MFD_SETNO52;41.541667;-66.5695;287708;5;24-feb-06;13:25:39;32.808;5.4047;5.10639;5.10639;5.4047;32.808
TEL2006614_52;MFD_SETNO52;41.541667;-66.5695;287709;1;24-feb-06;13:25:39;32.809;5.4022;5.10401;5.10401;5.4022;32.809
TEL2006614_6;MFD_SETNO6;42.0325;-66.287;287634;76;20-feb-06;13:23:54;33.012;6.004;4.6745;4.6745;6.004;33.012
TEL2006614_6;MFD_SETNO6;42.0325;-66.287;287635;6;20-feb-06;13:23:54;31.922;3.8323;5.25994;5.25994;3.8323;31.922
TEL2006614_6;MFD_SETNO6;42.0325;-66.287;287636;3;20-feb-06;13:23:54;31.921;3.8156;5.25349;5.25349;3.8156;31.921
TEL2006614_60;MFD_SETNO60;41.721;-67.1395;287717;56;25-feb-06;17:58:06;32.859;5.132;5.18589;5.18589;5.132;32.859
TEL2006614_60;MFD_SETNO60;41.721;-67.1395;287718;5;25-feb-06;17:58:06;32.852;5.1327;5.07416;5.07416;5.1327;32.852
TEL2006614_60;MFD_SETNO60;41.721;-67.1395;287719;2;25-feb-06;17:58:06;33.3;5.155;5.04317;5.04317;5.155;33.3
TEL2006614_63;MFD_SETNO63;41.2695;-67.119167;287722;60;26-feb-06;00:22:59;32.653;5.1689;5.2185;5.2185;5.1689;32.653
TEL2006614_63;MFD_SETNO63;41.2695;-67.119167;287723;5;26-feb-06;00:22:59;32.649;5.1488;5.22331;5.22331;5.1488;32.649
TEL2006614_63;MFD_SETNO63;41.2695;-67.119167;287724;3;26-feb-06;00:22:59;32.65;5.147;5.22438;5.22438;5.147;32.65
TEL2006614_64;MFD_SETNO64;41.227833;-66.719333;287725;72;26-feb-06;03:19:57;32.829;5.4094;5.12292;5.12292;5.4094;32.829
TEL2006614_64;MFD_SETNO64;41.227833;-66.719333;287726;6;26-feb-06;03:19:57;32.822;5.3505;5.12563;5.12563;5.3505;32.822
TEL2006614_64;MFD_SETNO64;41.227833;-66.719333;287727;1;26-feb-06;03:19:57;32.822;5.3447;5.13039;5.13039;5.3447;32.822
TEL2006614_65;MFD_SETNO65;41.1945;-66.559667;287728;86;26-feb-06;05:38:49;32.833;5.4619;5.07496;5.07496;5.4619;32.833
TEL2006614_65;MFD_SETNO65;41.1945;-66.559667;287729;6;26-feb-06;05:38:49;32.706;5.3604;5.0486;5.0486;5.3604;32.706
TEL2006614_65;MFD_SETNO65;41.1945;-66.559667;287730;2;26-feb-06;05:38:49;32.707;5.3517;5.05522;5.05522;5.3517;32.707
TEL2006614_67;MFD_SETNO67;40.944167;-67.0845;287732;79;26-feb-06;10:03:44;32.897;5.6187;5.06042;5.06042;5.6187;32.897
TEL2006614_67;MFD_SETNO67;40.944167;-67.0845;287733;5;26-feb-06;10:03:44;32.864;5.5083;5.07384;5.07384;5.5083;32.864
TEL2006614_67;MFD_SETNO67;40.944167;-67.0845;287734;2;26-feb-06;10:03:44;32.864;5.5086;5.06006;5.06006;5.5086;32.864
TEL2006614_68;MFD_SETNO68;40.8715;-67.4635;287735;76;26-feb-06;13:05:24;32.91;5.7192;5.02493;5.02493;5.7192;32.91
TEL2006614_68;MFD_SETNO68;40.8715;-67.4635;287736;6;26-feb-06;13:05:24;32.894;5.6405;5.04381;5.04381;5.6405;32.894
TEL2006614_68;MFD_SETNO68;40.8715;-67.4635;287737;4;26-feb-06;13:05:24;32.894;5.6381;5.03623;5.03623;5.6381;32.894
TEL2006614_74;MFD_SETNO74;40.9745;-68.026167;287739;43;27-feb-06;01:47:30;32.533;4.8655;5.29513;5.29513;4.8655;32.533
TEL2006614_74;MFD_SETNO74;40.9745;-68.026167;287740;5;27-feb-06;01:47:30;32.531;4.8427;5.29868;5.29868;4.8427;32.531
TEL2006614_74;MFD_SETNO74;40.9745;-68.026167;287741;3;27-feb-06;01:47:30;32.531;4.8415;5.29711;5.29711;4.8415;32.531
TEL2006614_83;MFD_SETNO83;41.9855;-67.9335;287750;176;28-feb-06;22:44:45;34.028;7.3097;3.31577;3.31577;7.3097;34.028
TEL2006614_83;MFD_SETNO83;41.9855;-67.9335;287751;6;28-feb-06;22:44:45;32.938;5.2258;5.03641;5.03641;5.2258;32.938
TEL2006614_83;MFD_SETNO83;41.9855;-67.9335;287752;3;28-feb-06;22:44:45;32.938;5.2298;5.03969;5.03969;5.2298;32.938
TEL2006614_85;MFD_SETNO85;42.1105;-67.449;287754;108;01-mar-06;02:39:16;32.74;4.7471;5.07862;5.07862;4.7471;32.74
TEL2006614_85;MFD_SETNO85;42.1105;-67.449;287755;6;01-mar-06;02:39:16;32.738;4.7288;5.08302;5.08302;4.7288;32.738
TEL2006614_85;MFD_SETNO85;42.1105;-67.449;287756;3;01-mar-06;02:39:16;32.738;4.7188;5.08786;5.08786;4.7188;32.738
TEL2006614_89;MFD_SETNO89;41.926667;-67.1795;287760;54;01-mar-06;10:23:35;32.915;4.7197;5.15697;5.15697;4.7197;32.915
TEL2006614_89;MFD_SETNO89;41.926667;-67.1795;287761;7;01-mar-06;10:23:35;32.911;4.7113;5.14803;5.14803;4.7113;32.911
