CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384547;150;04-jul-12;20:56:42;34.655;9.5398;2.83801;0.0196874328358209;15.915;1.428;17.92;34.6590156555176;0.1475;3.2575
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384548;100;04-jul-12;20:56:42;34.2802;9.2784;3.39497;0.00738278731343284;11.417;1.215;14.7465;NaN;0.117;NaN
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384549;76;04-jul-12;20:56:42;33.6469;8.2228;4.04054;0.044296723880597;8.0945;1.0165;11.108;NaN;0.1165;NaN
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384550;50;04-jul-12;20:56:42;32.2478;5.0482;5.05405;0.189491541044776;6.989;0.93;7.171;NaN;0.313;NaN
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384551;40;04-jul-12;20:56:42;31.7052;4.8537;5.65367;0.642172835820896;2.2795;0.588;1.749;31.6365413665771;0.2865;6.433
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384552;30;04-jul-12;20:56:42;31.3452;7.215;5.84915;0.945421119402985;1.8275;0.465;0.7475;NaN;0.1795;NaN
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384553;20;04-jul-12;20:56:42;31.2939;11.2137;5.87336;0.463791492537314;0.7805;0.3065;0.162;NaN;0.096;NaN
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384554;9;04-jul-12;20:56:42;30.8075;14.9078;5.37178;0.370649888059701;0.4925;0.2465;0.1585;NaN;0.0965;NaN
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384555;4;04-jul-12;20:56:42;30.6115;17.6845;5.09459;0.402060895522388;0.506;0.254;0.173;NaN;0.0945;NaN
NED2012022_1;MFD_SETNO1;44.2677;-63.3175;384556;2;04-jul-12;20:56:42;30.6068;17.7102;5.06399;0.389496492537313;0.4765;0.243;0.173;30.6255874633789;0.095;5.9375
NED2012022_10;MFD_SETNO10;43.5002;-64.0312;384590;136;05-jul-12;23:55:50;34.3276;8.8612;3.13764;0.0172265037313433;13.9275;1.3335;16.5685;34.3401107788086;0.1195;3.6765
