CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301310;185;19-mar-08;14:43:31;33.5987;5.3337;2.98993;2.98993;5.3337;33.5987
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301311;101;19-mar-08;14:43:31;31.6807;0.6783;4.66687;4.66687;0.6783;31.6807
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301312;81;19-mar-08;14:43:31;31.6474;0.5329;4.72427;4.72427;0.5329;31.6474
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301313;50;19-mar-08;14:43:31;31.6038;0.2747;4.82495;4.82495;0.2747;31.6038
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301314;40;19-mar-08;14:43:31;31.6011;0.2651;4.8326;4.8326;0.2651;31.6011
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301315;29;19-mar-08;14:43:31;31.5983;0.257;4.8333;4.8333;0.257;31.5983
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301316;20;19-mar-08;14:43:31;31.5964;0.2506;4.83516;4.83516;0.2506;31.5964
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301317;11;19-mar-08;14:43:31;31.5911;0.2561;4.84218;4.84218;0.2561;31.5911
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301318;6;19-mar-08;14:43:31;31.5909;0.263;4.84114;4.84114;0.263;31.5909
TEL2008805_1;MFD_SETNO1;44.271217;-63.3224;301319;3;19-mar-08;14:43:31;31.5905;0.2608;4.84346;4.84346;0.2608;31.5905
TEL2008805_10;MFD_SETNO10;44.189983;-60.231417;301351;143;20-mar-08;20:09:45;32.8853;2.7861;3.96148;3.96148;2.7861;32.8853
TEL2008805_10;MFD_SETNO10;44.189983;-60.231417;301352;50;20-mar-08;20:09:45;32.2799;1.3935;4.81516;4.81516;1.3935;32.2799
TEL2008805_10;MFD_SETNO10;44.189983;-60.231417;301353;25;20-mar-08;20:09:45;32.2414;1.2853;4.83335;4.83335;1.2853;32.2414
TEL2008805_10;MFD_SETNO10;44.189983;-60.231417;301354;5;20-mar-08;20:09:45;32.2315;1.285;4.78836;4.78836;1.285;32.2315
TEL2008805_11;MFD_SETNO11;44.0604;-59.936533;301355;53;20-mar-08;22:45:23;32.2217;1.3743;4.753;4.753;1.3743;32.2217
TEL2008805_11;MFD_SETNO11;44.0604;-59.936533;301356;50;20-mar-08;22:45:23;32.222;1.3887;4.75857;4.75857;1.3887;32.222
TEL2008805_11;MFD_SETNO11;44.0604;-59.936533;301357;25;20-mar-08;22:45:23;32.2057;1.3437;4.76539;4.76539;1.3437;32.2057
TEL2008805_11;MFD_SETNO11;44.0604;-59.936533;301358;6;20-mar-08;22:45:23;32.2014;1.3415;4.75689;4.75689;1.3415;32.2014
TEL2008805_12;MFD_SETNO12;44.253783;-59.621433;301359;190;21-mar-08;01:23:01;33.8289;4.3737;3.54577;3.54577;4.3737;33.8289
TEL2008805_12;MFD_SETNO12;44.253783;-59.621433;301360;50;21-mar-08;01:23:01;32.172;1.1039;4.8023;4.8023;1.1039;32.172
TEL2008805_12;MFD_SETNO12;44.253783;-59.621433;301361;25;21-mar-08;01:23:01;32.159;1.0775;4.8094;4.8094;1.0775;32.159
TEL2008805_12;MFD_SETNO12;44.253783;-59.621433;301362;6;21-mar-08;01:23:01;32.1548;1.0816;4.79204;4.79204;1.0816;32.1548
TEL2008805_13;MFD_SETNO13;44.247767;-59.32155;301363;236;21-mar-08;03:53:56;34.4545;4.7665;3.4165;3.4165;4.7665;34.4545
TEL2008805_13;MFD_SETNO13;44.247767;-59.32155;301364;48;21-mar-08;03:53:56;32.4748;0.955;4.80227;4.80227;0.955;32.4748
TEL2008805_13;MFD_SETNO13;44.247767;-59.32155;301365;26;21-mar-08;03:53:56;32.4353;0.8491;4.81951;4.81951;0.8491;32.4353
TEL2008805_13;MFD_SETNO13;44.247767;-59.32155;301366;6;21-mar-08;03:53:56;32.3996;0.8721;4.76612;4.76612;0.8721;32.3996
TEL2008805_14;MFD_SETNO14;44.2518;-59.2069;301367;206;21-mar-08;06:09:28;33.8407;4.3041;3.59381;3.59381;4.3041;33.8407
TEL2008805_14;MFD_SETNO14;44.2518;-59.2069;301368;49;21-mar-08;06:09:28;32.3214;0.7424;4.86155;4.86155;0.7424;32.3214
