CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353099;154;05-jul-11;21:35:01;34.1359;7.9396;9.38537;0.039675223880597;15.8325;1.619;16.2655;34.160099029541;0.1725;3.929
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353100;99;05-jul-11;21:35:01;32.6885;3.401;12.46667;0.0495940298507463;8.91;1.326;9.9615;NaN;0.1405;NaN
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353101;74;05-jul-11;21:35:01;32.4046;2.6254;12.02557;0.0595128358208956;8.481;1.306;8.998;NaN;0.15;NaN
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353102;49;05-jul-11;21:35:01;31.9761;2.9859;11.69728;0.163660298507463;4.6655;0.946;4.348;NaN;0.2575;NaN
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353103;40;05-jul-11;21:35:01;31.7362;3.346;11.97972;1.05217052238806;2.4135;0.7475;2.058;31.7968826293945;0.2895;6.5415
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353104;31;05-jul-11;21:35:01;31.4797;3.9071;12.24685;1.10682873134328;1.4135;0.5945;0.707;NaN;0.1585;NaN
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353105;20;05-jul-11;21:35:01;31.4037;6.2732;11.77265;0.683227611940298;0.983;0.4395;0.4425;NaN;0.1;NaN
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353106;10;05-jul-11;21:35:01;30.8772;13.7512;11.01742;0.46122447761194;0.51;0.267;0.439;NaN;0.0935;NaN
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353107;5;05-jul-11;21:35:01;30.8636;14.0436;11.69837;0.362036417910448;0.3645;0.223;0.445;NaN;0.0905;NaN
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353108;3;05-jul-11;21:35:01;30.8634;14.041;11.73061;0.357077014925373;0.3745;0.226;0.4325;30.8614406585693;0.09;6.176
NED2011025_10;MFD_SETNO10;42.9787;-64.1765;353133;94;07-jul-11;01:44:16;32.9832;5.1175;7.98156;0.0435650373134328;7.814;0.991;9.4165;33.0113105773926;NaN;5.6575
