CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383642;163;26-feb-13;02:03:23;33.9817;9.3614;2.46322;0.0376932089552239;12.02;1.3555;12.975;34.2541236877441;0.19;3.883
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383643;100;26-feb-13;02:03:23;31.9841;2.8183;5.5942;0.0516795111940298;9.78;1.0005;7.93;NaN;0.075;NaN
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383644;75;26-feb-13;02:03:23;31.6587;1.7118;6.21785;0.110741809701493;9.025;0.9055;6.56;NaN;0.08;NaN
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383645;49;26-feb-13;02:03:23;31.4399;0.921;6.64649;0.270134664179104;7.545;0.855;6.595;NaN;0.105;NaN
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383646;39;26-feb-13;02:03:23;31.4011;0.8107;6.72621;0.276416865671642;5.635;0.687;4.76;31.4156551361084;0.125;7.5085
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383647;29;26-feb-13;02:03:23;31.3888;0.802;6.73377;0.276416865671642;7.395;0.8425;6.25;NaN;0.115;NaN
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383648;20;26-feb-13;02:03:23;31.3881;0.7969;6.72927;0.25757026119403;7.365;0.8275;6.35;NaN;0.115;NaN
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383649;10;26-feb-13;02:03:23;31.3875;0.7948;6.73853;0.270134664179104;6.195;0.717;5.285;NaN;0.105;NaN
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383650;6;26-feb-13;02:03:23;31.3871;0.79;NaN;0.307827873134328;7.2;0.7775;6.07;NaN;0.115;NaN
NED2013002_1;MFD_SETNO1;44.268;-63.3243;383651;3;26-feb-13;02:03:23;31.3873;0.7903;6.74387;0.238723656716418;6.25;0.7275;5.26;31.4018535614014;0.1;7.5885
NED2013002_105;MFD_SETNO105;42.0265;-66.8025;383768;67;17-mar-13;16:08:14;33.2202;6.2913;5.71386;0.655569031733116;7.34;0.886;10.16;NaN;0.19;6.65
