CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326751;158;01-jul-09;23:03:19;34.3221;7.8837;2.29301;0.020855579661017;14.448;1.156;15.183;34.3238296508789;0.142;4.0135
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326752;99;01-jul-09;23:03:19;32.9664;3.8736;3.37416;0.0795118974576271;8.0385;0.9125;9.4625;NaN;0.128;NaN
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326753;77;01-jul-09;23:03:19;32.6349;2.9151;3.68429;0.168148111016949;5.997;0.8525;7.611;NaN;0.249;NaN
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326754;50;01-jul-09;23:03:19;32.3603;4.3014;4.18727;0.658940286440678;1.438;0.512;0.818;NaN;0.221;NaN
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326755;40;01-jul-09;23:03:19;32.0594;4.3805;4.24503;1.14382087457627;0.7795;0.4205;0.01;32.1034308942522;0.09;7.282
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326756;31;01-jul-09;23:03:19;31.7807;7.3274;4.21372;0.621641779661017;0.7485;0.309;0;NaN;0.086;NaN
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326757;22;01-jul-09;23:03:19;31.7062;12.149;3.74863;0.258302241949153;0.538;0.245;0;NaN;0.0845;NaN
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326758;12;01-jul-09;23:03:19;31.6275;14.2734;3.51144;0.189179106779661;0.74;0.2375;0;NaN;0.0795;NaN
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326759;8;01-jul-09;23:03:19;31.6276;14.271;3.50712;0.192817166525424;0.53;0.231;0;NaN;0.0765;NaN
NED2009027_1;MFD_SETNO1;44.272;-63.3235;326760;3;01-jul-09;23:03:19;31.6273;14.2722;3.52653;0.192817166525424;0.5795;0.238;0;31.6207564418248;0.078;6.004
NED2009027_10;MFD_SETNO10;43.5811;-62.7328;326789;108;03-jul-09;05:46:44;34.679;9.2847;2.42109;0;11.0115;1.1525;15.552;34.6679950081962;0.1475;4.2525
