CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEM2004004_1;MFD_SETNO1;42.0299;65.9223;263502;1;06-feb-04;17:05:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_10;MFD_SETNO10;41.8049;66.1227;263516;1;07-feb-04;14:26:59;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_11;MFD_SETNO11;41.8633;66.1941;263517;1;07-feb-04;15:51:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_12;MFD_SETNO12;41.9258;66.1973;263518;1;07-feb-04;17:18:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_13;MFD_SETNO13;41.9504;66.2147;263519;1;07-feb-04;18:36:59;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_14;MFD_SETNO14;42.0293;66.2903;263520;1;07-feb-04;20:31:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_15;MFD_SETNO15;42.137583;66.357117;263521;113;07-feb-04;23:53:20;33.353;4.815;5.8651;5.8651;4.815;33.353
TEM2004004_15;MFD_SETNO15;42.137583;66.357117;263522;5;07-feb-04;23:53:20;32.759;3.635;6.3923;6.3923;3.635;32.759
TEM2004004_15;MFD_SETNO15;42.137583;66.357117;263523;1;07-feb-04;23:53:20;32.761;3.637;6.3803;6.3803;3.637;32.761
TEM2004004_16;MFD_SETNO16;42.103;66.4452;263524;1;08-feb-04;02:22:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_17;MFD_SETNO17;42.060367;66.511117;263525;89;08-feb-04;04:13:10;32.802;3.525;6.3588;6.3588;3.525;32.802
TEM2004004_17;MFD_SETNO17;42.060367;66.511117;263526;5;08-feb-04;04:13:10;32.799;3.512;6.3613;6.3613;3.512;32.799
TEM2004004_17;MFD_SETNO17;42.060367;66.511117;263527;1;08-feb-04;04:13:10;32.799;3.511;6.3595;6.3595;3.511;32.799
TEM2004004_18;MFD_SETNO18;41.9575;66.3432;263528;1;08-feb-04;06:48:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_19;MFD_SETNO19;41.8352;66.3435;263529;1;08-feb-04;09:26:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_20;MFD_SETNO20;41.835767;66.504717;263530;75;08-feb-04;11:25:03;31.316;3.439;6.4092;6.4092;3.439;31.316
TEM2004004_20;MFD_SETNO20;41.835767;66.504717;263531;5;08-feb-04;11:25:03;32.711;3.427;6.3801;6.3801;3.427;32.711
TEM2004004_20;MFD_SETNO20;41.835767;66.504717;263532;1;08-feb-04;11:25:03;32.71;3.429;6.3826;6.3826;3.429;32.71
TEM2004004_21;MFD_SETNO21;41.817667;66.582817;263533;73;08-feb-04;14:13:23;32.739;3.464;6.3874;6.3874;3.464;32.739
TEM2004004_21;MFD_SETNO21;41.817667;66.582817;263534;5;08-feb-04;14:13:23;32.731;3.426;6.389;6.389;3.426;32.731
TEM2004004_21;MFD_SETNO21;41.817667;66.582817;263535;2;08-feb-04;14:13:23;32.732;3.431;6.3906;6.3906;3.431;32.732
TEM2004004_22;MFD_SETNO22;41.8112;66.6388;263536;1;08-feb-04;15:39:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_23;MFD_SETNO23;42.157133;66.93805;263537;89;09-feb-04;12:05:39;33.787;6.152;5.3407;5.3407;6.152;33.787
TEM2004004_23;MFD_SETNO23;42.157133;66.93805;263538;5;09-feb-04;12:05:39;32.663;3.369;6.468;6.468;3.369;32.663
TEM2004004_23;MFD_SETNO23;42.157133;66.93805;263539;1;09-feb-04;12:05:39;32.665;3.358;6.4661;6.4661;3.358;32.665
TEM2004004_24;MFD_SETNO24;42.1115;66.9859;263540;1;09-feb-04;14:29:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_25;MFD_SETNO25;42.1073;66.821;263541;1;09-feb-04;15:55:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_26;MFD_SETNO26;42.0653;66.8686;263542;1;09-feb-04;17:54:00;NaN;NaN;NaN;NaN;NaN;NaN
TEM2004004_27;MFD_SETNO27;42.031383;66.826217;263543;72;09-feb-04;18:56:21;32.98;3.711;6.3652;6.3652;3.711;32.98
TEM2004004_27;MFD_SETNO27;42.031383;66.826217;263544;5;09-feb-04;18:56:21;32.974;3.73;6.3611;6.3611;3.73;32.974
