CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244850;146;17-feb-03;01:41:01;34.895;9.831;2.1441;2.1441;9.831;34.895
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244851;100;17-feb-03;01:41:01;34.459;9.299;2.7026;2.7026;9.299;34.459
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244852;75;17-feb-03;01:41:01;32.41;3.35;3.3307;3.3307;3.35;32.41
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244853;50;17-feb-03;01:41:01;31.906;1.805;3.4586;3.4586;1.805;31.906
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244854;40;17-feb-03;01:41:01;31.81;1.547;3.4457;3.4457;1.547;31.81
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244855;30;17-feb-03;01:41:01;31.776;1.509;3.4854;3.4854;1.509;31.776
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244856;20;17-feb-03;01:41:01;31.652;1.159;3.5498;3.5498;1.159;31.652
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244857;10;17-feb-03;01:41:01;31.596;0.883;3.5355;3.5355;0.883;31.596
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244858;5;17-feb-03;01:41:01;31.595;0.891;3.5311;3.5311;0.891;31.595
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244859;1;17-feb-03;01:41:01;31.457;0.884;3.3994;3.3994;0.884;31.457
NED2003002_10;MFD_SETNO10;42.1358;66.7682;244877;1;19-feb-03;03:47:59;NaN;NaN;NaN;NaN;NaN;NaN
NED2003002_11;MFD_SETNO11;42.0407;66.767;244878;1;19-feb-03;07:03:59;NaN;NaN;NaN;NaN;NaN;NaN
NED2003002_12;MFD_SETNO12;42.1227;66.8427;244879;1;19-feb-03;10:02:54;NaN;NaN;NaN;NaN;NaN;NaN
NED2003002_13;MFD_SETNO13;42.1665;66.892667;244880;120;19-feb-03;11:39:00;34.336;8.354;2.3952;2.3952;8.354;34.336
NED2003002_13;MFD_SETNO13;42.1665;66.892667;244881;5;19-feb-03;11:39:00;32.445;3.408;3.4682;3.4682;3.408;32.445
NED2003002_13;MFD_SETNO13;42.1665;66.892667;244882;2;19-feb-03;11:39:00;32.632;3.404;3.4805;3.4805;3.404;32.632
NED2003002_14;MFD_SETNO14;42.1766;66.696;244883;1;19-feb-03;13:14:59;NaN;NaN;NaN;NaN;NaN;NaN
NED2003002_15;MFD_SETNO15;42.134;67.042333;244884;69;19-feb-03;14:47:29;33.548;6.366;3.0161;3.0161;6.366;33.548
NED2003002_15;MFD_SETNO15;42.134;67.042333;244885;5;19-feb-03;14:47:29;32.764;3.942;3.3349;3.3349;3.942;32.764
NED2003002_15;MFD_SETNO15;42.134;67.042333;244886;1;19-feb-03;14:47:29;32.772;3.958;3.3175;3.3175;3.958;32.772
NED2003002_16;MFD_SETNO16;42.099833;67.4895;244887;101;19-feb-03;17:36:26;33.406;5.787;-999.99;-999.99;5.787;33.406
NED2003002_16;MFD_SETNO16;42.099833;67.4895;244888;5;19-feb-03;17:36:26;32.893;4.116;3.3189;3.3189;4.116;32.893
NED2003002_16;MFD_SETNO16;42.099833;67.4895;244889;1;19-feb-03;17:36:26;32.953;4.084;3.2896;3.2896;4.084;32.953
NED2003002_17;MFD_SETNO17;41.9405;67.2667;244890;1;19-feb-03;19:50:59;NaN;NaN;NaN;NaN;NaN;NaN
NED2003002_18;MFD_SETNO18;41.8575;67.234167;244891;47;19-feb-03;21:06:05;32.711;3.205;3.5204;3.5204;3.205;32.711
NED2003002_18;MFD_SETNO18;41.8575;67.234167;244892;5;19-feb-03;21:06:05;32.708;3.198;3.4808;3.4808;3.198;32.708
NED2003002_18;MFD_SETNO18;41.8575;67.234167;244893;1;19-feb-03;21:06:05;32.709;3.2;3.4852;3.4852;3.2;32.709
NED2003002_19;MFD_SETNO19;41.8771;67.4537;244896;1;19-feb-03;22:55:40;NaN;NaN;NaN;NaN;NaN;NaN
NED2003002_20;MFD_SETNO20;41.857333;67.682;244897;33;20-feb-03;00:18:53;32.853;3.175;3.5541;3.5541;3.175;32.853
NED2003002_20;MFD_SETNO20;41.857333;67.682;244898;5;20-feb-03;00:18:53;32.852;3.159;3.499;3.499;3.159;32.852
