CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2005546_1;MFD_SETNO1;44.643733;61.772133;272753;148;08-mar-05;08:29:00;33.814;6.143;2.5375;0.0450011627906977;17.646;1.3915;15.985;33.854;4.393
TEL2005546_1;MFD_SETNO1;44.643733;61.772133;272754;50;08-mar-05;08:29:00;31.885;1.381;4.9981;0.157504069767442;6.985;0.8485;6.603;NaN;NaN
TEL2005546_1;MFD_SETNO1;44.643733;61.772133;272755;25;08-mar-05;08:29:00;31.243;-0.435;5.4817;0.507705426356589;6.5915;0.7745;5.3725;NaN;NaN
TEL2005546_1;MFD_SETNO1;44.643733;61.772133;272756;5;08-mar-05;08:29:00;31.159;-0.555;4.8223;NaN;NaN;NaN;NaN;NaN;NaN
TEL2005546_10;MFD_SETNO10;45.3345;58.2992;272789;186;10-mar-05;22:21:19;33.076;2.138;2.1466;0.0346162790697674;12.3455;1.156;11.4095;33.085;6.186
TEL2005546_10;MFD_SETNO10;45.3345;58.2992;272790;50;10-mar-05;22:21:19;31.506;-0.148;3.0833;0.473532945736434;6.046;0.7845;5.3995;NaN;NaN
TEL2005546_10;MFD_SETNO10;45.3345;58.2992;272791;25;10-mar-05;22:21:19;31.443;-0.107;3.0815;0.585813953488372;6.16;0.7925;5.336;NaN;NaN
TEL2005546_10;MFD_SETNO10;45.3345;58.2992;272792;5;10-mar-05;22:21:19;31.391;0.05;2.9447;0.502823643410853;6.4415;0.804;5.454;31.413;8.196
TEL2005546_11;MFD_SETNO11;45.474767;57.938183;272793;154;11-mar-05;01:20:30;33.315;2.408;1.6966;0.0432703488372093;14.6055;1.1585;11.8325;33.317;6.138
TEL2005546_11;MFD_SETNO11;45.474767;57.938183;272794;150;11-mar-05;01:20:30;33.281;2.338;1.7492;0.0398087209302325;12.699;1.179;11.9275;NaN;NaN
