CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2004529_14;MFD_SETNO14;42.9716;62.664883;263819;25;07-jul-04;11:18:38;32.239;6.408;4.2347;0.954388565891473;0.516;0.329;0.19;NaN;NaN
TEL2004529_14;MFD_SETNO14;42.9716;62.664883;263820;5;07-jul-04;11:18:38;31.983;13.363;4.3866;0.439360465116279;0.7805;0.291;0.198;31.947;6.3295
TEL2004529_15;MFD_SETNO15;42.88085;63.065883;263821;139;07-jul-04;18:20:03;33.923;4.553;4.0207;0.0588476744186047;8.4705;1.016;12.812;33.916;6.017
TEL2004529_15;MFD_SETNO15;42.88085;63.065883;263822;50;07-jul-04;18:20:03;32.559;3.13;4.3524;0.278261627906977;2.867;0.883;5.0015;NaN;NaN
TEL2004529_15;MFD_SETNO15;42.88085;63.065883;263823;25;07-jul-04;18:20:03;32.078;9.909;4.0892;1.1973238372093;0.4565;0.3445;0.2255;NaN;NaN
TEL2004529_15;MFD_SETNO15;42.88085;63.065883;263824;5;07-jul-04;18:20:03;31.924;14.227;4.2288;0.607338178294574;0.4015;0.2725;0.1625;31.958;7.0445
TEL2004529_16;MFD_SETNO16;42.813117;63.120733;263825;215;07-jul-04;20:52:34;34.326;5.571;3.8595;0.0398087209302326;10.21;1.086;14.6245;34.224;5.4
TEL2004529_16;MFD_SETNO16;42.813117;63.120733;263826;50;07-jul-04;20:52:34;32.55;1.861;4.3588;1.82201453488372;1.2785;0.752;3.3555;NaN;NaN
TEL2004529_16;MFD_SETNO16;42.813117;63.120733;263827;25;07-jul-04;20:52:34;32.764;6.275;4.0681;1.76995697674419;0.5435;0.3755;0.244;NaN;NaN
TEL2004529_16;MFD_SETNO16;42.813117;63.120733;263828;5;07-jul-04;20:52:34;32.398;14.874;4.1298;0.642043217054264;0.5205;0.2805;0.2285;32.408;6.294
TEL2004529_17;MFD_SETNO17;42.879167;63.426867;263829;162;07-jul-04;23:16:32;34.289;6.29;3.9075;0.0294238372093023;10.301;1.0875;14.8535;34.289;5.2795
TEL2004529_17;MFD_SETNO17;42.879167;63.426867;263830;50;07-jul-04;23:16:32;32.733;3.038;4.5635;0.268498062015504;3.3915;0.861;5.5795;NaN;NaN
TEL2004529_17;MFD_SETNO17;42.879167;63.426867;263831;25;07-jul-04;23:16:32;32.452;4.598;4.3056;2.06494980620155;0.732;0.4805;0.7755;NaN;NaN
TEL2004529_17;MFD_SETNO17;42.879167;63.426867;263832;5;07-jul-04;23:16:32;31.917;13.251;4.4883;0.346606589147287;0.6855;0.263;0.193;31.907;6.533
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263833;586;08-jul-04;01:52:06;34.922;4.679;3.8702;0.00878720930232558;12.282;1.2425;19.5805;34.922;5.563
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263834;250;08-jul-04;01:52:06;35.111;8.444;2.6749;0.00878720930232558;14.047;1.41;24.278;35.11;3.703
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263835;100;08-jul-04;01:52:06;33.58;5.039;4.3572;0.0934639534883721;6.8225;0.9045;10.134;NaN;NaN
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263836;75;08-jul-04;01:52:06;32.933;2.839;4.5278;NaN;NaN;NaN;NaN;NaN;NaN
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263837;50;08-jul-04;01:52:06;32.778;3.325;4.5123;0.884978488372093;1.3375;0.4985;1.291;NaN;NaN
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263838;40;08-jul-04;01:52:06;32.691;4.758;4.5762;1.3882015503876;0.898;0.3945;0.306;NaN;NaN
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263839;30;08-jul-04;01:52:06;32.521;6.336;4.5377;1.12791375968992;0.834;0.322;0.099;NaN;NaN
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263840;20;08-jul-04;01:52:06;32.352;7.698;4.3185;0.815568410852713;1.1465;0.258;0.096;NaN;NaN
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263841;10;08-jul-04;01:52:06;32.02;12.179;4.3788;0.572633139534884;0.806;0.2445;0.0975;32.027;6.8415
TEL2004529_18;MFD_SETNO18;42.75795;63.507533;263842;1;08-jul-04;01:52:06;31.358;15.208;4.4738;NaN;NaN;NaN;NaN;NaN;NaN
TEL2004529_19;MFD_SETNO19;42.773283;63.973517;263843;256;08-jul-04;05:32:50;35.049;7.724;2.7408;0.0155773255813953;13.955;1.363;23.6385;35.05;3.906
TEL2004529_19;MFD_SETNO19;42.773283;63.973517;263844;50;08-jul-04;05:32:50;32.788;2.677;4.5196;0.322197674418605;2.8755;0.723;5.0235;NaN;NaN
TEL2004529_19;MFD_SETNO19;42.773283;63.973517;263845;25;08-jul-04;05:32:50;32.275;4.916;4.3479;0.585813953488372;0.979;0.338;0.1535;NaN;NaN
TEL2004529_19;MFD_SETNO19;42.773283;63.973517;263846;5;08-jul-04;05:32:50;30.962;14.758;4.4828;0.449124031007752;0.6695;0.207;0.1235;31.185;6.3855
TEL2004529_2;MFD_SETNO2;43.975667;63.051517;263464;223;06-jul-04;04:44:13;34.996;9.683;2.0213;NaN;21.285;1.6385;22.78;34.996;2.5195
TEL2004529_2;MFD_SETNO2;43.975667;63.051517;263465;50;06-jul-04;04:44:13;32.642;2.358;4.1432;0.444242248062016;1.7655;0.814;4.1075;NaN;NaN
