CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257813;149;18-jul-04;02:22:03;33.781;6.023;3.4102;3.4102;6.023;33.781
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257814;100;18-jul-04;02:22:03;32.815;2.708;4.5923;4.5923;2.708;32.815
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257815;75;18-jul-04;02:22:03;32.532;1.853;4.878;4.878;1.853;32.532
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257816;50;18-jul-04;02:22:03;32.304;3.147;5.2876;5.2876;3.147;32.304
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257817;40;18-jul-04;02:22:03;32.235;4.435;5.1753;5.1753;4.435;32.235
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257818;30;18-jul-04;02:22:03;31.761;2.908;4.8469;4.8469;2.908;31.761
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257819;20;18-jul-04;02:22:03;31.528;5.219;4.4228;4.4228;5.219;31.528
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257820;10;18-jul-04;02:22:03;30.886;14.001;4.622;4.622;14.001;30.886
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257821;5;18-jul-04;02:22:03;30.88;14.086;4.6205;4.6205;14.086;30.88
TEL2004530_0;MFD_SETNO0;44.270117;63.3215;257822;3;18-jul-04;02:22:03;30.88;14.081;4.6223;4.6223;14.081;30.88
TEL2004530_1;MFD_SETNO1;44.553133;62.290033;257823;153;18-jul-04;08:08:17;34.311;7.732;2.8644;2.8644;7.732;34.311
TEL2004530_1;MFD_SETNO1;44.553133;62.290033;257824;50;18-jul-04;08:08:17;32.179;2.696;5.0966;5.0966;2.696;32.179
TEL2004530_1;MFD_SETNO1;44.553133;62.290033;257825;25;18-jul-04;08:08:17;31.628;2.731;4.5478;4.5478;2.731;31.628
TEL2004530_1;MFD_SETNO1;44.553133;62.290033;257826;5;18-jul-04;08:08:17;31.34;15.374;4.3884;4.3884;15.374;31.34
TEL2004530_10;MFD_SETNO10;44.150017;60.363517;257856;92;19-jul-04;08:09:32;32.642;1.752;4.5907;4.5907;1.752;32.642
TEL2004530_10;MFD_SETNO10;44.150017;60.363517;257857;50;19-jul-04;08:09:32;32.43;2.298;4.4821;4.4821;2.298;32.43
TEL2004530_10;MFD_SETNO10;44.150017;60.363517;257858;25;19-jul-04;08:09:32;32.129;6.412;4.3435;4.3435;6.412;32.129
TEL2004530_10;MFD_SETNO10;44.150017;60.363517;257859;5;19-jul-04;08:09:32;31.7;13.183;4.5466;4.5466;13.183;31.7
TEL2004530_100;MFD_SETNO100;43.8818;59.2577;269000;62;28-jul-04;20:07:21;32.533;2.996;4.9391;4.9391;2.996;32.533
TEL2004530_100;MFD_SETNO100;43.8818;59.2577;269001;50;28-jul-04;20:07:21;32.536;3.043;4.7021;4.7021;3.043;32.536
TEL2004530_100;MFD_SETNO100;43.8818;59.2577;269002;25;28-jul-04;20:07:21;32.022;6.511;4.7351;4.7351;6.511;32.022
TEL2004530_100;MFD_SETNO100;43.8818;59.2577;269003;5;28-jul-04;20:07:21;31.42;14.168;4.781;4.781;14.168;31.42
TEL2004530_101;MFD_SETNO101;43.6564;59.399017;269004;195;28-jul-04;22:44:21;34.628;6.384;3.5462;3.5462;6.384;34.628
TEL2004530_101;MFD_SETNO101;43.6564;59.399017;269005;50;28-jul-04;22:44:21;32.863;5.107;4.7628;4.7628;5.107;32.863
TEL2004530_101;MFD_SETNO101;43.6564;59.399017;269006;25;28-jul-04;22:44:21;32.624;9.371;4.3763;4.3763;9.371;32.624
TEL2004530_101;MFD_SETNO101;43.6564;59.399017;269007;5;28-jul-04;22:44:21;31.952;19.948;4.0675;4.0675;19.948;31.952
TEL2004530_102;MFD_SETNO102;43.696517;59.77545;269008;83;29-jul-04;01:26:50;33.091;2.414;4.7992;4.7992;2.414;33.091
TEL2004530_102;MFD_SETNO102;43.696517;59.77545;269009;50;29-jul-04;01:26:50;32.751;2.171;4.7735;4.7735;2.171;32.751
TEL2004530_102;MFD_SETNO102;43.696517;59.77545;269010;25;29-jul-04;01:26:50;32.732;7.076;4.6636;4.6636;7.076;32.732
TEL2004530_102;MFD_SETNO102;43.696517;59.77545;269011;5;29-jul-04;01:26:50;32.219;19.803;4.3027;4.3027;19.803;32.219
