CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244850;146;17-feb-03;01:41:01;34.895;9.831;2.1441;0.00907743801652892;13.226;1.313;18.3585;34.886;3.3165
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244851;100;17-feb-03;01:41:01;34.459;9.299;2.7026;0.0116709917355372;10.182;1.003;12.824;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244852;75;17-feb-03;01:41:01;32.41;3.35;3.3307;0.038903305785124;10.749;1.0735;11.3135;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244853;50;17-feb-03;01:41:01;31.906;1.805;3.4586;0.116929090909091;8.972;0.9475;8.6315;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244854;40;17-feb-03;01:41:01;31.81;1.547;3.4457;0.148818842975207;8.7805;0.9325;8.421;31.819;6.4815
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244855;30;17-feb-03;01:41:01;31.776;1.509;3.4854;0.161220413223141;8.431;0.913;7.99;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244856;20;17-feb-03;01:41:01;31.652;1.159;3.5498;0.17007867768595;8.362;0.9185;7.95;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244857;10;17-feb-03;01:41:01;31.596;0.883;3.5355;0.18779520661157;8.293;0.8705;7.8415;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244858;5;17-feb-03;01:41:01;31.595;0.891;3.5311;0.141732231404959;8.46;0.9205;7.895;NaN;NaN
NED2003002_0;MFD_SETNO0;44.263667;63.310333;244859;1;17-feb-03;01:41:01;31.457;0.884;3.3994;0.171850330578512;7.9805;0.874;7.4475;31.666;NaN
