CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEM2008830_106;MFD_SETNO106;43.233;-61.8086;321528;90;20-jul-08;20:50:31;33.4207;4.4979;3.86853;3.86853;4.4979;33.4207
TEM2008830_106;MFD_SETNO106;43.233;-61.8086;321529;50;20-jul-08;20:50:31;32.8786;3.6409;4.32249;4.32249;3.6409;32.8786
TEM2008830_106;MFD_SETNO106;43.233;-61.8086;321530;25;20-jul-08;20:50:31;32.4915;6.7464;4.68359;4.68359;6.7464;32.4915
TEM2008830_106;MFD_SETNO106;43.233;-61.8086;321531;5;20-jul-08;20:50:31;32.1414;18.5739;3.19949;3.19949;18.5739;32.1414
TEM2008830_107;MFD_SETNO107;43.1812;-62.106617;321532;98;20-jul-08;23:06:32;33.5832;4.7655;3.78118;3.78118;4.7655;33.5832
TEM2008830_107;MFD_SETNO107;43.1812;-62.106617;321533;51;20-jul-08;23:06:32;32.9252;3.8942;4.34565;4.34565;3.8942;32.9252
TEM2008830_107;MFD_SETNO107;43.1812;-62.106617;321534;25;20-jul-08;23:06:32;32.324;7.3703;4.62538;4.62538;7.3703;32.324
TEM2008830_107;MFD_SETNO107;43.1812;-62.106617;321535;6;20-jul-08;23:06:32;31.9377;16.3701;3.85108;3.85108;16.3701;31.9377
TEM2008830_108;MFD_SETNO108;43.068467;-61.89255;321536;101;21-jul-08;01:11:46;34.1423;6.8628;3.53404;3.53404;6.8628;34.1423
TEM2008830_108;MFD_SETNO108;43.068467;-61.89255;321537;51;21-jul-08;01:11:46;33.6415;6.1922;3.92664;3.92664;6.1922;33.6415
TEM2008830_108;MFD_SETNO108;43.068467;-61.89255;321538;25;21-jul-08;01:11:46;33.2503;9.5576;4.57073;4.57073;9.5576;33.2503
TEM2008830_108;MFD_SETNO108;43.068467;-61.89255;321539;4;21-jul-08;01:11:46;32.2102;17.6078;3.67552;3.67552;17.6078;32.2102
TEM2008830_109;MFD_SETNO109;42.93295;-61.897717;321540;463;21-jul-08;04:32:52;34.8797;4.6816;3.47983;3.47983;4.6816;34.8797
TEM2008830_109;MFD_SETNO109;42.93295;-61.897717;321541;50;21-jul-08;04:32:52;32.9241;3.7594;4.43429;4.43429;3.7594;32.9241
TEM2008830_109;MFD_SETNO109;42.93295;-61.897717;321542;26;21-jul-08;04:32:52;32.4448;5.5292;4.65824;4.65824;5.5292;32.4448
TEM2008830_109;MFD_SETNO109;42.93295;-61.897717;321543;5;21-jul-08;04:32:52;32.1783;17.8446;3.57091;3.57091;17.8446;32.1783
TEM2008830_11;MFD_SETNO11;43.207283;-63.442333;321183;140;07-jul-08;08:17:18;34.8367;8.8553;2.39276;2.39276;8.8553;34.8367
TEM2008830_11;MFD_SETNO11;43.207283;-63.442333;321184;50;07-jul-08;08:17:18;32.0796;2.9948;4.44155;4.44155;2.9948;32.0796
TEM2008830_11;MFD_SETNO11;43.207283;-63.442333;321185;25;07-jul-08;08:17:18;31.6157;4.3638;4.82791;4.82791;4.3638;31.6157
TEM2008830_11;MFD_SETNO11;43.207283;-63.442333;321186;5;07-jul-08;08:17:18;31.0974;14.9984;3.73924;3.73924;14.9984;31.0974
TEM2008830_110;MFD_SETNO110;43.20415;-61.356867;321544;145;21-jul-08;09:42:32;34.3139;6.8166;3.30666;3.30666;6.8166;34.3139
TEM2008830_110;MFD_SETNO110;43.20415;-61.356867;321545;50;21-jul-08;09:42:32;32.8043;2.4025;4.59845;4.59845;2.4025;32.8043
TEM2008830_110;MFD_SETNO110;43.20415;-61.356867;321546;26;21-jul-08;09:42:32;32.3815;8.3118;4.60241;4.60241;8.3118;32.3815
TEM2008830_110;MFD_SETNO110;43.20415;-61.356867;321547;5;21-jul-08;09:42:32;31.9989;17.1745;3.66486;3.66486;17.1745;31.9989
TEM2008830_111;MFD_SETNO111;43.3438;-61.29165;321548;76;21-jul-08;11:36:52;33.2362;3.7613;4.01666;4.01666;3.7613;33.2362
TEM2008830_111;MFD_SETNO111;43.3438;-61.29165;321549;51;21-jul-08;11:36:52;32.8184;3.9615;3.96924;3.96924;3.9615;32.8184
TEM2008830_111;MFD_SETNO111;43.3438;-61.29165;321550;23;21-jul-08;11:36:52;32.2918;7.3533;4.56126;4.56126;7.3533;32.2918
TEM2008830_111;MFD_SETNO111;43.3438;-61.29165;321551;5;21-jul-08;11:36:52;31.9332;17.4412;3.63123;3.63123;17.4412;31.9332
TEM2008830_112;MFD_SETNO112;43.2565;-61.15805;321552;651;21-jul-08;15:41:36;34.9032;4.5428;3.58394;3.58394;4.5428;34.9032
TEM2008830_112;MFD_SETNO112;43.2565;-61.15805;321553;51;21-jul-08;15:41:36;32.677;1.832;4.61246;4.61246;1.832;32.677
TEM2008830_112;MFD_SETNO112;43.2565;-61.15805;321554;27;21-jul-08;15:41:36;32.5877;7.2922;4.71242;4.71242;7.2922;32.5877
