CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384431;141;11-feb-12;03:19:52;33.7343;6.9451;3.81622;0.0307517910447761;13.1975;1.1375;13.592;33.5908355712891;0.0645;4.4605
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384432;101;11-feb-12;03:19:52;32.3328;4.3249;5.02915;0.0435650373134328;8.685;0.8355;7.9145;NaN;0.056;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384433;76;11-feb-12;03:19:52;31.7387;3.9458;5.50046;NaN;7.847;0.979;10.532;NaN;0.148;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384434;51;11-feb-12;03:19:52;31.4753;4.7858;6.06968;0.956518656716418;2.48;0.4765;2.3805;NaN;0.105;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384435;40;11-feb-12;03:19:52;31.0488;3.6499;6.22084;0.942854104477612;3.6025;0.4975;3.026;31.3643741607666;0.104;6.792
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384436;30;11-feb-12;03:19:52;30.7157;2.5647;6.45654;0.737885820895522;4.1895;0.543;3.278;NaN;0.0485;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384437;21;11-feb-12;03:19:52;30.5394;1.9998;6.6006;0.683227611940298;4.7805;0.558;3.717;NaN;0.048;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384438;10;11-feb-12;03:19:52;30.5395;1.9501;7.08281;0.491923880597015;5.0555;0.5635;3.8285;NaN;0.043;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384439;6;11-feb-12;03:19:52;30.5905;1.9469;7.39874;0.601240298507463;5.028;0.5685;3.8195;NaN;0.04;NaN
NED2012002_1;MFD_SETNO1;44.2695;-63.3217;384440;2;11-feb-12;03:19:52;30.8743;1.9743;6.70081;0.546582089552239;5.1225;0.5435;3.797;30.5196285247803;0.0325;7.232
NED2012002_100;MFD_SETNO100;43.079;-63.8973;385055;100;11-mar-12;10:51:56;33.3761;6.5607;4.13367;0.0486903358208955;10.031;1.012;10.6065;33.38720703125;NaN;4.693
